dataset,method,k,n_features,path
customer_churn,random_forest,4,4,data/selected_features/customer_churn/random_forest/k_4
customer_churn,random_forest,5,5,data/selected_features/customer_churn/random_forest/k_5
customer_churn,random_forest,10,10,data/selected_features/customer_churn/random_forest/k_10
customer_churn,random_forest,15,15,data/selected_features/customer_churn/random_forest/k_15
customer_churn,rfe,10,10,data/selected_features/customer_churn/rfe/k_10
customer_churn,rrfs,1,1,data/selected_features/customer_churn/rrfs/k_1
customer_churn,rrfs,4,4,data/selected_features/customer_churn/rrfs/k_4
customer_churn,rrfs,5,5,data/selected_features/customer_churn/rrfs/k_5
customer_churn,rrfs,10,10,data/selected_features/customer_churn/rrfs/k_10
customer_churn,rrfs,15,15,data/selected_features/customer_churn/rrfs/k_15
customer_churn,variance,1,1,data/selected_features/customer_churn/variance/k_1
customer_churn,variance,4,4,data/selected_features/customer_churn/variance/k_4
customer_churn,variance,5,5,data/selected_features/customer_churn/variance/k_5
customer_churn,variance,10,10,data/selected_features/customer_churn/variance/k_10
customer_churn,variance,15,15,data/selected_features/customer_churn/variance/k_15
madelon,boruta,19,19,data/selected_features/madelon/boruta/k_19
madelon,f_classif,5,5,data/selected_features/madelon/f_classif/k_5
madelon,f_classif,10,10,data/selected_features/madelon/f_classif/k_10
madelon,f_classif,15,15,data/selected_features/madelon/f_classif/k_15
madelon,f_classif,20,20,data/selected_features/madelon/f_classif/k_20
madelon,f_classif,22,22,data/selected_features/madelon/f_classif/k_22
madelon,f_classif,30,30,data/selected_features/madelon/f_classif/k_30
madelon,f_classif,50,50,data/selected_features/madelon/f_classif/k_50
madelon,feature_similarity,5,5,data/selected_features/madelon/feature_similarity/k_5
madelon,feature_similarity,10,10,data/selected_features/madelon/feature_similarity/k_10
madelon,feature_similarity,15,15,data/selected_features/madelon/feature_similarity/k_15
madelon,feature_similarity,20,20,data/selected_features/madelon/feature_similarity/k_20
madelon,feature_similarity,22,22,data/selected_features/madelon/feature_similarity/k_22
madelon,feature_similarity,30,30,data/selected_features/madelon/feature_similarity/k_30
madelon,feature_similarity,50,50,data/selected_features/madelon/feature_similarity/k_50
madelon,l1_logistic,5,5,data/selected_features/madelon/l1_logistic/k_5
madelon,l1_logistic,10,10,data/selected_features/madelon/l1_logistic/k_10
madelon,l1_logistic,15,15,data/selected_features/madelon/l1_logistic/k_15
madelon,l1_logistic,20,20,data/selected_features/madelon/l1_logistic/k_20
madelon,l1_logistic,22,22,data/selected_features/madelon/l1_logistic/k_22
madelon,l1_logistic,30,30,data/selected_features/madelon/l1_logistic/k_30
madelon,l1_logistic,50,50,data/selected_features/madelon/l1_logistic/k_50
madelon,linear_svm,5,5,data/selected_features/madelon/linear_svm/k_5
madelon,linear_svm,10,10,data/selected_features/madelon/linear_svm/k_10
madelon,linear_svm,15,15,data/selected_features/madelon/linear_svm/k_15
madelon,linear_svm,20,20,data/selected_features/madelon/linear_svm/k_20
madelon,linear_svm,22,22,data/selected_features/madelon/linear_svm/k_22
madelon,linear_svm,30,30,data/selected_features/madelon/linear_svm/k_30
madelon,linear_svm,50,50,data/selected_features/madelon/linear_svm/k_50
madelon,mrmr_approx,5,5,data/selected_features/madelon/mrmr_approx/k_5
madelon,mrmr_approx,10,10,data/selected_features/madelon/mrmr_approx/k_10
madelon,mrmr_approx,15,15,data/selected_features/madelon/mrmr_approx/k_15
madelon,mrmr_approx,20,20,data/selected_features/madelon/mrmr_approx/k_20
madelon,mrmr_approx,22,22,data/selected_features/madelon/mrmr_approx/k_22
madelon,mrmr_approx,30,30,data/selected_features/madelon/mrmr_approx/k_30
madelon,mrmr_approx,50,50,data/selected_features/madelon/mrmr_approx/k_50
madelon,mutual_correlation,5,5,data/selected_features/madelon/mutual_correlation/k_5
madelon,mutual_correlation,10,10,data/selected_features/madelon/mutual_correlation/k_10
madelon,mutual_correlation,15,15,data/selected_features/madelon/mutual_correlation/k_15
madelon,mutual_correlation,20,20,data/selected_features/madelon/mutual_correlation/k_20
madelon,mutual_correlation,22,22,data/selected_features/madelon/mutual_correlation/k_22
madelon,mutual_correlation,30,30,data/selected_features/madelon/mutual_correlation/k_30
madelon,mutual_correlation,50,50,data/selected_features/madelon/mutual_correlation/k_50
madelon,mutual_info,5,5,data/selected_features/madelon/mutual_info/k_5
madelon,mutual_info,10,10,data/selected_features/madelon/mutual_info/k_10
madelon,mutual_info,15,15,data/selected_features/madelon/mutual_info/k_15
madelon,mutual_info,20,20,data/selected_features/madelon/mutual_info/k_20
madelon,mutual_info,22,22,data/selected_features/madelon/mutual_info/k_22
madelon,mutual_info,30,30,data/selected_features/madelon/mutual_info/k_30
madelon,mutual_info,50,50,data/selected_features/madelon/mutual_info/k_50
madelon,random_forest,5,5,data/selected_features/madelon/random_forest/k_5
madelon,random_forest,10,10,data/selected_features/madelon/random_forest/k_10
madelon,random_forest,15,15,data/selected_features/madelon/random_forest/k_15
madelon,random_forest,20,20,data/selected_features/madelon/random_forest/k_20
madelon,random_forest,22,22,data/selected_features/madelon/random_forest/k_22
madelon,random_forest,30,30,data/selected_features/madelon/random_forest/k_30
madelon,random_forest,50,50,data/selected_features/madelon/random_forest/k_50
madelon,rfe,10,10,data/selected_features/madelon/rfe/k_10
madelon,rrfs,5,5,data/selected_features/madelon/rrfs/k_5
madelon,rrfs,10,10,data/selected_features/madelon/rrfs/k_10
madelon,rrfs,15,15,data/selected_features/madelon/rrfs/k_15
madelon,rrfs,20,20,data/selected_features/madelon/rrfs/k_20
madelon,rrfs,22,22,data/selected_features/madelon/rrfs/k_22
madelon,rrfs,30,30,data/selected_features/madelon/rrfs/k_30
madelon,rrfs,50,50,data/selected_features/madelon/rrfs/k_50
madelon,variance,5,5,data/selected_features/madelon/variance/k_5
madelon,variance,10,10,data/selected_features/madelon/variance/k_10
madelon,variance,15,15,data/selected_features/madelon/variance/k_15
madelon,variance,20,20,data/selected_features/madelon/variance/k_20
madelon,variance,22,22,data/selected_features/madelon/variance/k_22
madelon,variance,30,30,data/selected_features/madelon/variance/k_30
madelon,variance,50,50,data/selected_features/madelon/variance/k_50
olive_oil_3class,boruta,8,8,data/selected_features/olive_oil_3class/boruta/k_8
olive_oil_3class,f_classif,3,3,data/selected_features/olive_oil_3class/f_classif/k_3
olive_oil_3class,f_classif,5,5,data/selected_features/olive_oil_3class/f_classif/k_5
olive_oil_3class,f_classif,8,8,data/selected_features/olive_oil_3class/f_classif/k_8
olive_oil_3class,feature_similarity,3,3,data/selected_features/olive_oil_3class/feature_similarity/k_3
olive_oil_3class,feature_similarity,5,5,data/selected_features/olive_oil_3class/feature_similarity/k_5
olive_oil_3class,feature_similarity,8,8,data/selected_features/olive_oil_3class/feature_similarity/k_8
olive_oil_3class,l1_logistic,3,3,data/selected_features/olive_oil_3class/l1_logistic/k_3
olive_oil_3class,l1_logistic,5,5,data/selected_features/olive_oil_3class/l1_logistic/k_5
olive_oil_3class,l1_logistic,8,8,data/selected_features/olive_oil_3class/l1_logistic/k_8
olive_oil_3class,linear_svm,3,3,data/selected_features/olive_oil_3class/linear_svm/k_3
olive_oil_3class,linear_svm,5,5,data/selected_features/olive_oil_3class/linear_svm/k_5
olive_oil_3class,linear_svm,8,8,data/selected_features/olive_oil_3class/linear_svm/k_8
olive_oil_3class,mrmr_approx,3,3,data/selected_features/olive_oil_3class/mrmr_approx/k_3
olive_oil_3class,mrmr_approx,5,5,data/selected_features/olive_oil_3class/mrmr_approx/k_5
olive_oil_3class,mrmr_approx,8,8,data/selected_features/olive_oil_3class/mrmr_approx/k_8
olive_oil_3class,mutual_correlation,3,3,data/selected_features/olive_oil_3class/mutual_correlation/k_3
olive_oil_3class,mutual_correlation,5,5,data/selected_features/olive_oil_3class/mutual_correlation/k_5
olive_oil_3class,mutual_correlation,8,8,data/selected_features/olive_oil_3class/mutual_correlation/k_8
olive_oil_3class,mutual_info,3,3,data/selected_features/olive_oil_3class/mutual_info/k_3
olive_oil_3class,mutual_info,5,5,data/selected_features/olive_oil_3class/mutual_info/k_5
olive_oil_3class,mutual_info,8,8,data/selected_features/olive_oil_3class/mutual_info/k_8
olive_oil_3class,random_forest,3,3,data/selected_features/olive_oil_3class/random_forest/k_3
olive_oil_3class,random_forest,5,5,data/selected_features/olive_oil_3class/random_forest/k_5
olive_oil_3class,random_forest,8,8,data/selected_features/olive_oil_3class/random_forest/k_8
olive_oil_3class,rfe,8,8,data/selected_features/olive_oil_3class/rfe/k_8
olive_oil_3class,rrfs,3,3,data/selected_features/olive_oil_3class/rrfs/k_3
olive_oil_3class,rrfs,5,5,data/selected_features/olive_oil_3class/rrfs/k_5
olive_oil_3class,rrfs,8,8,data/selected_features/olive_oil_3class/rrfs/k_8
olive_oil_3class,variance,3,3,data/selected_features/olive_oil_3class/variance/k_3
olive_oil_3class,variance,5,5,data/selected_features/olive_oil_3class/variance/k_5
olive_oil_3class,variance,8,8,data/selected_features/olive_oil_3class/variance/k_8
olive_oil_9class,boruta,8,8,data/selected_features/olive_oil_9class/boruta/k_8
olive_oil_9class,f_classif,3,3,data/selected_features/olive_oil_9class/f_classif/k_3
olive_oil_9class,f_classif,5,5,data/selected_features/olive_oil_9class/f_classif/k_5
olive_oil_9class,f_classif,8,8,data/selected_features/olive_oil_9class/f_classif/k_8
olive_oil_9class,feature_similarity,3,3,data/selected_features/olive_oil_9class/feature_similarity/k_3
olive_oil_9class,feature_similarity,5,5,data/selected_features/olive_oil_9class/feature_similarity/k_5
olive_oil_9class,feature_similarity,8,8,data/selected_features/olive_oil_9class/feature_similarity/k_8
olive_oil_9class,l1_logistic,3,3,data/selected_features/olive_oil_9class/l1_logistic/k_3
olive_oil_9class,l1_logistic,5,5,data/selected_features/olive_oil_9class/l1_logistic/k_5
olive_oil_9class,l1_logistic,8,8,data/selected_features/olive_oil_9class/l1_logistic/k_8
olive_oil_9class,linear_svm,3,3,data/selected_features/olive_oil_9class/linear_svm/k_3
olive_oil_9class,linear_svm,5,5,data/selected_features/olive_oil_9class/linear_svm/k_5
olive_oil_9class,linear_svm,8,8,data/selected_features/olive_oil_9class/linear_svm/k_8
olive_oil_9class,mrmr_approx,3,3,data/selected_features/olive_oil_9class/mrmr_approx/k_3
olive_oil_9class,mrmr_approx,5,5,data/selected_features/olive_oil_9class/mrmr_approx/k_5
olive_oil_9class,mrmr_approx,8,8,data/selected_features/olive_oil_9class/mrmr_approx/k_8
olive_oil_9class,mutual_correlation,3,3,data/selected_features/olive_oil_9class/mutual_correlation/k_3
olive_oil_9class,mutual_correlation,5,5,data/selected_features/olive_oil_9class/mutual_correlation/k_5
olive_oil_9class,mutual_correlation,8,8,data/selected_features/olive_oil_9class/mutual_correlation/k_8
olive_oil_9class,mutual_info,3,3,data/selected_features/olive_oil_9class/mutual_info/k_3
olive_oil_9class,mutual_info,5,5,data/selected_features/olive_oil_9class/mutual_info/k_5
olive_oil_9class,mutual_info,8,8,data/selected_features/olive_oil_9class/mutual_info/k_8
olive_oil_9class,random_forest,3,3,data/selected_features/olive_oil_9class/random_forest/k_3
olive_oil_9class,random_forest,5,5,data/selected_features/olive_oil_9class/random_forest/k_5
olive_oil_9class,random_forest,8,8,data/selected_features/olive_oil_9class/random_forest/k_8
olive_oil_9class,rfe,8,8,data/selected_features/olive_oil_9class/rfe/k_8
olive_oil_9class,rrfs,3,3,data/selected_features/olive_oil_9class/rrfs/k_3
olive_oil_9class,rrfs,5,5,data/selected_features/olive_oil_9class/rrfs/k_5
olive_oil_9class,rrfs,8,8,data/selected_features/olive_oil_9class/rrfs/k_8
olive_oil_9class,variance,3,3,data/selected_features/olive_oil_9class/variance/k_3
olive_oil_9class,variance,5,5,data/selected_features/olive_oil_9class/variance/k_5
olive_oil_9class,variance,8,8,data/selected_features/olive_oil_9class/variance/k_8
