dataset,method,k,path,rol_fase6,justificacion,riesgo_residual
breast_cancer_wisconsin,random_forest,3,data/selected_features/breast_cancer_wisconsin/random_forest/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,random_forest,5,data/selected_features/breast_cancer_wisconsin/random_forest/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,random_forest,10,data/selected_features/breast_cancer_wisconsin/random_forest/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,random_forest,15,data/selected_features/breast_cancer_wisconsin/random_forest/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,random_forest,20,data/selected_features/breast_cancer_wisconsin/random_forest/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,random_forest,30,data/selected_features/breast_cancer_wisconsin/random_forest/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,variance,3,data/selected_features/breast_cancer_wisconsin/variance/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,variance,5,data/selected_features/breast_cancer_wisconsin/variance/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,variance,10,data/selected_features/breast_cancer_wisconsin/variance/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,variance,15,data/selected_features/breast_cancer_wisconsin/variance/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,variance,20,data/selected_features/breast_cancer_wisconsin/variance/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,variance,30,data/selected_features/breast_cancer_wisconsin/variance/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,f_classif,1,data/selected_features/customer_churn/f_classif/k_1/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,f_classif,4,data/selected_features/customer_churn/f_classif/k_4/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,f_classif,5,data/selected_features/customer_churn/f_classif/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,f_classif,10,data/selected_features/customer_churn/f_classif/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,f_classif,15,data/selected_features/customer_churn/f_classif/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,l1_logistic,1,data/selected_features/customer_churn/l1_logistic/k_1/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,l1_logistic,4,data/selected_features/customer_churn/l1_logistic/k_4/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,l1_logistic,5,data/selected_features/customer_churn/l1_logistic/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,l1_logistic,10,data/selected_features/customer_churn/l1_logistic/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,l1_logistic,15,data/selected_features/customer_churn/l1_logistic/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,linear_svm,1,data/selected_features/customer_churn/linear_svm/k_1/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,linear_svm,4,data/selected_features/customer_churn/linear_svm/k_4/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,linear_svm,5,data/selected_features/customer_churn/linear_svm/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,linear_svm,10,data/selected_features/customer_churn/linear_svm/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,linear_svm,15,data/selected_features/customer_churn/linear_svm/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mrmr_approx,1,data/selected_features/customer_churn/mrmr_approx/k_1/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mrmr_approx,4,data/selected_features/customer_churn/mrmr_approx/k_4/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mrmr_approx,5,data/selected_features/customer_churn/mrmr_approx/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mrmr_approx,10,data/selected_features/customer_churn/mrmr_approx/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mrmr_approx,15,data/selected_features/customer_churn/mrmr_approx/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mutual_info,1,data/selected_features/customer_churn/mutual_info/k_1/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mutual_info,4,data/selected_features/customer_churn/mutual_info/k_4/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mutual_info,5,data/selected_features/customer_churn/mutual_info/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mutual_info,10,data/selected_features/customer_churn/mutual_info/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,mutual_info,15,data/selected_features/customer_churn/mutual_info/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,random_forest,1,data/selected_features/customer_churn/random_forest/k_1/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,random_forest,4,data/selected_features/customer_churn/random_forest/k_4/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,random_forest,5,data/selected_features/customer_churn/random_forest/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,random_forest,10,data/selected_features/customer_churn/random_forest/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,random_forest,15,data/selected_features/customer_churn/random_forest/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,variance,1,data/selected_features/customer_churn/variance/k_1/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,variance,4,data/selected_features/customer_churn/variance/k_4/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,variance,5,data/selected_features/customer_churn/variance/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,variance,10,data/selected_features/customer_churn/variance/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
customer_churn,variance,15,data/selected_features/customer_churn/variance/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,f_classif,5,data/selected_features/madelon/f_classif/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,f_classif,10,data/selected_features/madelon/f_classif/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
madelon,f_classif,15,data/selected_features/madelon/f_classif/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,f_classif,20,data/selected_features/madelon/f_classif/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,f_classif,22,data/selected_features/madelon/f_classif/k_22/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,f_classif,30,data/selected_features/madelon/f_classif/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,f_classif,50,data/selected_features/madelon/f_classif/k_50/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,l1_logistic,5,data/selected_features/madelon/l1_logistic/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,l1_logistic,10,data/selected_features/madelon/l1_logistic/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,l1_logistic,15,data/selected_features/madelon/l1_logistic/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,l1_logistic,20,data/selected_features/madelon/l1_logistic/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,l1_logistic,22,data/selected_features/madelon/l1_logistic/k_22/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,l1_logistic,30,data/selected_features/madelon/l1_logistic/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,l1_logistic,50,data/selected_features/madelon/l1_logistic/k_50/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,linear_svm,5,data/selected_features/madelon/linear_svm/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,linear_svm,10,data/selected_features/madelon/linear_svm/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,linear_svm,15,data/selected_features/madelon/linear_svm/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,linear_svm,20,data/selected_features/madelon/linear_svm/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,linear_svm,22,data/selected_features/madelon/linear_svm/k_22/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,linear_svm,30,data/selected_features/madelon/linear_svm/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,linear_svm,50,data/selected_features/madelon/linear_svm/k_50/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mrmr_approx,5,data/selected_features/madelon/mrmr_approx/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mrmr_approx,10,data/selected_features/madelon/mrmr_approx/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
madelon,mrmr_approx,15,data/selected_features/madelon/mrmr_approx/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mrmr_approx,20,data/selected_features/madelon/mrmr_approx/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mrmr_approx,22,data/selected_features/madelon/mrmr_approx/k_22/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mrmr_approx,30,data/selected_features/madelon/mrmr_approx/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mrmr_approx,50,data/selected_features/madelon/mrmr_approx/k_50/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mutual_info,5,data/selected_features/madelon/mutual_info/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mutual_info,10,data/selected_features/madelon/mutual_info/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
madelon,mutual_info,15,data/selected_features/madelon/mutual_info/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mutual_info,20,data/selected_features/madelon/mutual_info/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mutual_info,22,data/selected_features/madelon/mutual_info/k_22/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mutual_info,30,data/selected_features/madelon/mutual_info/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,mutual_info,50,data/selected_features/madelon/mutual_info/k_50/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,random_forest,5,data/selected_features/madelon/random_forest/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,random_forest,10,data/selected_features/madelon/random_forest/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
madelon,random_forest,15,data/selected_features/madelon/random_forest/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,random_forest,20,data/selected_features/madelon/random_forest/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,random_forest,22,data/selected_features/madelon/random_forest/k_22/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,random_forest,30,data/selected_features/madelon/random_forest/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,random_forest,50,data/selected_features/madelon/random_forest/k_50/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,variance,5,data/selected_features/madelon/variance/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,variance,10,data/selected_features/madelon/variance/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,variance,15,data/selected_features/madelon/variance/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,variance,20,data/selected_features/madelon/variance/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,variance,22,data/selected_features/madelon/variance/k_22/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,variance,30,data/selected_features/madelon/variance/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
madelon,variance,50,data/selected_features/madelon/variance/k_50/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,f_classif,3,data/selected_features/olive_oil_3class/f_classif/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,f_classif,5,data/selected_features/olive_oil_3class/f_classif/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,f_classif,8,data/selected_features/olive_oil_3class/f_classif/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,l1_logistic,3,data/selected_features/olive_oil_3class/l1_logistic/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,l1_logistic,5,data/selected_features/olive_oil_3class/l1_logistic/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,l1_logistic,8,data/selected_features/olive_oil_3class/l1_logistic/k_8/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,linear_svm,3,data/selected_features/olive_oil_3class/linear_svm/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,linear_svm,5,data/selected_features/olive_oil_3class/linear_svm/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,linear_svm,8,data/selected_features/olive_oil_3class/linear_svm/k_8/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,mrmr_approx,3,data/selected_features/olive_oil_3class/mrmr_approx/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
