dataset,method,k,ranking_table,selected_table,rows
breast_cancer_wisconsin,mrmr_approx,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,mrmr_approx,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,mrmr_approx,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_correlation,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_correlation,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_correlation,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_correlation,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_correlation,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_correlation,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_correlation/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_info,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_info,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_info,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_info,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_info,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,mutual_info,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mutual_info/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,random_forest,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,random_forest,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,random_forest,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,random_forest,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,random_forest,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,random_forest,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/random_forest/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,rfe,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rfe/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rfe/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,rrfs,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,rrfs,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,rrfs,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,rrfs,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,rrfs,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,rrfs,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/rrfs/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,variance,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,variance,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,variance,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,variance,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,variance,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,variance,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/variance/k_30_seleccionadas.csv,90
customer_churn,boruta,12,results/tables/05_feature_selection/granular/customer_churn/boruta/k_12.csv,results/tables/05_feature_selection/granular/customer_churn/boruta/k_12_seleccionadas.csv,15
customer_churn,f_classif,1,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_1_seleccionadas.csv,45
customer_churn,f_classif,4,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_4_seleccionadas.csv,45
customer_churn,f_classif,5,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_5_seleccionadas.csv,45
customer_churn,f_classif,10,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_10_seleccionadas.csv,45
customer_churn,f_classif,15,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/f_classif/k_15_seleccionadas.csv,45
customer_churn,feature_similarity,1,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_1_seleccionadas.csv,45
customer_churn,feature_similarity,4,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_4_seleccionadas.csv,45
customer_churn,feature_similarity,5,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_5_seleccionadas.csv,45
customer_churn,feature_similarity,10,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_10_seleccionadas.csv,45
customer_churn,feature_similarity,15,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/feature_similarity/k_15_seleccionadas.csv,45
customer_churn,l1_logistic,1,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_1_seleccionadas.csv,45
customer_churn,l1_logistic,4,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_4_seleccionadas.csv,45
customer_churn,l1_logistic,5,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_5_seleccionadas.csv,45
customer_churn,l1_logistic,10,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_10_seleccionadas.csv,45
customer_churn,l1_logistic,15,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/l1_logistic/k_15_seleccionadas.csv,45
customer_churn,linear_svm,1,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_1_seleccionadas.csv,45
customer_churn,linear_svm,4,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_4_seleccionadas.csv,45
customer_churn,linear_svm,5,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_5_seleccionadas.csv,45
customer_churn,linear_svm,10,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_10_seleccionadas.csv,45
customer_churn,linear_svm,15,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/linear_svm/k_15_seleccionadas.csv,45
customer_churn,mrmr_approx,1,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_1_seleccionadas.csv,45
customer_churn,mrmr_approx,4,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_4_seleccionadas.csv,45
customer_churn,mrmr_approx,5,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_5_seleccionadas.csv,45
customer_churn,mrmr_approx,10,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_10_seleccionadas.csv,45
customer_churn,mrmr_approx,15,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/mrmr_approx/k_15_seleccionadas.csv,45
customer_churn,mutual_correlation,1,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_1_seleccionadas.csv,45
customer_churn,mutual_correlation,4,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_4_seleccionadas.csv,45
customer_churn,mutual_correlation,5,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_5_seleccionadas.csv,45
customer_churn,mutual_correlation,10,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_10_seleccionadas.csv,45
customer_churn,mutual_correlation,15,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_correlation/k_15_seleccionadas.csv,45
customer_churn,mutual_info,1,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_1_seleccionadas.csv,45
customer_churn,mutual_info,4,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_4_seleccionadas.csv,45
customer_churn,mutual_info,5,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_5_seleccionadas.csv,45
customer_churn,mutual_info,10,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_10_seleccionadas.csv,45
customer_churn,mutual_info,15,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/mutual_info/k_15_seleccionadas.csv,45
customer_churn,random_forest,1,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_1_seleccionadas.csv,45
customer_churn,random_forest,4,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_4_seleccionadas.csv,45
customer_churn,random_forest,5,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_5_seleccionadas.csv,45
customer_churn,random_forest,10,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_10_seleccionadas.csv,45
customer_churn,random_forest,15,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/random_forest/k_15_seleccionadas.csv,45
customer_churn,rfe,10,results/tables/05_feature_selection/granular/customer_churn/rfe/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/rfe/k_10_seleccionadas.csv,45
customer_churn,rrfs,1,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_1_seleccionadas.csv,45
customer_churn,rrfs,4,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_4_seleccionadas.csv,45
customer_churn,rrfs,5,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_5_seleccionadas.csv,45
customer_churn,rrfs,10,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_10_seleccionadas.csv,45
customer_churn,rrfs,15,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/rrfs/k_15_seleccionadas.csv,45
customer_churn,variance,1,results/tables/05_feature_selection/granular/customer_churn/variance/k_1.csv,results/tables/05_feature_selection/granular/customer_churn/variance/k_1_seleccionadas.csv,45
customer_churn,variance,4,results/tables/05_feature_selection/granular/customer_churn/variance/k_4.csv,results/tables/05_feature_selection/granular/customer_churn/variance/k_4_seleccionadas.csv,45
customer_churn,variance,5,results/tables/05_feature_selection/granular/customer_churn/variance/k_5.csv,results/tables/05_feature_selection/granular/customer_churn/variance/k_5_seleccionadas.csv,45
customer_churn,variance,10,results/tables/05_feature_selection/granular/customer_churn/variance/k_10.csv,results/tables/05_feature_selection/granular/customer_churn/variance/k_10_seleccionadas.csv,45
customer_churn,variance,15,results/tables/05_feature_selection/granular/customer_churn/variance/k_15.csv,results/tables/05_feature_selection/granular/customer_churn/variance/k_15_seleccionadas.csv,45
madelon,boruta,19,results/tables/05_feature_selection/granular/madelon/boruta/k_19.csv,results/tables/05_feature_selection/granular/madelon/boruta/k_19_seleccionadas.csv,500
madelon,f_classif,5,results/tables/05_feature_selection/granular/madelon/f_classif/k_5.csv,results/tables/05_feature_selection/granular/madelon/f_classif/k_5_seleccionadas.csv,1500
madelon,f_classif,10,results/tables/05_feature_selection/granular/madelon/f_classif/k_10.csv,results/tables/05_feature_selection/granular/madelon/f_classif/k_10_seleccionadas.csv,1500
madelon,f_classif,15,results/tables/05_feature_selection/granular/madelon/f_classif/k_15.csv,results/tables/05_feature_selection/granular/madelon/f_classif/k_15_seleccionadas.csv,1500
madelon,f_classif,20,results/tables/05_feature_selection/granular/madelon/f_classif/k_20.csv,results/tables/05_feature_selection/granular/madelon/f_classif/k_20_seleccionadas.csv,1500
madelon,f_classif,22,results/tables/05_feature_selection/granular/madelon/f_classif/k_22.csv,results/tables/05_feature_selection/granular/madelon/f_classif/k_22_seleccionadas.csv,1500
madelon,f_classif,30,results/tables/05_feature_selection/granular/madelon/f_classif/k_30.csv,results/tables/05_feature_selection/granular/madelon/f_classif/k_30_seleccionadas.csv,1500
madelon,f_classif,50,results/tables/05_feature_selection/granular/madelon/f_classif/k_50.csv,results/tables/05_feature_selection/granular/madelon/f_classif/k_50_seleccionadas.csv,1500
madelon,feature_similarity,5,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_5.csv,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_5_seleccionadas.csv,1500
madelon,feature_similarity,10,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_10.csv,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_10_seleccionadas.csv,1500
madelon,feature_similarity,15,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_15.csv,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_15_seleccionadas.csv,1500
madelon,feature_similarity,20,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_20.csv,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_20_seleccionadas.csv,1500
madelon,feature_similarity,22,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_22.csv,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_22_seleccionadas.csv,1500
madelon,feature_similarity,30,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_30.csv,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_30_seleccionadas.csv,1500
madelon,feature_similarity,50,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_50.csv,results/tables/05_feature_selection/granular/madelon/feature_similarity/k_50_seleccionadas.csv,1500
madelon,l1_logistic,5,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_5.csv,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_5_seleccionadas.csv,1500
madelon,l1_logistic,10,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_10.csv,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_10_seleccionadas.csv,1500
madelon,l1_logistic,15,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_15.csv,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_15_seleccionadas.csv,1500
madelon,l1_logistic,20,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_20.csv,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_20_seleccionadas.csv,1500
madelon,l1_logistic,22,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_22.csv,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_22_seleccionadas.csv,1500
madelon,l1_logistic,30,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_30.csv,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_30_seleccionadas.csv,1500
madelon,l1_logistic,50,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_50.csv,results/tables/05_feature_selection/granular/madelon/l1_logistic/k_50_seleccionadas.csv,1500
madelon,linear_svm,5,results/tables/05_feature_selection/granular/madelon/linear_svm/k_5.csv,results/tables/05_feature_selection/granular/madelon/linear_svm/k_5_seleccionadas.csv,1500
