dataset,method,k,seed_a,seed_b,jaccard
breast_cancer_wisconsin,random_forest,3,42,97,0.5
breast_cancer_wisconsin,random_forest,5,13,42,0.6666666666666666
breast_cancer_wisconsin,random_forest,5,13,97,1.0
breast_cancer_wisconsin,random_forest,5,42,97,0.6666666666666666
breast_cancer_wisconsin,random_forest,10,13,42,1.0
breast_cancer_wisconsin,random_forest,10,13,97,0.8181818181818182
breast_cancer_wisconsin,random_forest,10,42,97,0.8181818181818182
breast_cancer_wisconsin,random_forest,15,13,42,0.7647058823529411
breast_cancer_wisconsin,random_forest,15,13,97,0.7647058823529411
breast_cancer_wisconsin,random_forest,15,42,97,1.0
breast_cancer_wisconsin,random_forest,20,13,42,0.8181818181818182
breast_cancer_wisconsin,random_forest,20,13,97,0.9047619047619048
breast_cancer_wisconsin,random_forest,20,42,97,0.9047619047619048
breast_cancer_wisconsin,random_forest,30,13,42,1.0
breast_cancer_wisconsin,random_forest,30,13,97,1.0
breast_cancer_wisconsin,random_forest,30,42,97,1.0
breast_cancer_wisconsin,rfe,10,13,42,1.0
breast_cancer_wisconsin,rfe,10,13,97,1.0
breast_cancer_wisconsin,rfe,10,42,97,1.0
breast_cancer_wisconsin,rrfs,3,13,42,1.0
breast_cancer_wisconsin,rrfs,3,13,97,1.0
breast_cancer_wisconsin,rrfs,3,42,97,1.0
breast_cancer_wisconsin,rrfs,5,13,42,1.0
breast_cancer_wisconsin,rrfs,5,13,97,1.0
breast_cancer_wisconsin,rrfs,5,42,97,1.0
breast_cancer_wisconsin,rrfs,10,13,42,1.0
breast_cancer_wisconsin,rrfs,10,13,97,1.0
breast_cancer_wisconsin,rrfs,10,42,97,1.0
breast_cancer_wisconsin,rrfs,15,13,42,1.0
breast_cancer_wisconsin,rrfs,15,13,97,1.0
breast_cancer_wisconsin,rrfs,15,42,97,1.0
breast_cancer_wisconsin,rrfs,20,13,42,1.0
breast_cancer_wisconsin,rrfs,20,13,97,1.0
breast_cancer_wisconsin,rrfs,20,42,97,1.0
breast_cancer_wisconsin,rrfs,30,13,42,1.0
breast_cancer_wisconsin,rrfs,30,13,97,1.0
breast_cancer_wisconsin,rrfs,30,42,97,1.0
breast_cancer_wisconsin,variance,3,13,42,1.0
breast_cancer_wisconsin,variance,3,13,97,1.0
breast_cancer_wisconsin,variance,3,42,97,1.0
breast_cancer_wisconsin,variance,5,13,42,1.0
breast_cancer_wisconsin,variance,5,13,97,1.0
breast_cancer_wisconsin,variance,5,42,97,1.0
breast_cancer_wisconsin,variance,10,13,42,1.0
breast_cancer_wisconsin,variance,10,13,97,1.0
breast_cancer_wisconsin,variance,10,42,97,1.0
breast_cancer_wisconsin,variance,15,13,42,1.0
breast_cancer_wisconsin,variance,15,13,97,1.0
breast_cancer_wisconsin,variance,15,42,97,1.0
breast_cancer_wisconsin,variance,20,13,42,1.0
breast_cancer_wisconsin,variance,20,13,97,1.0
breast_cancer_wisconsin,variance,20,42,97,1.0
breast_cancer_wisconsin,variance,30,13,42,1.0
breast_cancer_wisconsin,variance,30,13,97,1.0
breast_cancer_wisconsin,variance,30,42,97,1.0
customer_churn,f_classif,1,13,42,1.0
customer_churn,f_classif,1,13,97,1.0
customer_churn,f_classif,1,42,97,1.0
customer_churn,f_classif,4,13,42,1.0
customer_churn,f_classif,4,13,97,1.0
customer_churn,f_classif,4,42,97,1.0
customer_churn,f_classif,5,13,42,1.0
customer_churn,f_classif,5,13,97,1.0
customer_churn,f_classif,5,42,97,1.0
customer_churn,f_classif,10,13,42,1.0
customer_churn,f_classif,10,13,97,1.0
customer_churn,f_classif,10,42,97,1.0
customer_churn,f_classif,15,13,42,1.0
customer_churn,f_classif,15,13,97,1.0
customer_churn,f_classif,15,42,97,1.0
customer_churn,feature_similarity,1,13,42,1.0
customer_churn,feature_similarity,1,13,97,1.0
customer_churn,feature_similarity,1,42,97,1.0
customer_churn,feature_similarity,4,13,42,1.0
customer_churn,feature_similarity,4,13,97,1.0
customer_churn,feature_similarity,4,42,97,1.0
customer_churn,feature_similarity,5,13,42,1.0
customer_churn,feature_similarity,5,13,97,1.0
customer_churn,feature_similarity,5,42,97,1.0
customer_churn,feature_similarity,10,13,42,1.0
customer_churn,feature_similarity,10,13,97,1.0
customer_churn,feature_similarity,10,42,97,1.0
customer_churn,feature_similarity,15,13,42,1.0
customer_churn,feature_similarity,15,13,97,1.0
customer_churn,feature_similarity,15,42,97,1.0
customer_churn,l1_logistic,1,13,42,1.0
customer_churn,l1_logistic,1,13,97,1.0
customer_churn,l1_logistic,1,42,97,1.0
customer_churn,l1_logistic,4,13,42,1.0
customer_churn,l1_logistic,4,13,97,1.0
customer_churn,l1_logistic,4,42,97,1.0
customer_churn,l1_logistic,5,13,42,1.0
customer_churn,l1_logistic,5,13,97,1.0
customer_churn,l1_logistic,5,42,97,1.0
customer_churn,l1_logistic,10,13,42,0.8181818181818182
customer_churn,l1_logistic,10,13,97,0.8181818181818182
customer_churn,l1_logistic,10,42,97,0.8181818181818182
customer_churn,l1_logistic,15,13,42,1.0
customer_churn,l1_logistic,15,13,97,1.0
customer_churn,l1_logistic,15,42,97,1.0
customer_churn,linear_svm,1,13,42,1.0
customer_churn,linear_svm,1,13,97,1.0
customer_churn,linear_svm,1,42,97,1.0
customer_churn,linear_svm,4,13,42,1.0
customer_churn,linear_svm,4,13,97,1.0
customer_churn,linear_svm,4,42,97,1.0
customer_churn,linear_svm,5,13,42,1.0
customer_churn,linear_svm,5,13,97,1.0
customer_churn,linear_svm,5,42,97,1.0
customer_churn,linear_svm,10,13,42,0.6666666666666666
customer_churn,linear_svm,10,13,97,0.6666666666666666
customer_churn,linear_svm,10,42,97,1.0
customer_churn,linear_svm,15,13,42,1.0
customer_churn,linear_svm,15,13,97,1.0
customer_churn,linear_svm,15,42,97,1.0
customer_churn,mrmr_approx,1,13,42,1.0
customer_churn,mrmr_approx,1,13,97,1.0
customer_churn,mrmr_approx,1,42,97,1.0
customer_churn,mrmr_approx,4,13,42,0.3333333333333333
customer_churn,mrmr_approx,4,13,97,0.3333333333333333
customer_churn,mrmr_approx,4,42,97,0.6
customer_churn,mrmr_approx,5,13,42,0.42857142857142855
customer_churn,mrmr_approx,5,13,97,0.42857142857142855
customer_churn,mrmr_approx,5,42,97,0.6666666666666666
customer_churn,mrmr_approx,10,13,42,0.8181818181818182
customer_churn,mrmr_approx,10,13,97,0.8181818181818182
customer_churn,mrmr_approx,10,42,97,1.0
customer_churn,mrmr_approx,15,13,42,1.0
customer_churn,mrmr_approx,15,13,97,1.0
customer_churn,mrmr_approx,15,42,97,1.0
customer_churn,mutual_correlation,1,13,42,1.0
customer_churn,mutual_correlation,1,13,97,1.0
customer_churn,mutual_correlation,1,42,97,1.0
customer_churn,mutual_correlation,4,13,42,1.0
customer_churn,mutual_correlation,4,13,97,1.0
customer_churn,mutual_correlation,4,42,97,1.0
customer_churn,mutual_correlation,5,13,42,1.0
customer_churn,mutual_correlation,5,13,97,1.0
customer_churn,mutual_correlation,5,42,97,1.0
customer_churn,mutual_correlation,10,13,42,1.0
customer_churn,mutual_correlation,10,13,97,1.0
customer_churn,mutual_correlation,10,42,97,1.0
customer_churn,mutual_correlation,15,13,42,1.0
customer_churn,mutual_correlation,15,13,97,1.0
customer_churn,mutual_correlation,15,42,97,1.0
customer_churn,mutual_info,1,13,42,1.0
customer_churn,mutual_info,1,13,97,1.0
customer_churn,mutual_info,1,42,97,1.0
customer_churn,mutual_info,4,13,42,0.6
customer_churn,mutual_info,4,13,97,0.6
customer_churn,mutual_info,4,42,97,1.0
customer_churn,mutual_info,5,13,42,1.0
customer_churn,mutual_info,5,13,97,1.0
customer_churn,mutual_info,5,42,97,1.0
customer_churn,mutual_info,10,13,42,1.0
customer_churn,mutual_info,10,13,97,1.0
customer_churn,mutual_info,10,42,97,1.0
customer_churn,mutual_info,15,13,42,1.0
customer_churn,mutual_info,15,13,97,1.0
customer_churn,mutual_info,15,42,97,1.0
customer_churn,random_forest,1,13,42,1.0
customer_churn,random_forest,1,13,97,1.0
customer_churn,random_forest,1,42,97,1.0
customer_churn,random_forest,4,13,42,1.0
customer_churn,random_forest,4,13,97,1.0
customer_churn,random_forest,4,42,97,1.0
customer_churn,random_forest,5,13,42,1.0
customer_churn,random_forest,5,13,97,1.0
customer_churn,random_forest,5,42,97,1.0
customer_churn,random_forest,10,13,42,1.0
customer_churn,random_forest,10,13,97,1.0
customer_churn,random_forest,10,42,97,1.0
customer_churn,random_forest,15,13,42,1.0
customer_churn,random_forest,15,13,97,1.0
customer_churn,random_forest,15,42,97,1.0
customer_churn,rfe,10,13,42,1.0
customer_churn,rfe,10,13,97,1.0
customer_churn,rfe,10,42,97,1.0
customer_churn,rrfs,1,13,42,1.0
customer_churn,rrfs,1,13,97,1.0
customer_churn,rrfs,1,42,97,1.0
customer_churn,rrfs,4,13,42,0.6
customer_churn,rrfs,4,13,97,0.6
customer_churn,rrfs,4,42,97,1.0
customer_churn,rrfs,5,13,42,1.0
customer_churn,rrfs,5,13,97,1.0
customer_churn,rrfs,5,42,97,1.0
customer_churn,rrfs,10,13,42,1.0
customer_churn,rrfs,10,13,97,1.0
customer_churn,rrfs,10,42,97,1.0
customer_churn,rrfs,15,13,42,1.0
customer_churn,rrfs,15,13,97,1.0
customer_churn,rrfs,15,42,97,1.0
customer_churn,variance,1,13,42,1.0
customer_churn,variance,1,13,97,1.0
customer_churn,variance,1,42,97,1.0
customer_churn,variance,4,13,42,1.0
customer_churn,variance,4,13,97,1.0
customer_churn,variance,4,42,97,1.0
customer_churn,variance,5,13,42,1.0
customer_churn,variance,5,13,97,1.0
customer_churn,variance,5,42,97,1.0
customer_churn,variance,10,13,42,1.0
customer_churn,variance,10,13,97,1.0
customer_churn,variance,10,42,97,1.0
customer_churn,variance,15,13,42,1.0
customer_churn,variance,15,13,97,1.0
customer_churn,variance,15,42,97,1.0
madelon,f_classif,5,13,42,1.0
madelon,f_classif,5,13,97,1.0
madelon,f_classif,5,42,97,1.0
madelon,f_classif,10,13,42,1.0
madelon,f_classif,10,13,97,1.0
madelon,f_classif,10,42,97,1.0
madelon,f_classif,15,13,42,1.0
madelon,f_classif,15,13,97,1.0
madelon,f_classif,15,42,97,1.0
madelon,f_classif,20,13,42,1.0
madelon,f_classif,20,13,97,1.0
madelon,f_classif,20,42,97,1.0
madelon,f_classif,22,13,42,1.0
madelon,f_classif,22,13,97,1.0
madelon,f_classif,22,42,97,1.0
madelon,f_classif,30,13,42,1.0
madelon,f_classif,30,13,97,1.0
madelon,f_classif,30,42,97,1.0
madelon,f_classif,50,13,42,1.0
madelon,f_classif,50,13,97,1.0
madelon,f_classif,50,42,97,1.0
madelon,feature_similarity,5,13,42,1.0
madelon,feature_similarity,5,13,97,1.0
madelon,feature_similarity,5,42,97,1.0
madelon,feature_similarity,10,13,42,1.0
madelon,feature_similarity,10,13,97,1.0
madelon,feature_similarity,10,42,97,1.0
madelon,feature_similarity,15,13,42,1.0
madelon,feature_similarity,15,13,97,1.0
madelon,feature_similarity,15,42,97,1.0
madelon,feature_similarity,20,13,42,1.0
madelon,feature_similarity,20,13,97,1.0
madelon,feature_similarity,20,42,97,1.0
madelon,feature_similarity,22,13,42,1.0
madelon,feature_similarity,22,13,97,1.0
madelon,feature_similarity,22,42,97,1.0
madelon,feature_similarity,30,13,42,1.0
madelon,feature_similarity,30,13,97,1.0
madelon,feature_similarity,30,42,97,1.0
madelon,feature_similarity,50,13,42,1.0
madelon,feature_similarity,50,13,97,1.0
madelon,feature_similarity,50,42,97,1.0
madelon,l1_logistic,5,13,42,1.0
madelon,l1_logistic,5,13,97,1.0
madelon,l1_logistic,5,42,97,1.0
madelon,l1_logistic,10,13,42,1.0
madelon,l1_logistic,10,13,97,1.0
madelon,l1_logistic,10,42,97,1.0
madelon,l1_logistic,15,13,42,1.0
madelon,l1_logistic,15,13,97,1.0
madelon,l1_logistic,15,42,97,1.0
madelon,l1_logistic,20,13,42,1.0
madelon,l1_logistic,20,13,97,1.0
madelon,l1_logistic,20,42,97,1.0
madelon,l1_logistic,22,13,42,1.0
madelon,l1_logistic,22,13,97,1.0
madelon,l1_logistic,22,42,97,1.0
madelon,l1_logistic,30,13,42,1.0
madelon,l1_logistic,30,13,97,1.0
madelon,l1_logistic,30,42,97,1.0
madelon,l1_logistic,50,13,42,1.0
madelon,l1_logistic,50,13,97,1.0
madelon,l1_logistic,50,42,97,1.0
madelon,linear_svm,5,13,42,1.0
madelon,linear_svm,5,13,97,1.0
madelon,linear_svm,5,42,97,1.0
madelon,linear_svm,10,13,42,1.0
madelon,linear_svm,10,13,97,1.0
madelon,linear_svm,10,42,97,1.0
madelon,linear_svm,15,13,42,1.0
madelon,linear_svm,15,13,97,1.0
madelon,linear_svm,15,42,97,1.0
madelon,linear_svm,20,13,42,1.0
madelon,linear_svm,20,13,97,1.0
madelon,linear_svm,20,42,97,1.0
madelon,linear_svm,22,13,42,1.0
madelon,linear_svm,22,13,97,1.0
madelon,linear_svm,22,42,97,1.0
madelon,linear_svm,30,13,42,1.0
madelon,linear_svm,30,13,97,1.0
madelon,linear_svm,30,42,97,1.0
madelon,linear_svm,50,13,42,1.0
madelon,linear_svm,50,13,97,1.0
madelon,linear_svm,50,42,97,1.0
madelon,mrmr_approx,5,13,42,1.0
madelon,mrmr_approx,5,13,97,1.0
madelon,mrmr_approx,5,42,97,1.0
madelon,mrmr_approx,10,13,42,1.0
madelon,mrmr_approx,10,13,97,1.0
madelon,mrmr_approx,10,42,97,1.0
madelon,mrmr_approx,15,13,42,1.0
madelon,mrmr_approx,15,13,97,1.0
madelon,mrmr_approx,15,42,97,1.0
madelon,mrmr_approx,20,13,42,1.0
madelon,mrmr_approx,20,13,97,1.0
madelon,mrmr_approx,20,42,97,1.0
madelon,mrmr_approx,22,13,42,1.0
madelon,mrmr_approx,22,13,97,1.0
madelon,mrmr_approx,22,42,97,1.0
madelon,mrmr_approx,30,13,42,1.0
madelon,mrmr_approx,30,13,97,1.0
madelon,mrmr_approx,30,42,97,1.0
madelon,mrmr_approx,50,13,42,1.0
madelon,mrmr_approx,50,13,97,1.0
madelon,mrmr_approx,50,42,97,1.0
madelon,mutual_correlation,5,13,42,1.0
madelon,mutual_correlation,5,13,97,1.0
madelon,mutual_correlation,5,42,97,1.0
madelon,mutual_correlation,10,13,42,1.0
madelon,mutual_correlation,10,13,97,1.0
madelon,mutual_correlation,10,42,97,1.0
madelon,mutual_correlation,15,13,42,1.0
madelon,mutual_correlation,15,13,97,1.0
madelon,mutual_correlation,15,42,97,1.0
madelon,mutual_correlation,20,13,42,1.0
madelon,mutual_correlation,20,13,97,1.0
madelon,mutual_correlation,20,42,97,1.0
madelon,mutual_correlation,22,13,42,1.0
madelon,mutual_correlation,22,13,97,1.0
madelon,mutual_correlation,22,42,97,1.0
madelon,mutual_correlation,30,13,42,1.0
madelon,mutual_correlation,30,13,97,1.0
madelon,mutual_correlation,30,42,97,1.0
madelon,mutual_correlation,50,13,42,1.0
madelon,mutual_correlation,50,13,97,1.0
madelon,mutual_correlation,50,42,97,1.0
madelon,mutual_info,5,13,42,1.0
madelon,mutual_info,5,13,97,1.0
madelon,mutual_info,5,42,97,1.0
madelon,mutual_info,10,13,42,1.0
madelon,mutual_info,10,13,97,1.0
madelon,mutual_info,10,42,97,1.0
madelon,mutual_info,15,13,42,1.0
madelon,mutual_info,15,13,97,1.0
madelon,mutual_info,15,42,97,1.0
madelon,mutual_info,20,13,42,1.0
madelon,mutual_info,20,13,97,1.0
madelon,mutual_info,20,42,97,1.0
madelon,mutual_info,22,13,42,1.0
madelon,mutual_info,22,13,97,1.0
madelon,mutual_info,22,42,97,1.0
madelon,mutual_info,30,13,42,1.0
madelon,mutual_info,30,13,97,1.0
madelon,mutual_info,30,42,97,1.0
madelon,mutual_info,50,13,42,1.0
madelon,mutual_info,50,13,97,1.0
madelon,mutual_info,50,42,97,1.0
madelon,random_forest,5,13,42,1.0
madelon,random_forest,5,13,97,1.0
madelon,random_forest,5,42,97,1.0
madelon,random_forest,10,13,42,1.0
madelon,random_forest,10,13,97,0.8181818181818182
madelon,random_forest,10,42,97,0.8181818181818182
madelon,random_forest,15,13,42,0.7647058823529411
madelon,random_forest,15,13,97,0.7647058823529411
madelon,random_forest,15,42,97,0.6666666666666666
madelon,random_forest,20,13,42,0.9047619047619048
madelon,random_forest,20,13,97,1.0
madelon,random_forest,20,42,97,0.9047619047619048
madelon,random_forest,22,13,42,0.8333333333333334
madelon,random_forest,22,13,97,0.8333333333333334
madelon,random_forest,22,42,97,0.8333333333333334
madelon,random_forest,30,13,42,0.6666666666666666
madelon,random_forest,30,13,97,0.6666666666666666
madelon,random_forest,30,42,97,0.5789473684210527
madelon,random_forest,50,13,42,0.42857142857142855
madelon,random_forest,50,13,97,0.3888888888888889
madelon,random_forest,50,42,97,0.47058823529411764
madelon,rfe,10,13,42,1.0
madelon,rfe,10,13,97,1.0
madelon,rfe,10,42,97,1.0
madelon,rrfs,5,13,42,1.0
madelon,rrfs,5,13,97,1.0
madelon,rrfs,5,42,97,1.0
madelon,rrfs,10,13,42,1.0
madelon,rrfs,10,13,97,1.0
madelon,rrfs,10,42,97,1.0
madelon,rrfs,15,13,42,1.0
madelon,rrfs,15,13,97,1.0
madelon,rrfs,15,42,97,1.0
madelon,rrfs,20,13,42,1.0
madelon,rrfs,20,13,97,1.0
madelon,rrfs,20,42,97,1.0
madelon,rrfs,22,13,42,1.0
madelon,rrfs,22,13,97,1.0
madelon,rrfs,22,42,97,1.0
madelon,rrfs,30,13,42,1.0
madelon,rrfs,30,13,97,1.0
madelon,rrfs,30,42,97,1.0
madelon,rrfs,50,13,42,1.0
madelon,rrfs,50,13,97,1.0
madelon,rrfs,50,42,97,1.0
madelon,variance,5,13,42,1.0
madelon,variance,5,13,97,1.0
madelon,variance,5,42,97,1.0
madelon,variance,10,13,42,1.0
madelon,variance,10,13,97,1.0
madelon,variance,10,42,97,1.0
madelon,variance,15,13,42,1.0
madelon,variance,15,13,97,1.0
madelon,variance,15,42,97,1.0
madelon,variance,20,13,42,1.0
madelon,variance,20,13,97,1.0
madelon,variance,20,42,97,1.0
madelon,variance,22,13,42,1.0
madelon,variance,22,13,97,1.0
madelon,variance,22,42,97,1.0
madelon,variance,30,13,42,1.0
madelon,variance,30,13,97,1.0
madelon,variance,30,42,97,1.0
madelon,variance,50,13,42,1.0
madelon,variance,50,13,97,1.0
madelon,variance,50,42,97,1.0
olive_oil_3class,f_classif,3,13,42,1.0
olive_oil_3class,f_classif,3,13,97,1.0
olive_oil_3class,f_classif,3,42,97,1.0
olive_oil_3class,f_classif,5,13,42,1.0
olive_oil_3class,f_classif,5,13,97,1.0
olive_oil_3class,f_classif,5,42,97,1.0
olive_oil_3class,f_classif,8,13,42,1.0
olive_oil_3class,f_classif,8,13,97,1.0
olive_oil_3class,f_classif,8,42,97,1.0
olive_oil_3class,feature_similarity,3,13,42,1.0
olive_oil_3class,feature_similarity,3,13,97,1.0
olive_oil_3class,feature_similarity,3,42,97,1.0
olive_oil_3class,feature_similarity,5,13,42,1.0
olive_oil_3class,feature_similarity,5,13,97,1.0
olive_oil_3class,feature_similarity,5,42,97,1.0
olive_oil_3class,feature_similarity,8,13,42,1.0
olive_oil_3class,feature_similarity,8,13,97,1.0
olive_oil_3class,feature_similarity,8,42,97,1.0
olive_oil_3class,l1_logistic,3,13,42,1.0
olive_oil_3class,l1_logistic,3,13,97,1.0
olive_oil_3class,l1_logistic,3,42,97,1.0
olive_oil_3class,l1_logistic,5,13,42,1.0
olive_oil_3class,l1_logistic,5,13,97,1.0
olive_oil_3class,l1_logistic,5,42,97,1.0
olive_oil_3class,l1_logistic,8,13,42,1.0
olive_oil_3class,l1_logistic,8,13,97,1.0
olive_oil_3class,l1_logistic,8,42,97,1.0
olive_oil_3class,linear_svm,3,13,42,1.0
olive_oil_3class,linear_svm,3,13,97,1.0
olive_oil_3class,linear_svm,3,42,97,1.0
olive_oil_3class,linear_svm,5,13,42,1.0
olive_oil_3class,linear_svm,5,13,97,1.0
olive_oil_3class,linear_svm,5,42,97,1.0
