ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
24638,40,housemaid,married,secondary,no,1029,yes,yes,cellular,17,nov,117,2,117,3,failure,no
24643,38,admin.,married,secondary,no,0,no,no,telephone,17,nov,599,2,158,8,other,no
24649,57,management,married,secondary,no,1502,no,no,telephone,17,nov,340,2,109,11,failure,no
24658,30,technician,single,secondary,no,426,yes,no,telephone,17,nov,127,4,111,6,failure,no
24662,56,management,single,secondary,no,237,yes,no,telephone,17,nov,117,3,131,4,failure,no
24665,39,technician,married,secondary,no,8,no,yes,cellular,17,nov,333,2,96,2,failure,no
24672,43,services,divorced,secondary,no,1043,yes,no,cellular,17,nov,57,4,119,3,failure,no
24675,42,services,married,secondary,no,1027,yes,no,telephone,17,nov,188,2,168,2,failure,no
24676,44,management,married,tertiary,no,724,yes,no,cellular,17,nov,157,2,172,1,failure,no
24684,36,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,273,2,131,1,failure,no
24686,40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no
24696,43,management,married,tertiary,no,2767,yes,no,cellular,17,nov,374,1,186,7,failure,no
24697,40,technician,married,secondary,no,1269,yes,no,cellular,17,nov,353,1,172,1,failure,no
24698,56,services,married,secondary,no,1150,no,yes,cellular,17,nov,107,1,117,3,failure,no
24699,37,technician,married,secondary,no,5115,yes,no,cellular,17,nov,1210,2,171,4,failure,yes
24701,56,management,single,tertiary,no,1092,yes,yes,cellular,17,nov,176,3,186,4,failure,no
24702,37,management,married,secondary,no,121,no,yes,cellular,17,nov,211,2,151,2,failure,no
24703,58,blue-collar,divorced,secondary,no,644,no,yes,cellular,17,nov,220,4,109,4,failure,no
24709,45,entrepreneur,married,secondary,no,781,no,yes,cellular,17,nov,652,2,126,2,failure,yes
24714,50,technician,married,secondary,no,0,yes,no,cellular,17,nov,114,4,168,2,failure,no
24718,46,admin.,married,secondary,no,4958,yes,no,cellular,17,nov,64,3,150,5,other,no
24723,35,services,divorced,secondary,no,204,yes,no,cellular,17,nov,295,1,186,9,other,no
24729,40,blue-collar,married,secondary,no,755,no,no,cellular,17,nov,408,1,117,1,failure,no
24737,43,technician,married,tertiary,no,1201,yes,yes,cellular,18,nov,82,1,97,3,failure,no
24739,40,self-employed,married,tertiary,no,3059,yes,yes,cellular,18,nov,41,1,182,1,failure,no
24752,36,housemaid,married,primary,no,4324,yes,no,cellular,18,nov,139,4,127,4,failure,no
24753,44,management,married,tertiary,no,756,yes,no,cellular,18,nov,65,1,130,2,failure,no
24756,37,blue-collar,married,secondary,no,723,yes,no,cellular,18,nov,119,1,110,2,failure,no
24758,37,technician,married,secondary,no,195,yes,no,cellular,18,nov,68,1,194,2,failure,no
24760,41,technician,married,secondary,no,3275,yes,no,cellular,18,nov,121,1,168,1,other,no
24761,42,entrepreneur,married,tertiary,no,2249,yes,no,telephone,18,nov,228,1,125,5,failure,no
24765,53,technician,married,secondary,no,137,no,yes,cellular,18,nov,52,1,176,1,failure,no
24776,44,technician,married,secondary,no,10888,yes,no,cellular,18,nov,67,1,105,1,failure,no
24779,41,admin.,married,secondary,no,4320,yes,no,cellular,18,nov,164,1,166,2,failure,no
24786,41,blue-collar,married,primary,no,1461,yes,no,cellular,18,nov,290,1,165,2,success,no
24795,48,management,married,secondary,no,4415,yes,no,cellular,18,nov,271,1,102,6,failure,no
24801,58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,no
24802,56,technician,married,secondary,no,589,yes,no,cellular,18,nov,208,1,26,3,success,no
24804,34,blue-collar,married,secondary,no,559,yes,no,telephone,18,nov,47,1,193,1,other,no
24825,39,admin.,single,tertiary,no,283,yes,no,cellular,18,nov,346,1,179,3,other,no
24826,36,technician,married,secondary,no,154,yes,no,cellular,18,nov,231,1,96,2,other,no
24834,47,management,divorced,tertiary,no,428,yes,no,cellular,18,nov,116,1,167,1,other,no
24838,42,admin.,single,secondary,no,-247,yes,yes,cellular,18,nov,104,2,28,2,success,no
24843,37,technician,married,secondary,no,0,yes,no,cellular,18,nov,173,1,179,6,failure,no
24844,35,management,single,secondary,no,5260,yes,no,cellular,18,nov,59,1,182,2,failure,no
24850,33,technician,single,secondary,no,1769,yes,no,cellular,18,nov,273,1,182,1,failure,no
24851,46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,50,1,183,2,failure,no
24858,46,technician,married,secondary,no,68,yes,yes,cellular,18,nov,111,2,155,3,failure,no
24859,36,admin.,divorced,secondary,no,454,yes,no,cellular,18,nov,165,1,131,1,failure,no
24863,32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276,1,195,1,failure,no
24864,38,management,single,tertiary,no,1515,yes,no,cellular,18,nov,134,1,110,5,failure,no
24866,37,housemaid,single,tertiary,no,561,no,no,cellular,18,nov,188,1,165,2,failure,no
24867,59,entrepreneur,married,secondary,no,2429,no,yes,cellular,18,nov,79,2,182,7,failure,no
24869,40,services,divorced,secondary,no,1155,no,yes,cellular,18,nov,175,1,138,1,failure,no
24871,59,blue-collar,married,primary,no,14,yes,yes,cellular,18,nov,319,2,182,1,failure,no
24872,36,management,single,tertiary,no,0,no,yes,cellular,18,nov,300,1,96,4,failure,no
24876,51,blue-collar,married,primary,no,1194,yes,no,cellular,18,nov,714,1,186,3,failure,no
24878,45,blue-collar,single,secondary,no,91,no,yes,cellular,18,nov,149,1,127,2,failure,no
24884,38,management,single,tertiary,no,427,yes,no,cellular,18,nov,253,1,182,1,failure,no
24897,42,blue-collar,married,secondary,no,1958,yes,no,cellular,18,nov,129,1,172,3,failure,no
24898,30,technician,single,tertiary,no,3,yes,no,cellular,18,nov,54,1,195,1,failure,no
24900,51,self-employed,married,tertiary,no,146,no,no,cellular,18,nov,150,2,126,3,failure,no
24901,37,management,married,tertiary,no,3770,yes,no,cellular,18,nov,106,1,110,4,failure,no
24902,41,services,married,secondary,no,446,yes,no,cellular,18,nov,296,1,186,1,success,no
24904,33,admin.,divorced,secondary,no,661,yes,no,cellular,18,nov,411,1,173,2,other,no
24909,30,technician,single,secondary,no,4787,yes,no,cellular,18,nov,266,1,167,2,failure,no
24911,36,technician,married,secondary,no,1345,yes,no,cellular,18,nov,82,1,172,3,failure,no
24915,58,management,married,tertiary,no,0,yes,no,cellular,18,nov,265,1,188,1,failure,no
24917,42,blue-collar,married,primary,no,2273,yes,no,cellular,18,nov,253,1,112,2,failure,no
24918,41,blue-collar,married,secondary,no,1100,yes,no,cellular,18,nov,397,1,173,2,failure,no
24919,43,technician,married,secondary,no,764,yes,no,cellular,18,nov,164,5,127,5,failure,no
24922,34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,596,1,182,1,other,yes
24923,48,services,married,secondary,no,2877,yes,no,cellular,18,nov,77,1,168,1,failure,no
24927,30,technician,single,secondary,yes,-305,no,yes,cellular,18,nov,37,1,96,6,failure,no
24936,31,technician,married,tertiary,no,26,no,yes,cellular,18,nov,419,1,127,6,other,yes
24940,43,technician,single,secondary,yes,685,yes,no,cellular,18,nov,78,1,110,2,failure,no
24941,34,admin.,single,secondary,no,10,no,yes,cellular,18,nov,162,1,173,3,failure,no
24943,35,management,married,tertiary,no,1041,no,no,cellular,18,nov,586,1,120,3,other,no
24944,36,admin.,single,secondary,no,1927,yes,no,cellular,18,nov,288,1,137,1,other,no
24947,44,management,married,primary,no,1880,yes,no,cellular,18,nov,34,1,124,6,failure,no
24948,45,technician,divorced,secondary,no,5862,yes,no,cellular,18,nov,352,1,110,3,other,no
24954,36,management,married,tertiary,no,0,yes,no,cellular,18,nov,103,1,175,2,failure,no
24955,33,blue-collar,married,secondary,no,596,yes,no,cellular,18,nov,77,1,127,3,failure,no
24959,47,admin.,married,secondary,no,829,yes,yes,cellular,18,nov,48,1,188,1,failure,no
24960,47,blue-collar,married,secondary,no,3237,yes,no,cellular,18,nov,38,1,187,3,failure,no
24961,35,technician,married,secondary,no,222,yes,no,cellular,18,nov,233,1,190,6,failure,no
24969,39,admin.,married,secondary,no,3732,yes,no,cellular,18,nov,515,1,181,2,failure,no
24970,39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,failure,no
24982,31,services,single,secondary,no,2038,yes,no,cellular,18,nov,239,1,182,1,failure,no
24985,37,unemployed,single,tertiary,no,1316,yes,no,cellular,18,nov,389,1,172,2,failure,no
24986,50,technician,married,secondary,no,-353,yes,yes,cellular,18,nov,162,1,175,2,failure,no
24987,39,management,divorced,tertiary,no,5009,yes,no,cellular,18,nov,255,1,126,2,failure,no
24992,56,admin.,divorced,secondary,no,0,no,no,cellular,18,nov,100,1,154,2,failure,no
24999,30,admin.,divorced,secondary,no,83,yes,yes,cellular,18,nov,118,2,196,1,failure,no
25004,45,blue-collar,married,primary,no,147,yes,no,cellular,18,nov,226,1,168,2,failure,no
25013,33,blue-collar,married,secondary,no,157,yes,no,cellular,18,nov,110,1,182,1,failure,no
25014,45,technician,married,secondary,no,3395,yes,no,cellular,18,nov,92,1,188,1,failure,no
25015,39,housemaid,married,primary,no,694,yes,yes,cellular,18,nov,91,1,168,2,other,no
25022,37,blue-collar,single,secondary,no,690,yes,no,cellular,18,nov,105,1,179,2,failure,no
25024,37,services,single,secondary,no,54,yes,no,cellular,18,nov,328,2,131,1,failure,no
25025,33,technician,single,tertiary,no,179,yes,no,cellular,18,nov,432,2,181,4,other,no
25029,40,services,single,secondary,no,326,yes,no,cellular,18,nov,124,1,175,1,failure,no
25030,45,technician,married,secondary,no,1441,yes,no,cellular,18,nov,93,1,113,2,other,no
25034,39,technician,married,secondary,no,484,no,yes,cellular,18,nov,61,1,113,3,other,no
25036,38,blue-collar,married,secondary,no,-288,yes,yes,cellular,18,nov,68,1,165,2,failure,no
25044,41,technician,married,secondary,no,2123,no,no,cellular,18,nov,232,1,102,2,failure,no
25047,44,technician,married,secondary,no,1901,no,no,cellular,18,nov,143,3,104,2,failure,no
25050,41,blue-collar,married,secondary,no,1954,no,no,cellular,18,nov,65,1,110,2,success,no
25058,45,management,single,tertiary,no,16,no,no,cellular,18,nov,100,1,110,2,failure,no
25068,34,management,divorced,tertiary,no,5754,yes,no,cellular,18,nov,32,1,181,1,failure,no
25071,52,admin.,divorced,secondary,no,2717,no,no,telephone,18,nov,114,1,162,2,failure,no
25072,43,entrepreneur,single,primary,no,103,yes,no,cellular,18,nov,53,1,183,5,failure,no
25073,37,management,married,primary,no,5427,no,no,cellular,18,nov,201,1,159,1,failure,no
25078,37,management,single,tertiary,no,1743,yes,no,cellular,18,nov,192,1,113,2,failure,no
25085,48,blue-collar,married,primary,no,1092,no,yes,cellular,18,nov,79,1,172,8,failure,no
25095,35,management,married,tertiary,no,4943,yes,no,cellular,18,nov,295,1,124,2,failure,no
25096,42,management,married,tertiary,no,2110,no,yes,cellular,18,nov,67,1,110,2,failure,no
25112,34,management,married,tertiary,no,63,no,no,cellular,18,nov,83,1,102,2,failure,no
25118,32,blue-collar,single,secondary,no,118,yes,no,cellular,18,nov,216,1,124,1,success,no
25120,50,self-employed,single,tertiary,no,21,yes,no,cellular,18,nov,157,1,188,1,failure,no
25122,30,management,married,tertiary,no,900,no,no,cellular,18,nov,123,1,124,2,failure,no
25125,32,admin.,married,secondary,no,1785,yes,no,cellular,18,nov,51,2,154,6,other,no
25126,55,services,married,secondary,no,3546,yes,yes,cellular,18,nov,588,1,110,2,failure,no
25129,32,management,married,tertiary,no,1667,yes,no,cellular,18,nov,164,2,179,3,failure,no
25132,32,services,single,secondary,no,2251,yes,yes,cellular,18,nov,131,1,124,1,failure,no
25133,31,admin.,single,secondary,no,2076,no,yes,cellular,18,nov,178,1,127,7,other,no
25135,46,blue-collar,single,primary,no,3046,yes,yes,cellular,18,nov,84,1,183,1,other,no
25136,44,technician,married,secondary,no,533,yes,no,cellular,18,nov,127,1,110,2,failure,no
25146,36,blue-collar,married,secondary,no,2894,yes,no,cellular,18,nov,91,1,124,1,failure,no
25148,34,management,married,tertiary,no,11,yes,no,cellular,18,nov,123,1,124,1,failure,no
25151,32,management,married,tertiary,no,3107,yes,yes,cellular,18,nov,165,2,116,1,failure,no
25153,48,blue-collar,married,secondary,no,3008,yes,yes,cellular,18,nov,163,1,187,3,failure,no
25157,48,management,single,tertiary,no,648,yes,no,cellular,18,nov,290,1,110,2,failure,no
25165,39,services,married,secondary,no,173,yes,no,cellular,18,nov,96,2,182,2,failure,no
25175,47,admin.,single,secondary,no,19,yes,yes,cellular,18,nov,90,2,123,1,failure,no
25177,52,blue-collar,married,tertiary,no,297,yes,no,cellular,18,nov,62,2,195,1,failure,no
25181,59,technician,divorced,secondary,no,797,yes,no,cellular,18,nov,319,2,165,2,failure,no
25184,36,services,single,secondary,no,1482,yes,no,cellular,18,nov,177,2,174,1,other,no
25187,38,entrepreneur,married,tertiary,no,678,no,yes,cellular,18,nov,82,2,152,1,failure,no
25199,54,blue-collar,married,secondary,no,506,yes,no,cellular,18,nov,172,2,104,2,failure,no
25203,51,management,married,tertiary,no,-516,yes,no,cellular,18,nov,120,2,187,2,failure,no
25205,44,management,single,tertiary,no,1356,no,yes,cellular,18,nov,264,2,134,2,other,no
25207,47,blue-collar,married,primary,no,1533,no,yes,cellular,18,nov,273,2,96,4,failure,no
25213,34,blue-collar,married,primary,no,500,yes,no,cellular,18,nov,240,2,182,1,failure,no
25220,54,admin.,married,secondary,no,3729,no,yes,cellular,18,nov,597,2,116,1,other,no
25224,30,blue-collar,married,secondary,no,246,yes,no,cellular,18,nov,166,2,113,5,failure,no
25228,43,management,single,tertiary,no,-56,yes,no,cellular,18,nov,146,2,151,14,failure,no
25229,52,services,married,secondary,no,2257,yes,no,telephone,18,nov,102,2,188,1,failure,no
25230,36,blue-collar,married,secondary,no,402,no,yes,cellular,18,nov,86,2,154,1,failure,no
25233,39,management,married,secondary,no,517,yes,no,cellular,18,nov,387,3,196,2,failure,no
25234,32,management,single,tertiary,no,0,yes,no,cellular,18,nov,244,2,168,1,other,no
25235,46,management,married,tertiary,no,0,no,no,cellular,18,nov,716,2,110,3,other,yes
25238,45,management,single,tertiary,no,5694,yes,no,cellular,18,nov,145,2,193,2,failure,no
25239,54,self-employed,married,tertiary,no,368,no,no,cellular,18,nov,74,2,110,4,failure,no
25241,41,entrepreneur,married,secondary,no,-1882,yes,no,cellular,18,nov,17,5,151,2,other,no
25245,36,entrepreneur,single,secondary,no,296,no,no,cellular,18,nov,67,2,111,2,failure,no
25250,38,technician,married,secondary,no,508,yes,no,cellular,18,nov,722,3,175,2,failure,no
25253,36,technician,single,primary,no,2169,yes,no,cellular,18,nov,133,2,110,3,other,no
25256,44,technician,married,secondary,no,2626,yes,no,cellular,18,nov,170,2,188,3,failure,no
25260,59,entrepreneur,married,primary,no,124,yes,no,cellular,18,nov,531,3,134,7,failure,no
25266,36,management,married,tertiary,no,521,no,yes,cellular,18,nov,135,2,152,1,other,no
25273,40,admin.,single,secondary,no,2854,yes,no,cellular,18,nov,354,2,169,1,failure,no
25274,30,services,divorced,secondary,no,0,yes,yes,cellular,18,nov,174,2,111,3,failure,no
25276,34,blue-collar,married,secondary,no,932,no,yes,cellular,18,nov,148,2,132,1,other,no
25278,42,management,single,tertiary,no,1113,yes,yes,cellular,18,nov,89,2,162,12,failure,no
25279,33,management,married,tertiary,no,1522,yes,no,cellular,18,nov,171,2,179,3,failure,no
25282,44,services,married,secondary,no,-236,yes,no,cellular,18,nov,218,2,113,7,success,no
25284,36,self-employed,single,tertiary,no,3560,no,no,cellular,18,nov,658,3,169,2,failure,no
25285,42,blue-collar,divorced,secondary,no,898,yes,no,cellular,18,nov,136,2,131,1,failure,no
25288,36,technician,divorced,secondary,no,556,yes,no,cellular,18,nov,154,3,189,1,failure,no
25292,53,self-employed,married,secondary,no,1066,yes,no,cellular,18,nov,110,1,186,3,failure,no
25295,38,technician,married,secondary,no,728,yes,no,cellular,18,nov,286,1,181,2,other,no
25297,52,self-employed,married,tertiary,no,5350,yes,yes,cellular,18,nov,68,2,110,4,success,no
25304,40,technician,married,secondary,no,7313,yes,no,cellular,18,nov,241,2,182,1,failure,no
25305,30,technician,single,tertiary,no,0,yes,no,cellular,18,nov,342,2,174,1,failure,no
25308,45,services,married,secondary,no,1550,yes,no,cellular,18,nov,143,2,166,6,failure,no
25314,38,services,married,secondary,no,4392,no,no,cellular,18,nov,23,2,110,2,failure,no
25321,47,admin.,divorced,primary,no,1095,yes,no,cellular,18,nov,171,1,110,2,other,no
25327,33,blue-collar,married,secondary,no,328,yes,no,cellular,18,nov,160,2,182,1,failure,no
25332,41,housemaid,divorced,primary,no,22,yes,no,cellular,18,nov,238,3,126,4,other,no
25333,51,management,married,tertiary,no,1612,yes,no,cellular,18,nov,61,2,131,1,failure,no
25336,33,technician,married,tertiary,no,17455,yes,yes,cellular,18,nov,168,3,179,4,failure,no
25337,32,blue-collar,married,secondary,no,491,yes,no,cellular,18,nov,131,3,194,2,failure,no
25344,47,technician,married,secondary,no,826,yes,no,telephone,18,nov,195,3,112,8,other,no
