dataset,variable,percentil,valor_raw,valor_processed,delta_abs
breast_cancer_wisconsin,symmetry_se,1.0,0.07895,0.07895,0.0
breast_cancer_wisconsin,fractal_dimension_se,0.0,0.0008948,0.0008948,0.0
breast_cancer_wisconsin,fractal_dimension_se,0.25,0.002248,0.002248,0.0
breast_cancer_wisconsin,fractal_dimension_se,0.5,0.003187,0.003187,0.0
breast_cancer_wisconsin,fractal_dimension_se,0.75,0.004558,0.004558,0.0
breast_cancer_wisconsin,fractal_dimension_se,1.0,0.02984,0.02984,0.0
breast_cancer_wisconsin,radius_worst,0.0,7.93,7.93,0.0
breast_cancer_wisconsin,radius_worst,0.25,13.01,13.01,0.0
breast_cancer_wisconsin,radius_worst,0.5,14.97,14.97,0.0
breast_cancer_wisconsin,radius_worst,0.75,18.79,18.79,0.0
breast_cancer_wisconsin,radius_worst,1.0,36.04,36.04,0.0
breast_cancer_wisconsin,texture_worst,0.0,12.02,12.02,0.0
breast_cancer_wisconsin,texture_worst,0.25,21.08,21.08,0.0
breast_cancer_wisconsin,texture_worst,0.5,25.41,25.41,0.0
breast_cancer_wisconsin,texture_worst,0.75,29.72,29.72,0.0
breast_cancer_wisconsin,texture_worst,1.0,49.54,49.54,0.0
breast_cancer_wisconsin,perimeter_worst,0.0,50.41,50.41,0.0
breast_cancer_wisconsin,perimeter_worst,0.25,84.11,84.11,0.0
breast_cancer_wisconsin,perimeter_worst,0.5,97.66,97.66,0.0
breast_cancer_wisconsin,perimeter_worst,0.75,125.4,125.4,0.0
breast_cancer_wisconsin,perimeter_worst,1.0,251.2,251.2,0.0
breast_cancer_wisconsin,area_worst,0.0,185.2,185.2,0.0
breast_cancer_wisconsin,area_worst,0.25,515.3,515.3,0.0
breast_cancer_wisconsin,area_worst,0.5,686.5,686.5,0.0
breast_cancer_wisconsin,area_worst,0.75,1084.0,1084.0,0.0
breast_cancer_wisconsin,area_worst,1.0,4254.0,4254.0,0.0
breast_cancer_wisconsin,smoothness_worst,0.0,0.07117,0.07117,0.0
breast_cancer_wisconsin,smoothness_worst,0.25,0.1166,0.1166,0.0
breast_cancer_wisconsin,smoothness_worst,0.5,0.1313,0.1313,0.0
breast_cancer_wisconsin,smoothness_worst,0.75,0.146,0.146,0.0
breast_cancer_wisconsin,smoothness_worst,1.0,0.2226,0.2226,0.0
breast_cancer_wisconsin,compactness_worst,0.0,0.02729,0.02729,0.0
breast_cancer_wisconsin,compactness_worst,0.25,0.1472,0.1472,0.0
breast_cancer_wisconsin,compactness_worst,0.5,0.2119,0.2119,0.0
breast_cancer_wisconsin,compactness_worst,0.75,0.3391,0.3391,0.0
breast_cancer_wisconsin,compactness_worst,1.0,1.058,1.058,0.0
breast_cancer_wisconsin,concavity_worst,0.0,0.0,0.0,0.0
breast_cancer_wisconsin,concavity_worst,0.25,0.1145,0.1145,0.0
breast_cancer_wisconsin,concavity_worst,0.5,0.2267,0.2267,0.0
breast_cancer_wisconsin,concavity_worst,0.75,0.3829,0.3829,0.0
breast_cancer_wisconsin,concavity_worst,1.0,1.252,1.252,0.0
breast_cancer_wisconsin,concave_points_worst,0.0,0.0,0.0,0.0
breast_cancer_wisconsin,concave_points_worst,0.25,0.06493,0.06493,0.0
breast_cancer_wisconsin,concave_points_worst,0.5,0.09993,0.09993,0.0
breast_cancer_wisconsin,concave_points_worst,0.75,0.1614,0.1614,0.0
breast_cancer_wisconsin,concave_points_worst,1.0,0.291,0.291,0.0
breast_cancer_wisconsin,symmetry_worst,0.0,0.1565,0.1565,0.0
breast_cancer_wisconsin,symmetry_worst,0.25,0.2504,0.2504,0.0
breast_cancer_wisconsin,symmetry_worst,0.5,0.2822,0.2822,0.0
breast_cancer_wisconsin,symmetry_worst,0.75,0.3179,0.3179,0.0
breast_cancer_wisconsin,symmetry_worst,1.0,0.6638,0.6638,0.0
breast_cancer_wisconsin,fractal_dimension_worst,0.0,0.05504,0.05504,0.0
breast_cancer_wisconsin,fractal_dimension_worst,0.25,0.07146,0.07146,0.0
breast_cancer_wisconsin,fractal_dimension_worst,0.5,0.08004,0.08004,0.0
breast_cancer_wisconsin,fractal_dimension_worst,0.75,0.09208,0.09208,0.0
breast_cancer_wisconsin,fractal_dimension_worst,1.0,0.2075,0.2075,0.0
customer_churn,age,0.0,18.0,18.0,0.0
customer_churn,age,0.25,29.0,29.0,0.0
customer_churn,age,0.5,39.0,39.0,0.0
customer_churn,age,0.75,48.0,48.0,0.0
customer_churn,age,1.0,65.0,65.0,0.0
customer_churn,tenure,0.0,1.0,1.0,0.0
customer_churn,tenure,0.25,16.0,16.0,0.0
customer_churn,tenure,0.5,32.0,32.0,0.0
customer_churn,tenure,0.75,46.0,46.0,0.0
customer_churn,tenure,1.0,60.0,60.0,0.0
customer_churn,usage_frequency,0.0,1.0,1.0,0.0
customer_churn,usage_frequency,0.25,9.0,9.0,0.0
customer_churn,usage_frequency,0.5,16.0,16.0,0.0
customer_churn,usage_frequency,0.75,23.0,23.0,0.0
customer_churn,usage_frequency,1.0,30.0,30.0,0.0
customer_churn,support_calls,0.0,0.0,0.0,0.0
customer_churn,support_calls,0.25,1.0,1.0,0.0
customer_churn,support_calls,0.5,3.0,3.0,0.0
customer_churn,support_calls,0.75,6.0,6.0,0.0
customer_churn,support_calls,1.0,10.0,10.0,0.0
customer_churn,payment_delay,0.0,0.0,0.0,0.0
customer_churn,payment_delay,0.25,6.0,6.0,0.0
customer_churn,payment_delay,0.5,12.0,12.0,0.0
customer_churn,payment_delay,0.75,19.0,19.0,0.0
customer_churn,payment_delay,1.0,30.0,30.0,0.0
customer_churn,total_spend,0.0,100.0,100.0,0.0
customer_churn,total_spend,0.25,480.0,480.0,0.0
customer_churn,total_spend,0.5,661.0,661.0,0.0
customer_churn,total_spend,0.75,830.0,830.0,0.0
customer_churn,total_spend,1.0,1000.0,1000.0,0.0
customer_churn,last_interaction,0.0,1.0,1.0,0.0
customer_churn,last_interaction,0.25,7.0,7.0,0.0
customer_churn,last_interaction,0.5,14.0,14.0,0.0
customer_churn,last_interaction,0.75,22.0,22.0,0.0
customer_churn,last_interaction,1.0,30.0,30.0,0.0
madelon,feat_0,0.0,462.0,462.0,0.0
madelon,feat_0,0.25,477.0,477.0,0.0
madelon,feat_0,0.5,482.0,482.0,0.0
madelon,feat_0,0.75,486.0,486.0,0.0
madelon,feat_0,1.0,503.0,503.0,0.0
madelon,feat_1,0.0,381.0,381.0,0.0
madelon,feat_1,0.25,464.0,464.0,0.0
madelon,feat_1,0.5,483.0,483.0,0.0
madelon,feat_1,0.75,503.0,503.0,0.0
madelon,feat_1,1.0,600.0,600.0,0.0
madelon,feat_2,0.0,370.0,370.0,0.0
madelon,feat_2,0.25,485.0,485.0,0.0
madelon,feat_2,0.5,510.5,510.5,0.0
madelon,feat_2,0.75,536.0,536.0,0.0
madelon,feat_2,1.0,654.0,654.0,0.0
madelon,feat_3,0.0,453.0,453.0,0.0
madelon,feat_3,0.25,477.0,477.0,0.0
madelon,feat_3,0.5,483.0,483.0,0.0
madelon,feat_3,0.75,490.0,490.0,0.0
madelon,feat_3,1.0,519.0,519.0,0.0
madelon,feat_4,0.0,371.0,371.0,0.0
madelon,feat_4,0.25,475.0,475.0,0.0
madelon,feat_4,0.5,500.0,500.0,0.0
madelon,feat_4,0.75,528.0,528.0,0.0
madelon,feat_4,1.0,688.0,688.0,0.0
madelon,feat_5,0.0,459.0,459.0,0.0
madelon,feat_5,0.25,475.0,475.0,0.0
madelon,feat_5,0.5,479.0,479.0,0.0
madelon,feat_5,0.75,484.0,484.0,0.0
madelon,feat_5,1.0,505.0,505.0,0.0
madelon,feat_6,0.0,334.0,334.0,0.0
madelon,feat_6,0.25,452.75,452.75,0.0
madelon,feat_6,0.5,480.0,480.0,0.0
madelon,feat_6,0.75,506.25,506.25,0.0
madelon,feat_6,1.0,611.0,611.0,0.0
madelon,feat_7,0.0,471.0,471.0,0.0
madelon,feat_7,0.25,476.0,476.0,0.0
madelon,feat_7,0.5,477.0,477.0,0.0
madelon,feat_7,0.75,477.0,477.0,0.0
madelon,feat_7,1.0,481.0,481.0,0.0
madelon,feat_8,0.0,430.0,430.0,0.0
madelon,feat_8,0.25,477.0,477.0,0.0
madelon,feat_8,0.5,487.0,487.0,0.0
madelon,feat_8,0.75,496.25,496.25,0.0
madelon,feat_8,1.0,536.0,536.0,0.0
madelon,feat_9,0.0,455.0,455.0,0.0
madelon,feat_9,0.25,474.0,474.0,0.0
madelon,feat_9,0.5,479.0,479.0,0.0
madelon,feat_9,0.75,484.0,484.0,0.0
madelon,feat_9,1.0,503.0,503.0,0.0
madelon,feat_10,0.0,354.0,354.0,0.0
madelon,feat_10,0.25,462.0,462.0,0.0
madelon,feat_10,0.5,486.0,486.0,0.0
madelon,feat_10,0.75,511.0,511.0,0.0
madelon,feat_10,1.0,620.0,620.0,0.0
madelon,feat_11,0.0,389.0,389.0,0.0
madelon,feat_11,0.25,472.0,472.0,0.0
madelon,feat_11,0.5,491.0,491.0,0.0
madelon,feat_11,0.75,508.25,508.25,0.0
madelon,feat_11,1.0,603.0,603.0,0.0
madelon,feat_12,0.0,347.0,347.0,0.0
madelon,feat_12,0.25,455.0,455.0,0.0
madelon,feat_12,0.5,478.0,478.0,0.0
madelon,feat_12,0.75,502.0,502.0,0.0
madelon,feat_12,1.0,593.0,593.0,0.0
madelon,feat_13,0.0,352.0,352.0,0.0
madelon,feat_13,0.25,454.0,454.0,0.0
madelon,feat_13,0.5,482.0,482.0,0.0
madelon,feat_13,0.75,510.0,510.0,0.0
madelon,feat_13,1.0,632.0,632.0,0.0
madelon,feat_14,0.0,444.0,444.0,0.0
madelon,feat_14,0.25,477.0,477.0,0.0
madelon,feat_14,0.5,485.0,485.0,0.0
madelon,feat_14,0.75,493.0,493.0,0.0
madelon,feat_14,1.0,523.0,523.0,0.0
madelon,feat_15,0.0,410.0,410.0,0.0
madelon,feat_15,0.25,464.0,464.0,0.0
madelon,feat_15,0.5,479.0,479.0,0.0
madelon,feat_15,0.75,494.0,494.0,0.0
madelon,feat_15,1.0,551.0,551.0,0.0
madelon,feat_16,0.0,433.0,433.0,0.0
madelon,feat_16,0.25,470.0,470.0,0.0
madelon,feat_16,0.5,479.0,479.0,0.0
madelon,feat_16,0.75,489.0,489.0,0.0
madelon,feat_16,1.0,523.0,523.0,0.0
madelon,feat_17,0.0,377.0,377.0,0.0
madelon,feat_17,0.25,475.0,475.0,0.0
madelon,feat_17,0.5,495.0,495.0,0.0
madelon,feat_17,0.75,515.0,515.0,0.0
madelon,feat_17,1.0,601.0,601.0,0.0
madelon,feat_18,0.0,408.0,408.0,0.0
madelon,feat_18,0.25,468.0,468.0,0.0
madelon,feat_18,0.5,484.0,484.0,0.0
madelon,feat_18,0.75,500.0,500.0,0.0
madelon,feat_18,1.0,566.0,566.0,0.0
madelon,feat_19,0.0,441.0,441.0,0.0
madelon,feat_19,0.25,470.0,470.0,0.0
madelon,feat_19,0.5,477.5,477.5,0.0
madelon,feat_19,0.75,484.0,484.0,0.0
madelon,feat_19,1.0,513.0,513.0,0.0
madelon,feat_20,0.0,426.0,426.0,0.0
madelon,feat_20,0.25,476.75,476.75,0.0
madelon,feat_20,0.5,485.0,485.0,0.0
madelon,feat_20,0.75,493.0,493.0,0.0
madelon,feat_20,1.0,526.0,526.0,0.0
madelon,feat_21,0.0,412.0,412.0,0.0
madelon,feat_21,0.25,479.0,479.0,0.0
madelon,feat_21,0.5,494.0,494.0,0.0
madelon,feat_21,0.75,509.0,509.0,0.0
madelon,feat_21,1.0,571.0,571.0,0.0
madelon,feat_22,0.0,456.0,456.0,0.0
madelon,feat_22,0.25,472.0,472.0,0.0
madelon,feat_22,0.5,477.0,477.0,0.0
madelon,feat_22,0.75,481.0,481.0,0.0
madelon,feat_22,1.0,499.0,499.0,0.0
madelon,feat_23,0.0,438.0,438.0,0.0
madelon,feat_23,0.25,473.0,473.0,0.0
madelon,feat_23,0.5,479.0,479.0,0.0
madelon,feat_23,0.75,486.0,486.0,0.0
madelon,feat_23,1.0,516.0,516.0,0.0
madelon,feat_24,0.0,343.0,343.0,0.0
madelon,feat_24,0.25,469.0,469.0,0.0
madelon,feat_24,0.5,500.0,500.0,0.0
madelon,feat_24,0.75,529.0,529.0,0.0
madelon,feat_24,1.0,653.0,653.0,0.0
madelon,feat_25,0.0,416.0,416.0,0.0
madelon,feat_25,0.25,485.0,485.0,0.0
madelon,feat_25,0.5,504.0,504.0,0.0
madelon,feat_25,0.75,524.0,524.0,0.0
madelon,feat_25,1.0,597.0,597.0,0.0
madelon,feat_26,0.0,421.0,421.0,0.0
madelon,feat_26,0.25,471.0,471.0,0.0
madelon,feat_26,0.5,485.0,485.0,0.0
madelon,feat_26,0.75,499.0,499.0,0.0
madelon,feat_26,1.0,573.0,573.0,0.0
madelon,feat_27,0.0,441.0,441.0,0.0
madelon,feat_27,0.25,474.0,474.0,0.0
madelon,feat_27,0.5,482.0,482.0,0.0
madelon,feat_27,0.75,490.0,490.0,0.0
madelon,feat_27,1.0,528.0,528.0,0.0
madelon,feat_28,0.0,438.0,438.0,0.0
madelon,feat_28,0.25,468.0,468.0,0.0
madelon,feat_28,0.5,481.0,481.0,0.0
madelon,feat_28,0.75,493.0,493.0,0.0
madelon,feat_28,1.0,520.0,520.0,0.0
madelon,feat_29,0.0,417.0,417.0,0.0
madelon,feat_29,0.25,477.0,477.0,0.0
madelon,feat_29,0.5,492.0,492.0,0.0
madelon,feat_29,0.75,505.0,505.0,0.0
madelon,feat_29,1.0,573.0,573.0,0.0
madelon,feat_30,0.0,451.0,451.0,0.0
madelon,feat_30,0.25,477.0,477.0,0.0
madelon,feat_30,0.5,482.0,482.0,0.0
madelon,feat_30,0.75,487.0,487.0,0.0
madelon,feat_30,1.0,510.0,510.0,0.0
madelon,feat_31,0.0,382.0,382.0,0.0
madelon,feat_31,0.25,475.0,475.0,0.0
madelon,feat_31,0.5,500.0,500.0,0.0
madelon,feat_31,0.75,526.0,526.0,0.0
madelon,feat_31,1.0,628.0,628.0,0.0
madelon,feat_32,0.0,369.0,369.0,0.0
madelon,feat_32,0.25,476.0,476.0,0.0
madelon,feat_32,0.5,501.0,501.0,0.0
madelon,feat_32,0.75,524.0,524.0,0.0
madelon,feat_32,1.0,668.0,668.0,0.0
madelon,feat_33,0.0,363.0,363.0,0.0
madelon,feat_33,0.25,462.0,462.0,0.0
madelon,feat_33,0.5,489.0,489.0,0.0
madelon,feat_33,0.75,516.0,516.0,0.0
madelon,feat_33,1.0,637.0,637.0,0.0
madelon,feat_34,0.0,384.0,384.0,0.0
madelon,feat_34,0.25,471.0,471.0,0.0
madelon,feat_34,0.5,486.0,486.0,0.0
madelon,feat_34,0.75,502.0,502.0,0.0
madelon,feat_34,1.0,557.0,557.0,0.0
madelon,feat_35,0.0,342.0,342.0,0.0
madelon,feat_35,0.25,460.0,460.0,0.0
madelon,feat_35,0.5,490.0,490.0,0.0
madelon,feat_35,0.75,519.0,519.0,0.0
madelon,feat_35,1.0,619.0,619.0,0.0
madelon,feat_36,0.0,441.0,441.0,0.0
madelon,feat_36,0.25,472.0,472.0,0.0
madelon,feat_36,0.5,479.0,479.0,0.0
madelon,feat_36,0.75,487.0,487.0,0.0
madelon,feat_36,1.0,517.0,517.0,0.0
madelon,feat_37,0.0,396.0,396.0,0.0
madelon,feat_37,0.25,465.0,465.0,0.0
madelon,feat_37,0.5,481.0,481.0,0.0
madelon,feat_37,0.75,496.0,496.0,0.0
madelon,feat_37,1.0,564.0,564.0,0.0
madelon,feat_38,0.0,464.0,464.0,0.0
madelon,feat_38,0.25,477.0,477.0,0.0
madelon,feat_38,0.5,480.0,480.0,0.0
madelon,feat_38,0.75,483.0,483.0,0.0
madelon,feat_38,1.0,496.0,496.0,0.0
madelon,feat_39,0.0,471.0,471.0,0.0
madelon,feat_39,0.25,475.0,475.0,0.0
madelon,feat_39,0.5,476.0,476.0,0.0
madelon,feat_39,0.75,477.0,477.0,0.0
madelon,feat_39,1.0,482.0,482.0,0.0
madelon,feat_40,0.0,463.0,463.0,0.0
madelon,feat_40,0.25,474.0,474.0,0.0
madelon,feat_40,0.5,476.0,476.0,0.0
madelon,feat_40,0.75,479.0,479.0,0.0
madelon,feat_40,1.0,487.0,487.0,0.0
madelon,feat_41,0.0,362.0,362.0,0.0
madelon,feat_41,0.25,463.0,463.0,0.0
madelon,feat_41,0.5,490.0,490.0,0.0
madelon,feat_41,0.75,515.0,515.0,0.0
madelon,feat_41,1.0,643.0,643.0,0.0
madelon,feat_42,0.0,392.0,392.0,0.0
madelon,feat_42,0.25,462.0,462.0,0.0
madelon,feat_42,0.5,477.0,477.0,0.0
madelon,feat_42,0.75,491.0,491.0,0.0
madelon,feat_42,1.0,568.0,568.0,0.0
madelon,feat_43,0.0,438.0,438.0,0.0
madelon,feat_43,0.25,477.0,477.0,0.0
madelon,feat_43,0.5,488.0,488.0,0.0
madelon,feat_43,0.75,499.0,499.0,0.0
madelon,feat_43,1.0,548.0,548.0,0.0
madelon,feat_44,0.0,406.0,406.0,0.0
madelon,feat_44,0.25,481.0,481.0,0.0
madelon,feat_44,0.5,500.0,500.0,0.0
madelon,feat_44,0.75,519.0,519.0,0.0
madelon,feat_44,1.0,602.0,602.0,0.0
madelon,feat_45,0.0,392.0,392.0,0.0
madelon,feat_45,0.25,464.0,464.0,0.0
madelon,feat_45,0.5,481.0,481.0,0.0
madelon,feat_45,0.75,496.0,496.0,0.0
madelon,feat_45,1.0,557.0,557.0,0.0
madelon,feat_46,0.0,371.0,371.0,0.0
madelon,feat_46,0.25,472.0,472.0,0.0
madelon,feat_46,0.5,496.0,496.0,0.0
madelon,feat_46,0.75,521.0,521.0,0.0
madelon,feat_46,1.0,641.0,641.0,0.0
madelon,feat_47,0.0,373.0,373.0,0.0
madelon,feat_47,0.25,472.0,472.0,0.0
madelon,feat_47,0.5,495.0,495.0,0.0
madelon,feat_47,0.75,517.0,517.0,0.0
madelon,feat_47,1.0,619.0,619.0,0.0
madelon,feat_48,0.0,367.0,367.0,0.0
madelon,feat_48,0.25,449.0,449.0,0.0
madelon,feat_48,0.5,485.0,485.0,0.0
madelon,feat_48,0.75,521.0,521.0,0.0
madelon,feat_48,1.0,614.0,614.0,0.0
madelon,feat_49,0.0,382.0,382.0,0.0
madelon,feat_49,0.25,462.0,462.0,0.0
madelon,feat_49,0.5,480.0,480.0,0.0
madelon,feat_49,0.75,496.0,496.0,0.0
madelon,feat_49,1.0,571.0,571.0,0.0
madelon,feat_50,0.0,381.0,381.0,0.0
madelon,feat_50,0.25,490.0,490.0,0.0
madelon,feat_50,0.5,517.0,517.0,0.0
madelon,feat_50,0.75,546.25,546.25,0.0
madelon,feat_50,1.0,658.0,658.0,0.0
madelon,feat_51,0.0,382.0,382.0,0.0
madelon,feat_51,0.25,482.0,482.0,0.0
madelon,feat_51,0.5,506.0,506.0,0.0
madelon,feat_51,0.75,529.0,529.0,0.0
madelon,feat_51,1.0,641.0,641.0,0.0
madelon,feat_52,0.0,399.0,399.0,0.0
madelon,feat_52,0.25,470.0,470.0,0.0
madelon,feat_52,0.5,485.0,485.0,0.0
madelon,feat_52,0.75,501.0,501.0,0.0
madelon,feat_52,1.0,577.0,577.0,0.0
madelon,feat_53,0.0,465.0,465.0,0.0
madelon,feat_53,0.25,477.0,477.0,0.0
madelon,feat_53,0.5,480.0,480.0,0.0
madelon,feat_53,0.75,483.0,483.0,0.0
madelon,feat_53,1.0,498.0,498.0,0.0
madelon,feat_54,0.0,401.0,401.0,0.0
madelon,feat_54,0.25,478.0,478.0,0.0
madelon,feat_54,0.5,497.0,497.0,0.0
madelon,feat_54,0.75,516.0,516.0,0.0
madelon,feat_54,1.0,598.0,598.0,0.0
madelon,feat_55,0.0,409.0,409.0,0.0
madelon,feat_55,0.25,481.0,481.0,0.0
madelon,feat_55,0.5,495.0,495.0,0.0
madelon,feat_55,0.75,509.0,509.0,0.0
madelon,feat_55,1.0,561.0,561.0,0.0
madelon,feat_56,0.0,288.0,288.0,0.0
madelon,feat_56,0.25,451.75,451.75,0.0
madelon,feat_56,0.5,480.0,480.0,0.0
madelon,feat_56,0.75,507.0,507.0,0.0
madelon,feat_56,1.0,644.0,644.0,0.0
madelon,feat_57,0.0,377.0,377.0,0.0
madelon,feat_57,0.25,462.0,462.0,0.0
madelon,feat_57,0.5,484.0,484.0,0.0
madelon,feat_57,0.75,507.0,507.0,0.0
madelon,feat_57,1.0,617.0,617.0,0.0
madelon,feat_58,0.0,378.0,378.0,0.0
madelon,feat_58,0.25,481.0,481.0,0.0
madelon,feat_58,0.5,509.0,509.0,0.0
madelon,feat_58,0.75,536.0,536.0,0.0
madelon,feat_58,1.0,675.0,675.0,0.0
madelon,feat_59,0.0,408.0,408.0,0.0
