dataset,metodo,variable_a,variable_b,abs_correlacion
breast_cancer_wisconsin,pearson,compactness_worst,concavity_worst,0.8922608987764685
breast_cancer_wisconsin,pearson,concavity_worst,concave_points_worst,0.8554338603439982
breast_cancer_wisconsin,spearman,radius_mean,perimeter_mean,0.9978017394617467
breast_cancer_wisconsin,spearman,radius_mean,area_mean,0.9996020278067482
breast_cancer_wisconsin,spearman,radius_mean,radius_worst,0.9786044231727475
breast_cancer_wisconsin,spearman,radius_mean,perimeter_worst,0.9715554621458756
breast_cancer_wisconsin,spearman,radius_mean,area_worst,0.9788626109712246
breast_cancer_wisconsin,spearman,texture_mean,texture_worst,0.90921828717628
breast_cancer_wisconsin,spearman,perimeter_mean,area_mean,0.9970682695182412
breast_cancer_wisconsin,spearman,perimeter_mean,radius_worst,0.9812439435131224
breast_cancer_wisconsin,spearman,perimeter_mean,perimeter_worst,0.9789795898360197
breast_cancer_wisconsin,spearman,perimeter_mean,area_worst,0.9808639170880955
breast_cancer_wisconsin,spearman,area_mean,radius_worst,0.9792583545167753
breast_cancer_wisconsin,spearman,area_mean,perimeter_worst,0.9718219702456465
breast_cancer_wisconsin,spearman,area_mean,area_worst,0.9802638561116057
breast_cancer_wisconsin,spearman,compactness_mean,concavity_mean,0.8965184184416176
breast_cancer_wisconsin,spearman,compactness_mean,compactness_worst,0.9010286712785714
breast_cancer_wisconsin,spearman,concavity_mean,concave_points_mean,0.9273523947193674
breast_cancer_wisconsin,spearman,concavity_mean,concavity_se,0.8583057574486649
breast_cancer_wisconsin,spearman,concavity_mean,concavity_worst,0.9385434819837921
breast_cancer_wisconsin,spearman,concavity_mean,concave_points_worst,0.9049380100176686
breast_cancer_wisconsin,spearman,concave_points_mean,concave_points_worst,0.9370747174874593
breast_cancer_wisconsin,spearman,radius_se,perimeter_se,0.9577284642820116
breast_cancer_wisconsin,spearman,radius_se,area_se,0.9528666052029625
breast_cancer_wisconsin,spearman,perimeter_se,area_se,0.9269365102536281
breast_cancer_wisconsin,spearman,compactness_se,concavity_se,0.8809650344416984
breast_cancer_wisconsin,spearman,radius_worst,perimeter_worst,0.9935475935468647
breast_cancer_wisconsin,spearman,radius_worst,area_worst,0.9988905530905691
breast_cancer_wisconsin,spearman,perimeter_worst,area_worst,0.992432709857714
breast_cancer_wisconsin,spearman,compactness_worst,concavity_worst,0.914894265318667
breast_cancer_wisconsin,spearman,concavity_worst,concave_points_worst,0.9023012329798812
madelon,pearson,feat_28,feat_318,0.98962754009913
madelon,pearson,feat_28,feat_451,0.9891684678389328
madelon,pearson,feat_48,feat_378,0.9883384746735423
madelon,pearson,feat_64,feat_336,0.9904291879454016
madelon,pearson,feat_105,feat_128,0.9894096296642355
madelon,pearson,feat_153,feat_281,0.9886949959367745
madelon,pearson,feat_153,feat_433,0.9893550666163171
madelon,pearson,feat_241,feat_475,0.9892718805147359
madelon,pearson,feat_281,feat_433,0.9890465334211277
madelon,pearson,feat_318,feat_451,0.9886899420584216
madelon,pearson,feat_442,feat_472,0.990299764789339
madelon,pearson,feat_453,feat_493,0.9884576474166799
madelon,spearman,feat_28,feat_318,0.9914673924122479
madelon,spearman,feat_28,feat_451,0.9905597428671453
madelon,spearman,feat_48,feat_378,0.9897339703156126
madelon,spearman,feat_64,feat_336,0.9956493046682021
madelon,spearman,feat_105,feat_128,0.9946925077020893
madelon,spearman,feat_153,feat_281,0.9902361931760943
madelon,spearman,feat_153,feat_433,0.9899898628886535
madelon,spearman,feat_241,feat_475,0.9906367053198737
madelon,spearman,feat_281,feat_433,0.9896460015665463
madelon,spearman,feat_318,feat_451,0.9910394897645998
madelon,spearman,feat_442,feat_472,0.996144834595519
madelon,spearman,feat_453,feat_493,0.9949997616556774
olive_oil,pearson,area,palmitic,0.9515296879058531
olive_oil,pearson,stearic,linoleic,0.8524383515648868
olive_oil,pearson,linoleic,linolenic,0.8503183662257519
olive_oil,spearman,area,palmitic,0.9164743397873972
olive_oil,spearman,stearic,linoleic,0.8644087140310903
