dataset,variable,minimo,maximo,rango,mediana,iqr
madelon,feat_30,451.0,510.0,59.0,482.0,10.0
madelon,feat_31,382.0,628.0,246.0,500.0,51.0
madelon,feat_32,369.0,668.0,299.0,501.0,48.0
madelon,feat_33,363.0,637.0,274.0,489.0,54.0
madelon,feat_34,384.0,557.0,173.0,486.0,31.0
madelon,feat_35,342.0,619.0,277.0,490.0,59.0
madelon,feat_36,441.0,517.0,76.0,479.0,15.0
madelon,feat_37,396.0,564.0,168.0,481.0,31.0
madelon,feat_38,464.0,496.0,32.0,480.0,6.0
madelon,feat_39,471.0,482.0,11.0,476.0,2.0
madelon,feat_40,463.0,487.0,24.0,476.0,5.0
madelon,feat_41,362.0,643.0,281.0,490.0,52.0
madelon,feat_42,392.0,568.0,176.0,477.0,29.0
madelon,feat_43,438.0,548.0,110.0,488.0,22.0
madelon,feat_44,406.0,602.0,196.0,500.0,38.0
madelon,feat_45,392.0,557.0,165.0,481.0,32.0
madelon,feat_46,371.0,641.0,270.0,496.0,49.0
madelon,feat_47,373.0,619.0,246.0,495.0,45.0
madelon,feat_48,367.0,614.0,247.0,485.0,72.0
madelon,feat_49,382.0,571.0,189.0,480.0,34.0
madelon,feat_50,381.0,658.0,277.0,517.0,56.25
madelon,feat_51,382.0,641.0,259.0,506.0,47.0
madelon,feat_52,399.0,577.0,178.0,485.0,31.0
madelon,feat_53,465.0,498.0,33.0,480.0,6.0
madelon,feat_54,401.0,598.0,197.0,497.0,38.0
madelon,feat_55,409.0,561.0,152.0,495.0,28.0
madelon,feat_56,288.0,644.0,356.0,480.0,55.25
madelon,feat_57,377.0,617.0,240.0,484.0,45.0
madelon,feat_58,378.0,675.0,297.0,509.0,55.0
madelon,feat_59,408.0,554.0,146.0,478.0,29.0
madelon,feat_60,400.0,558.0,158.0,488.0,25.0
madelon,feat_61,462.0,504.0,42.0,481.0,9.0
madelon,feat_62,377.0,641.0,264.0,493.0,48.0
madelon,feat_63,458.0,505.0,47.0,479.0,9.0
madelon,feat_64,214.0,768.0,554.0,500.5,124.0
madelon,feat_65,385.0,647.0,262.0,509.0,49.0
madelon,feat_66,373.0,641.0,268.0,504.0,48.0
madelon,feat_67,395.0,569.0,174.0,490.0,28.0
madelon,feat_68,462.0,498.0,36.0,481.0,8.0
madelon,feat_69,452.0,501.0,49.0,476.0,9.0
madelon,feat_70,362.0,668.0,306.0,513.0,58.0
madelon,feat_71,427.0,537.0,110.0,489.0,19.0
madelon,feat_72,402.0,568.0,166.0,482.0,32.0
madelon,feat_73,354.0,629.0,275.0,484.0,48.0
madelon,feat_74,456.0,508.0,52.0,480.0,9.0
madelon,feat_75,371.0,651.0,280.0,501.0,55.0
madelon,feat_76,446.0,513.0,67.0,479.0,14.0
madelon,feat_77,396.0,581.0,185.0,483.0,35.0
madelon,feat_78,379.0,640.0,261.0,513.0,51.0
madelon,feat_79,424.0,551.0,127.0,483.0,27.0
madelon,feat_80,415.0,584.0,169.0,490.0,34.0
madelon,feat_81,385.0,674.0,289.0,512.0,53.0
madelon,feat_82,396.0,613.0,217.0,484.0,40.0
madelon,feat_83,430.0,534.0,104.0,482.0,16.0
madelon,feat_84,372.0,647.0,275.0,505.0,53.0
madelon,feat_85,391.0,587.0,196.0,489.0,43.0
madelon,feat_86,458.0,494.0,36.0,477.0,6.0
madelon,feat_87,406.0,567.0,161.0,483.0,26.0
madelon,feat_88,454.0,507.0,53.0,479.0,8.0
madelon,feat_89,377.0,654.0,277.0,510.0,57.0
madelon,feat_90,474.0,478.0,4.0,476.0,0.0
madelon,feat_91,395.0,612.0,217.0,507.0,46.0
madelon,feat_92,399.0,551.0,152.0,479.0,28.0
madelon,feat_93,438.0,557.0,119.0,492.0,25.0
madelon,feat_94,452.0,508.0,56.0,481.0,11.0
madelon,feat_95,384.0,622.0,238.0,497.0,44.0
madelon,feat_96,468.0,492.0,24.0,479.0,5.0
madelon,feat_97,406.0,554.0,148.0,479.0,31.0
madelon,feat_98,412.0,545.0,133.0,476.0,26.0
madelon,feat_99,355.0,603.0,248.0,481.0,47.0
madelon,feat_100,448.0,510.0,62.0,480.0,12.0
madelon,feat_101,448.0,510.0,62.0,481.0,11.0
madelon,feat_102,460.0,506.0,46.0,481.0,8.0
madelon,feat_103,428.0,533.0,105.0,478.0,18.0
madelon,feat_104,361.0,645.0,284.0,483.0,46.0
madelon,feat_105,0.0,999.0,999.0,499.0,190.25
madelon,feat_106,349.0,577.0,228.0,484.0,37.0
madelon,feat_107,370.0,608.0,238.0,490.0,45.0
madelon,feat_108,391.0,608.0,217.0,499.0,44.0
madelon,feat_109,442.0,518.0,76.0,481.0,13.0
madelon,feat_110,392.0,610.0,218.0,488.0,45.0
madelon,feat_111,356.0,630.0,274.0,478.0,54.0
madelon,feat_112,450.0,506.0,56.0,477.0,10.0
madelon,feat_113,385.0,586.0,201.0,492.0,33.0
madelon,feat_114,353.0,617.0,264.0,478.0,50.0
madelon,feat_115,413.0,545.0,132.0,479.0,22.0
madelon,feat_116,418.0,564.0,146.0,489.0,25.0
madelon,feat_117,441.0,522.0,81.0,484.0,17.0
madelon,feat_118,389.0,592.0,203.0,497.0,36.0
madelon,feat_119,414.0,577.0,163.0,489.0,32.0
madelon,feat_120,469.0,485.0,16.0,476.0,2.25
madelon,feat_121,380.0,574.0,194.0,479.0,31.0
madelon,feat_122,437.0,518.0,81.0,481.0,14.0
madelon,feat_123,355.0,615.0,260.0,480.0,54.0
madelon,feat_124,406.0,553.0,147.0,479.0,29.0
madelon,feat_125,389.0,612.0,223.0,505.0,47.25
madelon,feat_126,440.0,530.0,90.0,483.0,17.0
madelon,feat_127,387.0,574.0,187.0,499.0,32.0
madelon,feat_128,435.0,516.0,81.0,479.0,16.0
madelon,feat_129,347.0,613.0,266.0,484.0,48.25
madelon,feat_130,401.0,618.0,217.0,500.0,37.0
madelon,feat_131,420.0,588.0,168.0,486.0,27.0
madelon,feat_132,402.0,558.0,156.0,488.0,29.0
madelon,feat_133,461.0,491.0,30.0,478.0,5.0
madelon,feat_134,403.0,562.0,159.0,485.0,34.0
madelon,feat_135,382.0,651.0,269.0,504.0,57.0
madelon,feat_136,369.0,648.0,279.0,499.0,56.0
madelon,feat_137,425.0,555.0,130.0,491.0,27.0
madelon,feat_138,461.0,503.0,42.0,480.0,9.0
madelon,feat_139,430.0,535.0,105.0,483.0,20.0
madelon,feat_140,427.0,566.0,139.0,493.0,30.0
madelon,feat_141,376.0,641.0,265.0,508.0,49.25
madelon,feat_142,443.0,524.0,81.0,482.0,16.0
madelon,feat_143,452.0,525.0,73.0,483.0,12.0
madelon,feat_144,421.0,549.0,128.0,483.0,24.0
madelon,feat_145,398.0,563.0,165.0,487.0,28.0
madelon,feat_146,468.0,495.0,27.0,480.0,5.0
madelon,feat_147,369.0,624.0,255.0,497.0,48.0
madelon,feat_148,462.0,497.0,35.0,480.0,6.0
madelon,feat_149,343.0,618.0,275.0,497.0,53.0
madelon,feat_150,325.0,612.0,287.0,487.5,55.25
madelon,feat_151,447.0,529.0,82.0,484.0,16.0
madelon,feat_152,437.0,517.0,80.0,482.0,14.0
madelon,feat_153,182.0,814.0,632.0,501.5,169.0
madelon,feat_154,472.0,481.0,9.0,477.0,2.0
madelon,feat_155,398.0,583.0,185.0,487.0,34.0
madelon,feat_156,406.0,554.0,148.0,483.0,29.0
madelon,feat_157,382.0,573.0,191.0,478.0,33.0
madelon,feat_158,419.0,589.0,170.0,499.0,34.0
madelon,feat_159,400.0,602.0,202.0,500.0,34.0
madelon,feat_160,379.0,563.0,184.0,478.0,37.0
madelon,feat_161,443.0,521.0,78.0,479.0,15.0
madelon,feat_162,438.0,518.0,80.0,481.0,16.0
madelon,feat_163,458.0,500.0,42.0,480.0,8.0
madelon,feat_164,335.0,661.0,326.0,489.0,54.25
madelon,feat_165,414.0,579.0,165.0,487.0,33.0
madelon,feat_166,471.0,481.0,10.0,476.0,2.0
madelon,feat_167,466.0,493.0,27.0,479.0,6.0
madelon,feat_168,473.0,481.0,8.0,477.0,2.0
madelon,feat_169,369.0,668.0,299.0,510.0,60.0
madelon,feat_170,350.0,639.0,289.0,495.0,55.0
madelon,feat_171,375.0,637.0,262.0,512.0,54.25
madelon,feat_172,380.0,633.0,253.0,505.0,52.0
madelon,feat_173,473.0,481.0,8.0,477.0,2.0
madelon,feat_174,414.0,524.0,110.0,476.0,21.0
madelon,feat_175,368.0,616.0,248.0,500.0,55.0
madelon,feat_176,446.0,527.0,81.0,483.0,18.0
madelon,feat_177,457.0,504.0,47.0,480.0,9.0
madelon,feat_178,347.0,620.0,273.0,484.0,51.0
madelon,feat_179,378.0,654.0,276.0,504.0,55.0
madelon,feat_180,381.0,625.0,244.0,504.0,49.0
madelon,feat_181,393.0,664.0,271.0,513.0,52.0
madelon,feat_182,397.0,593.0,196.0,477.0,36.0
madelon,feat_183,387.0,571.0,184.0,479.0,30.0
madelon,feat_184,438.0,542.0,104.0,488.0,20.0
madelon,feat_185,407.0,575.0,168.0,487.0,33.0
madelon,feat_186,362.0,631.0,269.0,497.0,57.0
madelon,feat_187,383.0,591.0,208.0,492.0,37.0
madelon,feat_188,327.0,673.0,346.0,517.5,59.0
madelon,feat_189,457.0,498.0,41.0,479.0,5.0
madelon,feat_190,372.0,560.0,188.0,481.0,33.0
madelon,feat_191,400.0,611.0,211.0,491.0,32.0
madelon,feat_192,428.0,559.0,131.0,496.0,25.0
madelon,feat_193,359.0,661.0,302.0,505.0,57.0
madelon,feat_194,350.0,680.0,330.0,512.0,58.0
madelon,feat_195,451.0,516.0,65.0,484.0,12.0
madelon,feat_196,461.0,502.0,41.0,479.0,8.0
madelon,feat_197,449.0,512.0,63.0,483.0,11.0
madelon,feat_198,472.0,481.0,9.0,477.0,1.0
madelon,feat_199,393.0,609.0,216.0,487.0,40.0
madelon,feat_200,417.0,558.0,141.0,491.0,29.0
madelon,feat_201,409.0,557.0,148.0,488.0,29.0
madelon,feat_202,430.0,564.0,134.0,490.0,28.0
madelon,feat_203,332.0,647.0,315.0,509.0,56.0
madelon,feat_204,376.0,625.0,249.0,488.0,46.0
madelon,feat_205,471.0,481.0,10.0,476.0,2.0
madelon,feat_206,374.0,641.0,267.0,505.0,48.0
madelon,feat_207,466.0,493.0,27.0,479.0,5.0
madelon,feat_208,427.0,542.0,115.0,481.0,20.0
madelon,feat_209,423.0,562.0,139.0,491.0,28.0
madelon,feat_210,444.0,542.0,98.0,487.0,19.0
madelon,feat_211,374.0,649.0,275.0,491.0,52.25
madelon,feat_212,402.0,574.0,172.0,481.0,34.0
madelon,feat_213,358.0,611.0,253.0,488.0,48.0
madelon,feat_214,443.0,523.0,80.0,480.0,15.0
madelon,feat_215,358.0,639.0,281.0,503.0,52.0
madelon,feat_216,403.0,630.0,227.0,503.0,48.0
madelon,feat_217,449.0,520.0,71.0,481.0,15.0
madelon,feat_218,396.0,585.0,189.0,487.0,35.0
madelon,feat_219,450.0,524.0,74.0,485.0,14.0
madelon,feat_220,381.0,589.0,208.0,477.5,40.0
madelon,feat_221,350.0,649.0,299.0,497.0,56.0
madelon,feat_222,399.0,599.0,200.0,492.0,37.0
madelon,feat_223,364.0,636.0,272.0,488.0,51.0
madelon,feat_224,360.0,628.0,268.0,493.5,49.0
madelon,feat_225,408.0,601.0,193.0,500.0,37.0
madelon,feat_226,409.0,553.0,144.0,485.0,26.0
madelon,feat_227,470.0,485.0,15.0,477.0,3.0
madelon,feat_228,473.0,479.0,6.0,476.0,1.0
madelon,feat_229,412.0,556.0,144.0,494.0,26.0
madelon,feat_230,427.0,535.0,108.0,480.0,20.0
madelon,feat_231,420.0,568.0,148.0,483.0,26.0
madelon,feat_232,430.0,530.0,100.0,478.0,18.0
madelon,feat_233,422.0,565.0,143.0,484.0,24.0
madelon,feat_234,427.0,564.0,137.0,492.0,29.0
madelon,feat_235,420.0,583.0,163.0,496.0,31.0
madelon,feat_236,430.0,529.0,99.0,483.0,16.0
madelon,feat_237,468.0,488.0,20.0,478.0,4.0
madelon,feat_238,410.0,542.0,132.0,476.0,26.0
madelon,feat_239,458.0,499.0,41.0,478.0,8.0
madelon,feat_240,385.0,603.0,218.0,498.0,38.0
madelon,feat_241,333.0,653.0,320.0,498.5,89.0
madelon,feat_242,402.0,601.0,199.0,490.0,37.0
madelon,feat_243,430.0,530.0,100.0,479.0,20.0
madelon,feat_244,371.0,642.0,271.0,507.0,48.0
madelon,feat_245,394.0,626.0,232.0,510.0,46.0
madelon,feat_246,343.0,592.0,249.0,478.0,48.0
madelon,feat_247,468.0,492.0,24.0,479.0,5.0
madelon,feat_248,453.0,515.0,62.0,481.0,11.0
madelon,feat_249,401.0,584.0,183.0,499.0,37.0
madelon,feat_250,383.0,586.0,203.0,490.0,41.0
madelon,feat_251,379.0,590.0,211.0,494.0,39.0
madelon,feat_252,464.0,493.0,29.0,477.0,5.0
madelon,feat_253,395.0,643.0,248.0,508.0,45.0
madelon,feat_254,453.0,506.0,53.0,478.0,10.0
madelon,feat_255,389.0,628.0,239.0,492.0,42.0
madelon,feat_256,350.0,688.0,338.0,501.0,53.25
madelon,feat_257,330.0,647.0,317.0,492.0,56.25
madelon,feat_258,455.0,520.0,65.0,485.0,13.0
madelon,feat_259,447.0,527.0,80.0,485.0,15.0
madelon,feat_260,419.0,551.0,132.0,490.0,22.0
madelon,feat_261,461.0,502.0,41.0,479.0,7.0
madelon,feat_262,432.0,560.0,128.0,494.0,25.0
madelon,feat_263,355.0,610.0,255.0,485.0,44.0
madelon,feat_264,450.0,513.0,63.0,479.0,12.0
madelon,feat_265,425.0,571.0,146.0,494.0,28.0
madelon,feat_266,332.0,632.0,300.0,500.0,55.0
madelon,feat_267,431.0,554.0,123.0,489.0,19.0
madelon,feat_268,393.0,605.0,212.0,484.0,39.0
madelon,feat_269,421.0,590.0,169.0,492.0,28.0
madelon,feat_270,440.0,529.0,89.0,484.0,19.0
madelon,feat_271,369.0,639.0,270.0,499.0,55.0
madelon,feat_272,318.0,613.0,295.0,485.0,57.0
madelon,feat_273,354.0,692.0,338.0,487.0,55.25
madelon,feat_274,423.0,531.0,108.0,477.0,20.0
madelon,feat_275,442.0,529.0,87.0,485.0,15.0
madelon,feat_276,474.0,478.0,4.0,476.0,1.0
madelon,feat_277,387.0,613.0,226.0,495.0,43.0
madelon,feat_278,394.0,576.0,182.0,496.0,29.25
madelon,feat_279,387.0,593.0,206.0,493.0,43.0
madelon,feat_280,473.0,482.0,9.0,477.0,2.0
madelon,feat_281,317.0,646.0,329.0,480.0,87.0
madelon,feat_282,420.0,536.0,116.0,482.0,23.0
madelon,feat_283,472.0,481.0,9.0,476.0,2.0
madelon,feat_284,374.0,609.0,235.0,504.0,45.0
madelon,feat_285,363.0,619.0,256.0,491.0,41.0
madelon,feat_286,361.0,571.0,210.0,478.0,39.0
madelon,feat_287,342.0,653.0,311.0,484.0,56.0
madelon,feat_288,465.0,495.0,30.0,480.0,5.0
madelon,feat_289,420.0,561.0,141.0,493.0,25.0
madelon,feat_290,386.0,583.0,197.0,491.0,40.0
madelon,feat_291,399.0,605.0,206.0,503.0,38.0
madelon,feat_292,427.0,574.0,147.0,496.0,30.0
madelon,feat_293,455.0,499.0,44.0,476.0,8.25
madelon,feat_294,325.0,650.0,325.0,486.0,56.0
madelon,feat_295,385.0,614.0,229.0,497.0,45.0
madelon,feat_296,394.0,561.0,167.0,475.0,32.0
madelon,feat_297,372.0,679.0,307.0,500.5,41.0
madelon,feat_298,406.0,578.0,172.0,496.0,32.0
madelon,feat_299,421.0,563.0,142.0,497.0,29.25
madelon,feat_300,345.0,597.0,252.0,481.0,45.25
madelon,feat_301,433.0,536.0,103.0,490.0,19.0
madelon,feat_302,463.0,492.0,29.0,478.0,6.0
madelon,feat_303,422.0,576.0,154.0,491.0,33.0
madelon,feat_304,378.0,602.0,224.0,494.0,43.0
madelon,feat_305,378.0,571.0,193.0,485.0,40.25
madelon,feat_306,436.0,530.0,94.0,481.0,18.0
madelon,feat_307,450.0,512.0,62.0,481.0,12.0
madelon,feat_308,415.0,606.0,191.0,499.0,38.0
madelon,feat_309,347.0,568.0,221.0,476.0,30.0
madelon,feat_310,401.0,577.0,176.0,486.0,36.0
madelon,feat_311,414.0,548.0,134.0,480.0,23.0
madelon,feat_312,392.0,634.0,242.0,501.0,42.0
madelon,feat_313,390.0,605.0,215.0,498.0,38.0
madelon,feat_314,445.0,520.0,75.0,481.0,15.0
madelon,feat_315,385.0,621.0,236.0,487.0,40.0
madelon,feat_316,448.0,510.0,62.0,477.0,13.0
madelon,feat_317,457.0,506.0,49.0,481.0,10.0
madelon,feat_318,346.0,607.0,261.0,486.0,78.0
madelon,feat_319,338.0,650.0,312.0,511.0,57.0
madelon,feat_320,440.0,525.0,85.0,483.0,16.0
madelon,feat_321,373.0,571.0,198.0,484.0,38.0
madelon,feat_322,426.0,564.0,138.0,490.0,25.0
madelon,feat_323,438.0,524.0,86.0,480.0,16.0
madelon,feat_324,424.0,556.0,132.0,490.0,24.0
madelon,feat_325,462.0,498.0,36.0,480.0,7.0
madelon,feat_326,385.0,564.0,179.0,482.0,31.0
madelon,feat_327,389.0,591.0,202.0,482.0,36.0
madelon,feat_328,444.0,526.0,82.0,486.0,17.0
madelon,feat_329,395.0,658.0,263.0,516.0,55.0
madelon,feat_330,368.0,605.0,237.0,487.0,43.0
madelon,feat_331,437.0,522.0,85.0,479.0,18.0
madelon,feat_332,473.0,480.0,7.0,476.0,1.0
madelon,feat_333,383.0,586.0,203.0,488.0,39.0
madelon,feat_334,352.0,632.0,280.0,495.0,47.25
madelon,feat_335,447.0,529.0,82.0,488.0,17.0
madelon,feat_336,180.0,828.0,648.0,483.5,144.25
madelon,feat_337,356.0,626.0,270.0,487.0,45.0
madelon,feat_338,207.0,829.0,622.0,496.0,134.25
madelon,feat_339,368.0,643.0,275.0,500.0,51.0
madelon,feat_340,383.0,643.0,260.0,506.0,53.0
madelon,feat_341,401.0,584.0,183.0,494.0,32.0
madelon,feat_342,389.0,606.0,217.0,496.0,40.0
madelon,feat_343,407.0,628.0,221.0,502.0,42.0
madelon,feat_344,358.0,678.0,320.0,500.0,58.0
madelon,feat_345,452.0,512.0,60.0,482.0,11.0
madelon,feat_346,457.0,507.0,50.0,481.0,9.0
madelon,feat_347,327.0,634.0,307.0,490.0,57.0
madelon,feat_348,409.0,566.0,157.0,481.0,30.0
madelon,feat_349,398.0,620.0,222.0,505.0,44.0
madelon,feat_350,453.0,507.0,54.0,481.0,10.0
madelon,feat_351,347.0,624.0,277.0,478.0,54.0
madelon,feat_352,351.0,619.0,268.0,485.0,47.0
madelon,feat_353,436.0,525.0,89.0,482.5,17.0
madelon,feat_354,431.0,561.0,130.0,493.0,26.0
madelon,feat_355,420.0,545.0,125.0,484.0,22.0
madelon,feat_356,366.0,667.0,301.0,504.0,50.0
madelon,feat_357,471.0,482.0,11.0,477.0,3.0
madelon,feat_358,392.0,621.0,229.0,507.0,47.0
madelon,feat_359,359.0,651.0,292.0,497.0,54.0
madelon,feat_360,368.0,597.0,229.0,483.0,43.0
madelon,feat_361,416.0,561.0,145.0,491.0,28.0
madelon,feat_362,293.0,638.0,345.0,478.0,56.0
madelon,feat_363,410.0,573.0,163.0,486.0,33.0
madelon,feat_364,459.0,501.0,42.0,481.0,6.0
madelon,feat_365,361.0,642.0,281.0,495.0,53.0
madelon,feat_366,407.0,582.0,175.0,495.0,35.25
madelon,feat_367,447.0,527.0,80.0,484.0,16.0
madelon,feat_368,440.0,529.0,89.0,485.0,15.0
madelon,feat_369,367.0,650.0,283.0,498.0,53.0
madelon,feat_370,374.0,622.0,248.0,487.5,44.0
madelon,feat_371,342.0,645.0,303.0,490.0,55.0
madelon,feat_372,421.0,570.0,149.0,497.0,29.0
madelon,feat_373,391.0,567.0,176.0,488.0,31.0
madelon,feat_374,406.0,599.0,193.0,500.0,36.0
madelon,feat_375,381.0,594.0,213.0,492.0,36.0
madelon,feat_376,456.0,507.0,51.0,481.0,10.0
madelon,feat_377,410.0,560.0,150.0,483.0,27.0
madelon,feat_378,347.0,661.0,314.0,496.0,96.5
madelon,feat_379,361.0,630.0,269.0,481.0,46.0
madelon,feat_380,462.0,502.0,40.0,481.0,7.0
madelon,feat_381,404.0,569.0,165.0,479.0,29.0
madelon,feat_382,383.0,653.0,270.0,497.0,46.0
madelon,feat_383,441.0,532.0,91.0,484.0,18.0
madelon,feat_384,424.0,548.0,124.0,480.0,23.0
madelon,feat_385,442.0,514.0,72.0,477.0,16.0
madelon,feat_386,404.0,581.0,177.0,493.0,35.0
madelon,feat_387,471.0,485.0,14.0,477.0,2.0
madelon,feat_388,424.0,561.0,137.0,495.0,26.0
madelon,feat_389,344.0,619.0,275.0,484.0,48.0
madelon,feat_390,459.0,496.0,37.0,477.0,6.0
madelon,feat_391,350.0,626.0,276.0,493.0,48.0
madelon,feat_392,468.0,487.0,19.0,476.0,3.0
madelon,feat_393,377.0,600.0,223.0,488.0,44.0
madelon,feat_394,469.0,490.0,21.0,478.0,4.0
madelon,feat_395,407.0,548.0,141.0,484.0,26.0
madelon,feat_396,454.0,522.0,68.0,484.0,14.0
madelon,feat_397,346.0,616.0,270.0,482.0,57.0
madelon,feat_398,347.0,648.0,301.0,510.0,50.0
madelon,feat_399,461.0,504.0,43.0,481.0,8.0
madelon,feat_400,461.0,491.0,30.0,477.0,6.0
madelon,feat_401,381.0,606.0,225.0,490.0,40.0
madelon,feat_402,471.0,480.0,9.0,476.0,2.0
madelon,feat_403,387.0,579.0,192.0,487.0,38.0
madelon,feat_404,474.0,479.0,5.0,477.0,1.0
madelon,feat_405,368.0,593.0,225.0,476.0,44.25
madelon,feat_406,354.0,598.0,244.0,482.0,45.0
madelon,feat_407,459.0,492.0,33.0,478.0,6.0
madelon,feat_408,381.0,601.0,220.0,482.0,37.0
madelon,feat_409,451.0,500.0,49.0,478.0,10.0
madelon,feat_410,419.0,562.0,143.0,489.0,25.0
madelon,feat_411,369.0,645.0,276.0,492.0,57.0
madelon,feat_412,378.0,602.0,224.0,488.0,39.0
madelon,feat_413,426.0,547.0,121.0,485.0,24.25
madelon,feat_414,398.0,617.0,219.0,492.0,45.0
madelon,feat_415,385.0,721.0,336.0,517.0,57.0
madelon,feat_416,448.0,531.0,83.0,484.0,16.0
madelon,feat_417,375.0,634.0,259.0,507.0,52.0
madelon,feat_418,361.0,657.0,296.0,510.0,56.0
madelon,feat_419,387.0,635.0,248.0,497.0,47.0
madelon,feat_420,461.0,500.0,39.0,480.0,7.0
madelon,feat_421,427.0,530.0,103.0,479.0,18.0
madelon,feat_422,443.0,518.0,75.0,478.0,15.0
madelon,feat_423,474.0,478.0,4.0,476.0,0.0
madelon,feat_424,445.0,526.0,81.0,485.0,16.0
