dataset,variable,mediana_raw,mediana_processed,delta_mediana_abs,iqr_raw,iqr_processed,delta_iqr_abs,ks_statistic,ks_p_value,wasserstein_distance,psi,js_divergence,max_delta_percentil,spearman_raw_processed,score_shift
madelon,feat_4,500.0,500.0,0.0,53.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_5,479.0,479.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_6,480.0,480.0,0.0,53.5,53.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_7,477.0,477.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_8,487.0,487.0,0.0,19.25,19.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_9,479.0,479.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_10,486.0,486.0,0.0,49.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_11,491.0,491.0,0.0,36.25,36.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_12,478.0,478.0,0.0,47.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_13,482.0,482.0,0.0,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_14,485.0,485.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_15,479.0,479.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_16,479.0,479.0,0.0,19.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_17,495.0,495.0,0.0,40.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_18,484.0,484.0,0.0,32.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_19,477.5,477.5,0.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_20,485.0,485.0,0.0,16.25,16.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_21,494.0,494.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_22,477.0,477.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_23,479.0,479.0,0.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_24,500.0,500.0,0.0,60.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_25,504.0,504.0,0.0,39.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_26,485.0,485.0,0.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_27,482.0,482.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_28,481.0,481.0,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_29,492.0,492.0,0.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_30,482.0,482.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_31,500.0,500.0,0.0,51.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_32,501.0,501.0,0.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_33,489.0,489.0,0.0,54.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_34,486.0,486.0,0.0,31.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_35,490.0,490.0,0.0,59.0,59.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_36,479.0,479.0,0.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_37,481.0,481.0,0.0,31.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_38,480.0,480.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_39,476.0,476.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_40,476.0,476.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_41,490.0,490.0,0.0,52.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_42,477.0,477.0,0.0,29.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_43,488.0,488.0,0.0,22.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_44,500.0,500.0,0.0,38.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_45,481.0,481.0,0.0,32.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_46,496.0,496.0,0.0,49.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_47,495.0,495.0,0.0,45.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_48,485.0,485.0,0.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_49,480.0,480.0,0.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_50,517.0,517.0,0.0,56.25,56.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_51,506.0,506.0,0.0,47.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_52,485.0,485.0,0.0,31.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_53,480.0,480.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_54,497.0,497.0,0.0,38.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_55,495.0,495.0,0.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_56,480.0,480.0,0.0,55.25,55.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_57,484.0,484.0,0.0,45.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_58,509.0,509.0,0.0,55.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_59,478.0,478.0,0.0,29.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_60,488.0,488.0,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_61,481.0,481.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_62,493.0,493.0,0.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_63,479.0,479.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_64,500.5,500.5,0.0,124.0,124.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_65,509.0,509.0,0.0,49.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_66,504.0,504.0,0.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_67,490.0,490.0,0.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_68,481.0,481.0,0.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_69,476.0,476.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_70,513.0,513.0,0.0,58.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_71,489.0,489.0,0.0,19.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_72,482.0,482.0,0.0,32.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_73,484.0,484.0,0.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_74,480.0,480.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_75,501.0,501.0,0.0,55.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_76,479.0,479.0,0.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_77,483.0,483.0,0.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_78,513.0,513.0,0.0,51.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_79,483.0,483.0,0.0,27.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_80,490.0,490.0,0.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_81,512.0,512.0,0.0,53.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_82,484.0,484.0,0.0,40.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_83,482.0,482.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_84,505.0,505.0,0.0,53.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_85,489.0,489.0,0.0,43.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_86,477.0,477.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_87,483.0,483.0,0.0,26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_88,479.0,479.0,0.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_89,510.0,510.0,0.0,57.0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_90,476.0,476.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_91,507.0,507.0,0.0,46.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_92,479.0,479.0,0.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_93,492.0,492.0,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_94,481.0,481.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_95,497.0,497.0,0.0,44.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_96,479.0,479.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_97,479.0,479.0,0.0,31.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_98,476.0,476.0,0.0,26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_99,481.0,481.0,0.0,47.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_100,480.0,480.0,0.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_101,481.0,481.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_102,481.0,481.0,0.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_103,478.0,478.0,0.0,18.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_104,483.0,483.0,0.0,46.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_105,499.0,499.0,0.0,190.25,190.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_106,484.0,484.0,0.0,37.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_107,490.0,490.0,0.0,45.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_108,499.0,499.0,0.0,44.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_109,481.0,481.0,0.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_110,488.0,488.0,0.0,45.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_111,478.0,478.0,0.0,54.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_112,477.0,477.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_113,492.0,492.0,0.0,33.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_114,478.0,478.0,0.0,50.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_115,479.0,479.0,0.0,22.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_116,489.0,489.0,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_117,484.0,484.0,0.0,17.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_118,497.0,497.0,0.0,36.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_119,489.0,489.0,0.0,32.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_120,476.0,476.0,0.0,2.25,2.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_121,479.0,479.0,0.0,31.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_122,481.0,481.0,0.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_123,480.0,480.0,0.0,54.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_124,479.0,479.0,0.0,29.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_125,505.0,505.0,0.0,47.25,47.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_126,483.0,483.0,0.0,17.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_127,499.0,499.0,0.0,32.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_128,479.0,479.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_129,484.0,484.0,0.0,48.25,48.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_130,500.0,500.0,0.0,37.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_131,486.0,486.0,0.0,27.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_132,488.0,488.0,0.0,29.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_133,478.0,478.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_134,485.0,485.0,0.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_135,504.0,504.0,0.0,57.0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_136,499.0,499.0,0.0,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_137,491.0,491.0,0.0,27.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_138,480.0,480.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_139,483.0,483.0,0.0,20.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_140,493.0,493.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_141,508.0,508.0,0.0,49.25,49.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_142,482.0,482.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_143,483.0,483.0,0.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_144,483.0,483.0,0.0,24.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_145,487.0,487.0,0.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_146,480.0,480.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_147,497.0,497.0,0.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_148,480.0,480.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_149,497.0,497.0,0.0,53.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_150,487.5,487.5,0.0,55.25,55.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_151,484.0,484.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_152,482.0,482.0,0.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_153,501.5,501.5,0.0,169.0,169.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_154,477.0,477.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_155,487.0,487.0,0.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_156,483.0,483.0,0.0,29.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_157,478.0,478.0,0.0,33.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
madelon,feat_158,499.0,499.0,0.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_159,500.0,500.0,0.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_160,478.0,478.0,0.0,37.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
