dataset,variable,vif
madelon,feat_138,1.3423424262995391
madelon,feat_139,1.3168796123208617
madelon,feat_140,1.3406817115983194
madelon,feat_141,1.3149937286292506
madelon,feat_142,1.3454610227792851
madelon,feat_143,1.3448694345738297
madelon,feat_144,1.3321473577740792
madelon,feat_145,1.3100358665476761
madelon,feat_146,1.3395312385301104
madelon,feat_147,1.3545080422792126
madelon,feat_148,1.335617318966404
madelon,feat_149,1.3504680071889164
madelon,feat_150,1.3004832787257552
madelon,feat_151,1.3486555396582207
madelon,feat_152,1.334138846245943
madelon,feat_153,92.40479820003706
madelon,feat_154,1.3179205873979019
madelon,feat_155,1.2709857711391632
madelon,feat_156,1.3061826127782812
madelon,feat_157,1.317113547526047
madelon,feat_158,1.3100251435056582
madelon,feat_159,1.3245578559586493
madelon,feat_160,1.3591967422370181
madelon,feat_161,1.3597825167094755
madelon,feat_162,1.3408388150949584
madelon,feat_163,1.3580226148019525
madelon,feat_164,1.3450426714248007
madelon,feat_165,1.3167619225076
madelon,feat_166,1.3420605381025434
madelon,feat_167,1.3359133295311052
madelon,feat_168,1.348818866936385
madelon,feat_169,1.375753496215537
madelon,feat_170,1.2817752447609676
madelon,feat_171,1.3828333246778859
madelon,feat_172,1.2959731238419512
madelon,feat_173,1.3616378088770462
madelon,feat_174,1.361386387294457
madelon,feat_175,1.3312228947365716
madelon,feat_176,1.3177929034212092
madelon,feat_177,1.3657415568129865
madelon,feat_178,1.3131154880543061
madelon,feat_179,1.304828334992592
madelon,feat_180,1.372231689614555
madelon,feat_181,1.3189522054639853
madelon,feat_182,1.3124271636312668
madelon,feat_183,1.333494636022703
madelon,feat_184,1.317777847302287
madelon,feat_185,1.3214368095919655
madelon,feat_186,1.3658798005703618
madelon,feat_187,1.340249815373649
madelon,feat_188,1.3612592912866912
madelon,feat_189,1.3129167769714254
madelon,feat_190,1.3062407721360736
madelon,feat_191,1.3342657534699194
madelon,feat_192,1.370285671054954
madelon,feat_193,1.2896959614927133
madelon,feat_194,1.3493408482506573
madelon,feat_195,1.2757895147382725
madelon,feat_196,1.3187813130673538
madelon,feat_197,1.2824772883229048
madelon,feat_198,1.318641015599384
madelon,feat_199,1.3202012818000715
madelon,feat_200,1.338679744826838
madelon,feat_201,1.3714549036686925
madelon,feat_202,1.3211873415973054
madelon,feat_203,1.353849626955168
madelon,feat_204,1.3271740729817032
madelon,feat_205,1.297843302866782
madelon,feat_206,1.3006675832210488
madelon,feat_207,1.3315300727654253
madelon,feat_208,1.3212103085657172
madelon,feat_209,1.3332945989467877
madelon,feat_210,1.3103336613891858
madelon,feat_211,1.314172732216127
madelon,feat_212,1.33932144498202
madelon,feat_213,1.3570317935662355
madelon,feat_214,1.3685268292150734
madelon,feat_215,1.334752817699408
madelon,feat_216,1.3291079025429844
madelon,feat_217,1.3469684641336976
madelon,feat_218,1.3226547448924417
madelon,feat_219,1.3186514702381285
madelon,feat_220,1.3654271849829909
madelon,feat_221,1.3644877004270823
madelon,feat_222,1.427020191358839
madelon,feat_223,1.2983722650295706
madelon,feat_224,1.3433494067835505
madelon,feat_225,1.3503922747941952
madelon,feat_226,1.3471157029974972
madelon,feat_227,1.3097237663628576
madelon,feat_228,1.3261100680974904
madelon,feat_229,1.312282175306934
madelon,feat_230,1.2941615506909576
madelon,feat_231,1.280349593283838
madelon,feat_232,1.3126988701944629
madelon,feat_233,1.3442156338364506
madelon,feat_234,1.3335515211708604
madelon,feat_235,1.3450628112343193
madelon,feat_236,1.323741005303702
madelon,feat_237,1.3379046048693373
madelon,feat_238,1.354244094247781
madelon,feat_239,1.323130058344097
madelon,feat_240,1.3203729325592535
madelon,feat_241,92.96888117986265
madelon,feat_242,1.3490767834831017
madelon,feat_243,1.3504526035519575
madelon,feat_244,1.2992897215667716
madelon,feat_245,1.3378359948338172
madelon,feat_246,1.3705843529538224
madelon,feat_247,1.3326056396766266
madelon,feat_248,1.3218076683874935
madelon,feat_249,1.271520416119804
madelon,feat_250,1.3763524878946523
madelon,feat_251,1.3238998068095802
madelon,feat_252,1.3543532292201133
madelon,feat_253,1.3619330479658556
madelon,feat_254,1.3260629804075725
madelon,feat_255,1.3740806709792004
madelon,feat_256,1.3200806390613902
madelon,feat_257,1.4014702376904413
madelon,feat_258,1.368472875126194
madelon,feat_259,1.3336281070095468
madelon,feat_260,1.3442215001633788
madelon,feat_261,1.332216599430764
madelon,feat_262,1.3269673074836563
madelon,feat_263,1.324063206186599
madelon,feat_264,1.3955244068960488
madelon,feat_265,1.339656080867801
madelon,feat_266,1.3277347818839416
madelon,feat_267,1.3367986622092913
madelon,feat_268,1.3020175389922743
madelon,feat_269,1.3148030290403436
madelon,feat_270,1.323826832963634
madelon,feat_271,1.3774029111909782
madelon,feat_272,1.3190587264830964
madelon,feat_273,1.3080020747443333
madelon,feat_274,1.3156824342170517
madelon,feat_275,1.309986116352548
madelon,feat_276,1.3064107186073861
madelon,feat_277,1.3040765553937108
madelon,feat_278,1.3326352796238732
madelon,feat_279,1.3087428650214583
madelon,feat_280,1.3249077681894497
madelon,feat_281,92.46005954205452
madelon,feat_282,1.2980984847122685
madelon,feat_283,1.367580168706995
madelon,feat_284,1.3314095212065467
madelon,feat_285,1.324740461631167
madelon,feat_286,1.3642956840284086
madelon,feat_287,1.3070035417194472
madelon,feat_288,1.351487557589803
madelon,feat_289,1.3426396983601903
madelon,feat_290,1.3088501052784376
madelon,feat_291,1.3429691192266282
madelon,feat_292,1.3158042783192356
madelon,feat_293,1.3260994109175919
madelon,feat_294,1.333754233370895
madelon,feat_295,1.3245778304632068
madelon,feat_296,1.3135959219858284
madelon,feat_297,1.322580261049001
madelon,feat_298,1.3376587837924154
madelon,feat_299,1.3563401421638548
madelon,feat_300,1.3077437814200645
madelon,feat_301,1.3107643811003704
madelon,feat_302,1.3329419339629935
madelon,feat_303,1.303192678068153
madelon,feat_304,1.3503283972532436
madelon,feat_305,1.3257836906336844
madelon,feat_306,1.3054323498786036
madelon,feat_307,1.3359346306863868
madelon,feat_308,1.3128513952637513
madelon,feat_309,1.3354613103923536
madelon,feat_310,1.3505676479394177
madelon,feat_311,1.3380333817033774
madelon,feat_312,1.3554858864466295
madelon,feat_313,1.3418898607304421
madelon,feat_314,1.3034728135972806
madelon,feat_315,1.2999660399778183
madelon,feat_316,1.3166882620277707
madelon,feat_317,1.329461982608919
madelon,feat_318,91.26501913581504
madelon,feat_319,1.3181731922643507
madelon,feat_320,1.3475032354860161
madelon,feat_321,1.3369956627590827
madelon,feat_322,1.3586579327646797
madelon,feat_323,1.3360630521792198
madelon,feat_324,1.3915446226021466
madelon,feat_325,1.338736677691363
madelon,feat_326,1.3384188571320277
madelon,feat_327,1.3477332896617682
madelon,feat_328,1.3158175856442487
madelon,feat_329,1.3190459225165838
madelon,feat_330,1.3389386806509997
madelon,feat_331,1.3370052599543196
madelon,feat_332,1.3416626459805208
madelon,feat_333,1.3343204038627179
madelon,feat_334,1.358034582973218
madelon,feat_335,1.3448883187886993
madelon,feat_336,103.07967323983735
madelon,feat_337,1.314998239017955
madelon,feat_338,116.63072961587397
madelon,feat_339,1.3269315582544352
madelon,feat_340,1.3130888507851004
madelon,feat_341,1.3088708681279546
madelon,feat_342,1.3075233771918187
madelon,feat_343,1.3453527190702457
madelon,feat_344,1.2846239136268793
madelon,feat_345,1.352692996063678
madelon,feat_346,1.3438863812241
madelon,feat_347,1.3778363729797518
madelon,feat_348,1.2969073751097375
madelon,feat_349,1.37721999587768
madelon,feat_350,1.3706346648320462
madelon,feat_351,1.333548456415715
madelon,feat_352,1.3326202507498255
madelon,feat_353,1.3260533797318639
madelon,feat_354,1.3392361153095647
madelon,feat_355,1.324518072107605
madelon,feat_356,1.354885279255563
madelon,feat_357,1.3401264634497174
madelon,feat_358,1.3260588326832987
madelon,feat_359,1.343300680616291
madelon,feat_360,1.33327094167289
madelon,feat_361,1.319276918961801
madelon,feat_362,1.3160737482172835
madelon,feat_363,1.3309753526321069
madelon,feat_364,1.3487142634037352
madelon,feat_365,1.2984458773072265
madelon,feat_366,1.3028849685843025
madelon,feat_367,1.3023865255137081
madelon,feat_368,1.3140105836123084
madelon,feat_369,1.326480876988114
madelon,feat_370,1.3545061226087447
madelon,feat_371,1.2957404929895748
madelon,feat_372,1.3185958650374874
madelon,feat_373,1.3267961041590666
madelon,feat_374,1.3307487562680582
madelon,feat_375,1.3209188051128709
madelon,feat_376,1.3249030088348968
madelon,feat_377,1.3399075347569531
madelon,feat_378,68.43679518305511
madelon,feat_379,1.36801345617789
madelon,feat_380,1.3755996106318413
madelon,feat_381,1.3454277876558878
madelon,feat_382,1.3289787066477947
madelon,feat_383,1.362524717650287
madelon,feat_384,1.337357646385383
madelon,feat_385,1.3086441809954226
madelon,feat_386,1.3524679492954828
madelon,feat_387,1.2985018211133013
madelon,feat_388,1.3202172153171055
madelon,feat_389,1.3497149556016135
madelon,feat_390,1.3416801239281892
madelon,feat_391,1.3645567081523147
madelon,feat_392,1.3110431418962523
madelon,feat_393,1.3039679488599256
madelon,feat_394,1.3513213776623063
madelon,feat_395,1.3200791212243348
madelon,feat_396,1.325058623886405
madelon,feat_397,1.2915923480065183
madelon,feat_398,1.3477334722613286
madelon,feat_399,1.3237518758047189
madelon,feat_400,1.3402485977635774
madelon,feat_401,1.3450002379528156
madelon,feat_402,1.3587716325251886
madelon,feat_403,1.3452905471105732
madelon,feat_404,1.381400356702111
madelon,feat_405,1.3257008788313165
madelon,feat_406,1.3700857511063758
madelon,feat_407,1.3321041899911086
madelon,feat_408,1.3328608536866393
madelon,feat_409,1.3428272310771163
madelon,feat_410,1.2911557658810233
madelon,feat_411,1.3345203683794589
madelon,feat_412,1.3257659950252645
madelon,feat_413,1.3343435740409595
madelon,feat_414,1.3246136604607406
madelon,feat_415,1.3083374008431932
madelon,feat_416,1.3499978304443623
madelon,feat_417,1.3613781475828524
madelon,feat_418,1.3601616182360434
madelon,feat_419,1.2890144340962053
madelon,feat_420,1.3234381452296058
madelon,feat_421,1.379157024023936
madelon,feat_422,1.3364412354509048
madelon,feat_423,1.3130246081536316
madelon,feat_424,1.3636651225272318
madelon,feat_425,1.315707293414672
madelon,feat_426,1.3542791224685091
madelon,feat_427,1.3479778291458089
madelon,feat_428,1.3731373265579891
madelon,feat_429,1.314168219364654
madelon,feat_430,1.3093341156990388
madelon,feat_431,1.311910590519314
madelon,feat_432,1.3449933730290802
madelon,feat_433,94.62746058721301
madelon,feat_434,1.3412274827436583
madelon,feat_435,1.3131603715177793
madelon,feat_436,1.3242227248011218
madelon,feat_437,1.315417389034003
madelon,feat_438,1.3340669044621822
madelon,feat_439,1.3214836302939648
madelon,feat_440,1.3345306527243286
madelon,feat_441,1.3368018801050956
madelon,feat_442,107.23763912990417
madelon,feat_443,1.3361208964634788
madelon,feat_444,1.331340409997497
madelon,feat_445,1.3365583646504777
madelon,feat_446,1.3672075849102323
madelon,feat_447,1.2707553545939807
madelon,feat_448,1.3257603246305258
madelon,feat_449,1.3148964305449269
madelon,feat_450,1.3674593507041866
madelon,feat_451,85.61321786901378
madelon,feat_452,1.346395755133247
madelon,feat_453,95.01620488995196
madelon,feat_454,1.3549143053049097
madelon,feat_455,97.07384447675096
madelon,feat_456,1.3424053468333628
madelon,feat_457,1.3367163725618134
madelon,feat_458,1.3203754654169537
madelon,feat_459,1.3058365618105996
madelon,feat_460,1.3759610123666601
madelon,feat_461,1.322521251269814
madelon,feat_462,1.373569694898084
madelon,feat_463,1.3160040182354034
madelon,feat_464,1.3047265985210243
madelon,feat_465,1.2906382878100835
madelon,feat_466,1.309422720467612
madelon,feat_467,1.3166857128884824
madelon,feat_468,1.335899474630992
madelon,feat_469,1.3468736670967982
madelon,feat_470,1.322670229564071
madelon,feat_471,1.3174456058396928
madelon,feat_472,108.88928676294273
madelon,feat_473,1.3244078372412709
madelon,feat_474,1.339320117048834
madelon,feat_475,102.40560874529714
madelon,feat_476,1.3486133480125606
madelon,feat_477,1.3354337672840053
madelon,feat_478,1.3537072375931265
madelon,feat_479,1.2778816400753625
madelon,feat_480,1.3427452191760738
madelon,feat_481,1.321569950903874
madelon,feat_482,1.343323781315404
madelon,feat_483,1.3562425895360035
madelon,feat_484,1.3500204690951185
madelon,feat_485,1.2953026791420745
madelon,feat_486,1.342395393308071
madelon,feat_487,1.3427169965934609
madelon,feat_488,1.3497374082998606
madelon,feat_489,1.3364279675496173
madelon,feat_490,1.3434150486483687
madelon,feat_491,1.3428885716147554
madelon,feat_492,1.3116698339158703
madelon,feat_493,103.74444954470384
madelon,feat_494,1.3618430347648003
madelon,feat_495,1.3596048615782657
madelon,feat_496,1.3471847987111252
madelon,feat_497,1.3548408190451902
madelon,feat_498,1.3720139259880382
madelon,feat_499,1.3331893310324319
olive_oil,area,25.25044997648515
olive_oil,palmitic,13.304520325564235
olive_oil,palmitoleic,66.44543607253755
olive_oil,stearic,9.676985224807936
olive_oil,oleic,4.3284673744955775
olive_oil,linoleic,325.9371330765516
olive_oil,linolenic,109.8600165087668
olive_oil,arachidic,3.1515419294354925
olive_oil,eicosenoic,2.9680237397728595
olive_oil,other,6.032410350192694
