dataset,variable,presente_raw,presente_processed
madelon,feat_127,True,True
madelon,feat_128,True,True
madelon,feat_129,True,True
madelon,feat_13,True,True
madelon,feat_130,True,True
madelon,feat_131,True,True
madelon,feat_132,True,True
madelon,feat_133,True,True
madelon,feat_134,True,True
madelon,feat_135,True,True
madelon,feat_136,True,True
madelon,feat_137,True,True
madelon,feat_138,True,True
madelon,feat_139,True,True
madelon,feat_14,True,True
madelon,feat_140,True,True
madelon,feat_141,True,True
madelon,feat_142,True,True
madelon,feat_143,True,True
madelon,feat_144,True,True
madelon,feat_145,True,True
madelon,feat_146,True,True
madelon,feat_147,True,True
madelon,feat_148,True,True
madelon,feat_149,True,True
madelon,feat_15,True,True
madelon,feat_150,True,True
madelon,feat_151,True,True
madelon,feat_152,True,True
madelon,feat_153,True,True
madelon,feat_154,True,True
madelon,feat_155,True,True
madelon,feat_156,True,True
madelon,feat_157,True,True
madelon,feat_158,True,True
madelon,feat_159,True,True
madelon,feat_16,True,True
madelon,feat_160,True,True
madelon,feat_161,True,True
madelon,feat_162,True,True
madelon,feat_163,True,True
madelon,feat_164,True,True
madelon,feat_165,True,True
madelon,feat_166,True,True
madelon,feat_167,True,True
madelon,feat_168,True,True
madelon,feat_169,True,True
madelon,feat_17,True,True
madelon,feat_170,True,True
madelon,feat_171,True,True
madelon,feat_172,True,True
madelon,feat_173,True,True
madelon,feat_174,True,True
madelon,feat_175,True,True
madelon,feat_176,True,True
madelon,feat_177,True,True
madelon,feat_178,True,True
madelon,feat_179,True,True
madelon,feat_18,True,True
madelon,feat_180,True,True
madelon,feat_181,True,True
madelon,feat_182,True,True
madelon,feat_183,True,True
madelon,feat_184,True,True
madelon,feat_185,True,True
madelon,feat_186,True,True
madelon,feat_187,True,True
madelon,feat_188,True,True
madelon,feat_189,True,True
madelon,feat_19,True,True
madelon,feat_190,True,True
madelon,feat_191,True,True
madelon,feat_192,True,True
madelon,feat_193,True,True
madelon,feat_194,True,True
madelon,feat_195,True,True
madelon,feat_196,True,True
madelon,feat_197,True,True
madelon,feat_198,True,True
madelon,feat_199,True,True
madelon,feat_2,True,True
madelon,feat_20,True,True
madelon,feat_200,True,True
madelon,feat_201,True,True
madelon,feat_202,True,True
madelon,feat_203,True,True
madelon,feat_204,True,True
madelon,feat_205,True,True
madelon,feat_206,True,True
madelon,feat_207,True,True
madelon,feat_208,True,True
madelon,feat_209,True,True
madelon,feat_21,True,True
madelon,feat_210,True,True
madelon,feat_211,True,True
madelon,feat_212,True,True
madelon,feat_213,True,True
madelon,feat_214,True,True
madelon,feat_215,True,True
madelon,feat_216,True,True
madelon,feat_217,True,True
madelon,feat_218,True,True
madelon,feat_219,True,True
madelon,feat_22,True,True
madelon,feat_220,True,True
madelon,feat_221,True,True
madelon,feat_222,True,True
madelon,feat_223,True,True
madelon,feat_224,True,True
madelon,feat_225,True,True
madelon,feat_226,True,True
madelon,feat_227,True,True
madelon,feat_228,True,True
madelon,feat_229,True,True
madelon,feat_23,True,True
madelon,feat_230,True,True
madelon,feat_231,True,True
madelon,feat_232,True,True
madelon,feat_233,True,True
madelon,feat_234,True,True
madelon,feat_235,True,True
madelon,feat_236,True,True
madelon,feat_237,True,True
madelon,feat_238,True,True
madelon,feat_239,True,True
madelon,feat_24,True,True
madelon,feat_240,True,True
madelon,feat_241,True,True
madelon,feat_242,True,True
madelon,feat_243,True,True
madelon,feat_244,True,True
madelon,feat_245,True,True
madelon,feat_246,True,True
madelon,feat_247,True,True
madelon,feat_248,True,True
madelon,feat_249,True,True
madelon,feat_25,True,True
madelon,feat_250,True,True
madelon,feat_251,True,True
madelon,feat_252,True,True
madelon,feat_253,True,True
madelon,feat_254,True,True
madelon,feat_255,True,True
madelon,feat_256,True,True
madelon,feat_257,True,True
madelon,feat_258,True,True
madelon,feat_259,True,True
madelon,feat_26,True,True
madelon,feat_260,True,True
madelon,feat_261,True,True
madelon,feat_262,True,True
madelon,feat_263,True,True
madelon,feat_264,True,True
madelon,feat_265,True,True
madelon,feat_266,True,True
madelon,feat_267,True,True
madelon,feat_268,True,True
madelon,feat_269,True,True
madelon,feat_27,True,True
madelon,feat_270,True,True
madelon,feat_271,True,True
madelon,feat_272,True,True
madelon,feat_273,True,True
madelon,feat_274,True,True
madelon,feat_275,True,True
madelon,feat_276,True,True
madelon,feat_277,True,True
madelon,feat_278,True,True
madelon,feat_279,True,True
madelon,feat_28,True,True
madelon,feat_280,True,True
madelon,feat_281,True,True
madelon,feat_282,True,True
madelon,feat_283,True,True
madelon,feat_284,True,True
madelon,feat_285,True,True
madelon,feat_286,True,True
madelon,feat_287,True,True
madelon,feat_288,True,True
madelon,feat_289,True,True
madelon,feat_29,True,True
madelon,feat_290,True,True
madelon,feat_291,True,True
madelon,feat_292,True,True
madelon,feat_293,True,True
madelon,feat_294,True,True
madelon,feat_295,True,True
madelon,feat_296,True,True
madelon,feat_297,True,True
madelon,feat_298,True,True
madelon,feat_299,True,True
madelon,feat_3,True,True
madelon,feat_30,True,True
madelon,feat_300,True,True
madelon,feat_301,True,True
madelon,feat_302,True,True
madelon,feat_303,True,True
madelon,feat_304,True,True
madelon,feat_305,True,True
madelon,feat_306,True,True
madelon,feat_307,True,True
madelon,feat_308,True,True
madelon,feat_309,True,True
madelon,feat_31,True,True
madelon,feat_310,True,True
madelon,feat_311,True,True
madelon,feat_312,True,True
madelon,feat_313,True,True
madelon,feat_314,True,True
madelon,feat_315,True,True
madelon,feat_316,True,True
madelon,feat_317,True,True
madelon,feat_318,True,True
madelon,feat_319,True,True
madelon,feat_32,True,True
madelon,feat_320,True,True
madelon,feat_321,True,True
madelon,feat_322,True,True
madelon,feat_323,True,True
madelon,feat_324,True,True
madelon,feat_325,True,True
madelon,feat_326,True,True
madelon,feat_327,True,True
madelon,feat_328,True,True
madelon,feat_329,True,True
madelon,feat_33,True,True
madelon,feat_330,True,True
madelon,feat_331,True,True
madelon,feat_332,True,True
madelon,feat_333,True,True
madelon,feat_334,True,True
madelon,feat_335,True,True
madelon,feat_336,True,True
madelon,feat_337,True,True
madelon,feat_338,True,True
madelon,feat_339,True,True
madelon,feat_34,True,True
madelon,feat_340,True,True
madelon,feat_341,True,True
madelon,feat_342,True,True
madelon,feat_343,True,True
madelon,feat_344,True,True
madelon,feat_345,True,True
madelon,feat_346,True,True
madelon,feat_347,True,True
madelon,feat_348,True,True
madelon,feat_349,True,True
madelon,feat_35,True,True
madelon,feat_350,True,True
madelon,feat_351,True,True
madelon,feat_352,True,True
madelon,feat_353,True,True
madelon,feat_354,True,True
madelon,feat_355,True,True
madelon,feat_356,True,True
madelon,feat_357,True,True
madelon,feat_358,True,True
madelon,feat_359,True,True
madelon,feat_36,True,True
madelon,feat_360,True,True
madelon,feat_361,True,True
madelon,feat_362,True,True
madelon,feat_363,True,True
madelon,feat_364,True,True
madelon,feat_365,True,True
madelon,feat_366,True,True
madelon,feat_367,True,True
madelon,feat_368,True,True
madelon,feat_369,True,True
madelon,feat_37,True,True
madelon,feat_370,True,True
madelon,feat_371,True,True
madelon,feat_372,True,True
madelon,feat_373,True,True
madelon,feat_374,True,True
madelon,feat_375,True,True
madelon,feat_376,True,True
madelon,feat_377,True,True
madelon,feat_378,True,True
madelon,feat_379,True,True
madelon,feat_38,True,True
madelon,feat_380,True,True
madelon,feat_381,True,True
madelon,feat_382,True,True
madelon,feat_383,True,True
madelon,feat_384,True,True
madelon,feat_385,True,True
madelon,feat_386,True,True
madelon,feat_387,True,True
madelon,feat_388,True,True
madelon,feat_389,True,True
madelon,feat_39,True,True
madelon,feat_390,True,True
madelon,feat_391,True,True
madelon,feat_392,True,True
madelon,feat_393,True,True
madelon,feat_394,True,True
madelon,feat_395,True,True
madelon,feat_396,True,True
madelon,feat_397,True,True
madelon,feat_398,True,True
madelon,feat_399,True,True
madelon,feat_4,True,True
madelon,feat_40,True,True
madelon,feat_400,True,True
madelon,feat_401,True,True
madelon,feat_402,True,True
madelon,feat_403,True,True
madelon,feat_404,True,True
madelon,feat_405,True,True
madelon,feat_406,True,True
madelon,feat_407,True,True
madelon,feat_408,True,True
madelon,feat_409,True,True
madelon,feat_41,True,True
madelon,feat_410,True,True
madelon,feat_411,True,True
madelon,feat_412,True,True
madelon,feat_413,True,True
madelon,feat_414,True,True
madelon,feat_415,True,True
madelon,feat_416,True,True
madelon,feat_417,True,True
madelon,feat_418,True,True
madelon,feat_419,True,True
madelon,feat_42,True,True
madelon,feat_420,True,True
madelon,feat_421,True,True
madelon,feat_422,True,True
madelon,feat_423,True,True
madelon,feat_424,True,True
madelon,feat_425,True,True
madelon,feat_426,True,True
madelon,feat_427,True,True
madelon,feat_428,True,True
madelon,feat_429,True,True
madelon,feat_43,True,True
madelon,feat_430,True,True
madelon,feat_431,True,True
madelon,feat_432,True,True
madelon,feat_433,True,True
madelon,feat_434,True,True
madelon,feat_435,True,True
madelon,feat_436,True,True
madelon,feat_437,True,True
madelon,feat_438,True,True
madelon,feat_439,True,True
madelon,feat_44,True,True
madelon,feat_440,True,True
madelon,feat_441,True,True
madelon,feat_442,True,True
madelon,feat_443,True,True
madelon,feat_444,True,True
madelon,feat_445,True,True
madelon,feat_446,True,True
madelon,feat_447,True,True
madelon,feat_448,True,True
madelon,feat_449,True,True
madelon,feat_45,True,True
madelon,feat_450,True,True
madelon,feat_451,True,True
madelon,feat_452,True,True
madelon,feat_453,True,True
madelon,feat_454,True,True
madelon,feat_455,True,True
madelon,feat_456,True,True
madelon,feat_457,True,True
madelon,feat_458,True,True
madelon,feat_459,True,True
madelon,feat_46,True,True
madelon,feat_460,True,True
madelon,feat_461,True,True
madelon,feat_462,True,True
madelon,feat_463,True,True
madelon,feat_464,True,True
madelon,feat_465,True,True
madelon,feat_466,True,True
madelon,feat_467,True,True
madelon,feat_468,True,True
madelon,feat_469,True,True
madelon,feat_47,True,True
madelon,feat_470,True,True
madelon,feat_471,True,True
madelon,feat_472,True,True
madelon,feat_473,True,True
madelon,feat_474,True,True
madelon,feat_475,True,True
madelon,feat_476,True,True
madelon,feat_477,True,True
madelon,feat_478,True,True
madelon,feat_479,True,True
madelon,feat_48,True,True
madelon,feat_480,True,True
madelon,feat_481,True,True
madelon,feat_482,True,True
madelon,feat_483,True,True
madelon,feat_484,True,True
madelon,feat_485,True,True
madelon,feat_486,True,True
madelon,feat_487,True,True
madelon,feat_488,True,True
madelon,feat_489,True,True
madelon,feat_49,True,True
madelon,feat_490,True,True
madelon,feat_491,True,True
madelon,feat_492,True,True
madelon,feat_493,True,True
madelon,feat_494,True,True
madelon,feat_495,True,True
madelon,feat_496,True,True
madelon,feat_497,True,True
madelon,feat_498,True,True
madelon,feat_499,True,True
madelon,feat_5,True,True
madelon,feat_50,True,True
madelon,feat_51,True,True
madelon,feat_52,True,True
madelon,feat_53,True,True
madelon,feat_54,True,True
madelon,feat_55,True,True
madelon,feat_56,True,True
madelon,feat_57,True,True
madelon,feat_58,True,True
madelon,feat_59,True,True
madelon,feat_6,True,True
madelon,feat_60,True,True
madelon,feat_61,True,True
madelon,feat_62,True,True
madelon,feat_63,True,True
madelon,feat_64,True,True
madelon,feat_65,True,True
madelon,feat_66,True,True
madelon,feat_67,True,True
madelon,feat_68,True,True
madelon,feat_69,True,True
madelon,feat_7,True,True
madelon,feat_70,True,True
madelon,feat_71,True,True
madelon,feat_72,True,True
madelon,feat_73,True,True
madelon,feat_74,True,True
madelon,feat_75,True,True
madelon,feat_76,True,True
madelon,feat_77,True,True
madelon,feat_78,True,True
madelon,feat_79,True,True
madelon,feat_8,True,True
madelon,feat_80,True,True
madelon,feat_81,True,True
madelon,feat_82,True,True
madelon,feat_83,True,True
madelon,feat_84,True,True
madelon,feat_85,True,True
madelon,feat_86,True,True
madelon,feat_87,True,True
madelon,feat_88,True,True
madelon,feat_89,True,True
madelon,feat_9,True,True
madelon,feat_90,True,True
madelon,feat_91,True,True
madelon,feat_92,True,True
madelon,feat_93,True,True
madelon,feat_94,True,True
madelon,feat_95,True,True
madelon,feat_96,True,True
madelon,feat_97,True,True
madelon,feat_98,True,True
madelon,feat_99,True,True
madelon,target,True,True
olive_oil,Area,True,False
olive_oil,arachidic,True,True
olive_oil,area,False,True
olive_oil,eicosenoic,True,True
olive_oil,id,True,False
olive_oil,linoleic,True,True
olive_oil,linolenic,True,True
olive_oil,oleic,True,True
olive_oil,other,True,True
olive_oil,palmitic,True,True
olive_oil,palmitoleic,True,True
olive_oil,stearic,True,True
olive_oil,target,True,True
