original_index,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,other
508,1180,80,250,7870,580,10,30,2
7,1100,61,235,7728,734,39,64,35
52,1272,116,279,7258,872,43,72,27
446,1075,70,198,7978,608,28,33,2
179,1294,159,253,7009,1190,30,52,13
314,1679,260,177,6568,1191,30,59,33
20,1074,67,236,7692,716,56,83,45
319,1497,247,219,6621,1270,36,73,32
448,1065,75,180,7975,610,25,50,3
405,1103,78,220,7365,1149,20,65,2
234,1334,153,219,6928,1214,33,66,24
290,1188,85,273,7445,814,44,73,42
162,1438,172,252,6630,1380,40,64,24
428,1050,70,170,7977,605,28,65,1
206,1340,158,233,6848,1272,32,63,25
329,1108,132,231,7319,1101,20,66,2
364,1140,93,241,7324,1098,23,74,1
41,1261,121,312,7238,877,47,65,25
537,960,90,200,7810,940,0,0,2
343,1176,92,207,7347,1057,35,82,1
302,1399,169,171,7011,1100,36,72,16
11,1036,59,235,7868,661,30,62,44
86,1412,185,217,6842,1203,34,72,32
483,1180,100,190,7520,820,50,100,1
325,1103,96,210,7380,1085,32,94,3
110,1305,172,169,7004,1260,28,50,11
353,1095,88,203,7415,1093,37,78,1
342,1059,96,228,7386,1128,25,72,2
118,1207,151,156,7159,1234,27,51,14
255,1328,171,253,6987,1030,38,83,39
241,1472,218,214,6724,1238,29,53,23
136,1425,198,193,7032,1041,31,52,17
26,1321,136,217,7174,950,43,63,30
272,1206,55,287,7329,935,44,74,42
457,1098,54,202,7945,595,42,32,2
239,1360,167,225,6883,1220,31,55,27
174,1341,160,231,7033,1069,40,67,33
416,1126,100,236,7062,1380,26,69,1
479,1220,80,240,7610,760,30,60,2
74,1296,136,260,7380,780,48,51,18
346,1107,75,220,7399,1096,29,90,1
396,1100,95,210,7320,1113,22,72,3
1,1088,73,224,7709,781,31,61,29
218,1445,174,228,6875,1123,29,69,31
176,1515,226,257,6595,1287,41,63,16
456,1075,70,190,7975,605,28,27,3
389,1145,35,237,7208,1118,20,46,2
539,1060,120,210,7600,1010,0,0,1
502,1400,90,270,7420,800,0,20,2
236,1303,138,212,7170,1016,34,69,25
198,1495,237,236,6571,1318,32,58,26
307,1391,187,189,6975,1062,52,70,45
40,1260,102,228,7354,870,49,64,28
279,1491,162,211,6994,928,37,97,38
301,1498,170,195,6804,1206,35,66,23
453,1050,78,175,7990,610,18,59,3
278,1429,162,223,6917,1041,37,77,40
233,1454,200,199,6910,1090,30,62,25
246,1201,138,207,7011,1269,37,64,35
220,1387,154,204,6991,1090,34,74,32
34,1299,116,253,7309,823,40,69,27
505,1150,90,230,7790,650,30,60,1
357,1091,93,222,7377,1113,20,53,2
61,1132,157,240,7641,638,45,60,31
562,1090,80,240,7820,760,10,0,2
501,1190,80,270,7690,720,10,40,2
266,1105,69,373,7714,532,51,68,37
442,1080,70,188,7965,608,28,36,3
153,1401,214,217,6734,1293,44,69,27
13,875,52,243,8018,655,41,79,32
545,1060,140,240,7690,850,10,10,1
316,1693,236,174,6499,1204,51,102,37
422,1085,70,185,7955,600,25,55,1
497,1120,100,250,7680,730,40,70,2
170,1397,172,191,7107,1018,36,50,29
84,1410,199,216,7130,955,21,48,19
470,1110,50,220,7950,600,52,10,2
114,1310,180,183,7054,1202,26,32,12
192,1298,166,224,6986,1162,34,65,31
253,1419,159,215,6862,1193,35,60,31
258,1639,172,331,6510,1124,46,91,32
486,1080,100,260,7710,750,20,70,2
337,1095,125,250,7120,1305,21,83,1
133,1351,179,170,7034,1154,35,66,10
50,1266,97,263,7435,743,45,69,29
207,1453,180,244,6752,1238,34,54,23
415,1098,103,267,7135,1301,24,76,2
464,1110,15,210,7990,570,50,20,2
303,1293,156,191,7101,1111,32,60,31
553,920,110,340,7720,910,0,0,3
243,1367,173,228,6948,1141,32,53,24
275,1303,100,251,7045,1049,40,86,40
413,1152,111,238,7080,1372,25,81,2
467,1100,80,215,7930,535,45,60,2
210,1254,151,205,7319,947,28,54,23
150,1412,207,208,6822,1239,36,51,28
328,1116,102,231,7290,1168,26,66,1
143,1342,174,221,6993,1147,36,64,23
46,1254,118,244,7394,786,46,71,24
23,1065,39,234,7876,703,42,74,26
433,1085,60,190,7955,602,30,53,1
359,1051,108,227,7403,1114,30,66,3
450,1070,75,188,7980,602,22,45,1
287,980,53,254,7719,815,44,69,47
559,1120,90,300,7650,830,0,10,1
526,1010,90,350,7480,1050,10,10,1
204,1434,172,255,6646,1354,27,59,25
178,1307,197,238,7003,1144,37,50,24
281,1404,134,210,7110,923,40,101,43
267,1109,79,305,7576,763,45,64,36
244,1403,173,209,6843,1210,33,63,33
506,1240,90,220,7820,590,10,30,1
15,1155,98,201,7606,816,32,60,29
544,1180,130,220,7450,1010,0,10,2
500,1120,100,230,7720,730,20,70,1
340,1108,92,231,7367,1110,29,62,3
510,1170,100,280,7710,640,20,70,3
219,1439,183,218,6775,1226,32,66,29
191,1422,181,218,6813,1230,30,59,21
154,1457,168,242,6724,1266,54,59,30
476,1160,70,250,7650,750,30,90,1
397,1118,85,199,7415,1060,36,86,3
403,1128,82,203,7320,1148,30,88,1
291,1257,95,247,7405,812,43,70,35
37,1285,129,244,7323,819,57,65,36
339,1213,112,245,7007,1335,22,65,3
149,1330,157,228,7055,1108,42,55,25
334,1135,98,251,7120,1314,20,61,2
36,1245,72,283,7395,829,44,67,28
235,1438,204,189,7107,910,33,63,27
185,1272,207,205,7152,1098,37,52,22
91,1273,191,202,6862,1303,43,70,28
115,1360,163,176,6901,1280,28,65,27
62,1381,183,245,7385,609,47,70,25
549,1040,90,250,7810,810,10,10,2
361,1142,97,225,7341,1101,28,65,1
504,1090,60,220,7890,670,10,60,2
293,1283,153,196,7107,1115,37,60,28
423,1090,60,190,7950,600,28,47,2
377,1131,87,233,7144,1307,25,72,3
181,1476,187,203,6837,1197,36,48,22
102,1324,174,198,6863,1289,36,70,21
529,1030,100,230,7740,900,0,0,2
199,1487,246,251,6504,1390,29,53,19
372,1177,111,241,6882,1470,22,95,2
223,1493,204,188,6913,1044,32,61,35
175,1508,208,249,6641,1311,25,43,20
374,1122,104,241,7145,1313,15,58,1
492,1160,70,230,7860,640,10,20,1
551,1020,90,260,7620,1010,0,0,3
274,1327,140,193,7328,823,36,87,35
533,1140,180,220,7610,850,10,10,2
186,1323,157,234,7132,1022,38,58,31
421,1085,70,180,7955,605,20,50,1
536,980,90,330,7540,1040,0,0,2
232,1398,149,204,7182,907,29,76,30
183,1388,176,185,7008,1111,48,53,31
190,1350,168,227,6986,1165,29,58,17
213,1390,184,212,6898,1189,29,44,19
383,1138,101,254,7103,1310,25,68,1
295,1369,158,215,7160,958,38,69,32
105,1387,182,242,6913,1101,44,68,30
81,1454,183,196,7057,1014,27,46,19
478,1140,50,200,7990,580,10,20,1
238,1417,169,207,6875,1184,34,57,27
315,1419,203,176,6973,1083,38,78,27
55,1382,110,268,7241,828,39,60,30
78,1267,101,300,7230,898,74,65,34
543,970,90,220,7700,1020,0,0,3
53,1278,87,332,7379,771,44,53,24
472,1290,60,260,7550,670,70,100,2
440,1095,58,198,7945,600,35,34,1
123,1201,168,190,7100,1216,43,64,16
138,1346,181,257,7147,933,40,60,36
284,1169,76,307,7553,728,43,69,32
548,1040,90,250,7780,820,10,10,1
288,967,55,273,7692,833,45,63,47
64,1306,127,250,7254,869,47,68,24
144,1387,182,206,7100,1020,34,54,17
197,1527,260,232,6488,1370,31,45,20
82,1347,194,197,7277,895,25,46,15
344,1159,98,213,7320,1108,38,64,1
94,1413,193,208,6875,1202,30,60,18
117,1368,171,218,7010,1057,41,54,26
491,1080,80,240,7830,670,30,70,2
418,1115,96,236,7085,1372,20,75,2
261,1194,135,263,7277,889,44,95,41
166,1471,188,276,6697,1269,34,51,16
532,1070,100,230,7600,990,10,0,1
196,1388,183,216,6867,1208,28,61,21
165,1369,156,241,6890,1209,42,63,30
390,1049,96,219,7303,1168,22,47,2
184,1367,172,235,7066,1054,35,45,26
42,1304,124,279,7160,928,48,61,37
167,1456,179,240,6738,1267,41,65,14
485,1130,100,240,7620,780,30,90,1
106,1369,180,181,7000,1130,39,45,24
452,1075,70,185,7960,610,22,58,2
277,1505,243,226,6962,858,30,72,27
141,1314,171,229,6923,1198,47,76,42
447,1075,65,185,7980,608,35,42,3
521,610,80,230,8410,650,0,20,3
471,1092,37,210,7955,600,40,40,3
129,1264,167,166,7130,1187,22,52,12
155,1451,199,221,6835,1177,37,51,29
412,1120,90,240,7068,1383,23,75,1
481,1210,70,250,7560,780,40,90,2
76,1351,159,296,7229,810,36,60,22
349,1106,93,212,7381,1104,35,68,1
330,1129,108,212,7386,1074,28,62,3
103,1290,157,192,7000,1263,26,51,19
439,1090,58,195,7940,600,35,42,2
6,922,66,264,7990,618,49,56,29
368,1178,89,201,7381,1099,34,87,2
45,1292,117,215,7351,839,48,61,32
189,1521,190,238,6956,986,36,50,23
528,1060,140,270,7620,880,10,20,1
511,1180,80,220,7790,680,10,40,1
280,1393,128,211,7189,870,38,93,40
271,905,49,288,7747,812,49,71,56
225,1342,177,199,7172,952,34,65,33
90,1286,192,203,7132,1053,38,65,28
140,1311,166,222,7006,1147,41,80,27
431,1085,60,188,7955,602,30,50,2
285,1369,104,237,7375,775,39,70,15
362,1047,96,236,7399,1107,32,80,3
151,1321,209,217,6948,1178,42,62,23
369,1095,104,223,7367,1111,43,56,2
308,1517,206,249,6680,1205,33,80,27
5,911,49,268,7924,678,51,70,44
146,1430,209,225,6800,1200,32,59,27
360,1096,84,211,7415,1091,30,71,2
564,1110,90,230,7810,750,0,10,2
88,1509,209,257,6647,1240,42,62,30
356,1112,92,209,7356,1125,32,73,2
158,1529,215,203,6602,1310,45,69,27
320,1442,222,194,6677,1314,36,72,38
122,1226,181,213,6961,1230,47,74,26
200,1399,180,232,6855,1190,32,66,22
30,1275,121,215,7285,892,40,68,41
524,1020,100,220,7530,1030,0,0,3
131,1252,180,181,7055,1214,31,59,38
87,1410,232,280,6715,1233,32,60,24
385,1051,78,211,7421,1146,30,82,2
51,1298,99,311,7311,787,45,67,23
392,1030,84,214,7403,1177,21,70,1
289,1128,73,354,7527,728,44,76,38
268,1284,93,265,7235,893,43,77,46
60,1339,166,208,7190,923,40,69,25
4,1051,67,259,7771,672,50,80,46
9,1037,55,213,7944,633,26,52,30
71,1366,147,291,7197,783,51,70,34
490,1120,100,260,7720,680,30,80,2
376,1096,100,260,7162,1282,25,74,2
240,1420,179,214,6923,1121,33,56,27
519,1180,80,240,7760,670,20,50,2
104,1361,163,196,6888,1273,37,58,24
39,1356,106,236,7209,866,48,75,36
427,1060,75,175,7975,610,20,55,2
31,1336,120,318,7083,915,50,70,38
473,1170,80,230,7690,720,40,70,1
546,990,100,250,7630,1030,0,0,3
466,1055,60,175,7985,620,45,50,1
145,1413,202,205,6920,1165,36,46,13
177,1262,165,235,7120,1113,32,51,21
373,1160,96,240,7043,1357,24,79,2
378,1184,105,258,7020,1340,26,66,2
107,1303,165,175,7025,1243,31,41,16
300,1543,172,193,6740,1157,52,87,34
474,1100,90,250,7680,760,30,80,2
394,1103,81,208,7310,1177,30,90,3
228,1460,215,197,6918,1081,28,55,23
381,1086,127,252,7159,1285,28,62,2
445,1110,50,205,7900,595,40,52,1
395,1040,101,205,7368,1176,25,85,3
248,1518,198,225,6681,1243,29,57,24
437,1090,58,195,7950,600,30,42,2
273,1457,182,267,7020,863,41,84,37
312,1621,280,197,6608,1179,28,58,27
542,1020,100,290,7620,960,0,10,2
211,1168,144,220,7230,1109,31,52,28
556,1030,110,210,7810,840,0,0,1
269,1120,69,277,7416,946,42,59,36
21,995,46,288,7806,679,56,86,40
310,1577,204,208,6732,1183,20,52,20
93,1399,187,191,6861,1233,38,60,17
309,1269,157,193,7140,1148,31,40,18
65,1372,120,250,7355,702,44,68,28
444,1105,55,200,7900,595,39,56,1
352,1158,84,201,7327,1123,29,77,2
12,1074,70,214,7728,747,50,79,33
387,1061,86,220,7421,1102,29,79,3
404,1060,111,231,7363,1149,20,65,1
180,1460,187,215,6843,1172,35,56,32
119,1348,154,183,6917,1277,48,56,16
222,1451,200,208,6980,1006,30,62,31
247,1359,180,207,6895,1203,33,61,30
209,1349,161,217,6997,1138,31,62,23
566,1070,100,220,7730,870,10,10,2
57,1261,153,219,7355,818,52,70,26
332,1104,103,233,7322,1147,27,61,2
173,1304,159,234,7019,1174,38,53,19
160,1437,222,184,6803,1240,43,56,16
100,1380,173,188,7038,1139,31,44,14
208,1306,149,226,7082,1097,33,61,24
338,1201,87,238,6990,1383,25,75,3
227,1440,196,208,6938,1070,32,61,26
109,1369,171,184,6937,1246,30,48,15
432,1080,65,180,7960,605,25,55,1
203,1482,246,238,6444,1462,27,50,20
495,1090,90,270,7780,690,30,50,3
498,1190,90,230,7670,710,30,80,2
48,1213,109,301,7261,925,47,65,31
299,1620,255,166,6628,1212,29,62,27
