figure_path,section,dataset,question,visual_family,figure_type,supports_memory,analytical_intent,candidate_families,rejected_families,combined_type
results/figures/05_feature_selection/method_overlap/olive_oil_9class_method_overlap_jaccard.png,05_08,olive_oil_9class,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,heatmap Jaccard,appendix,False,solape entre métodos,heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,
results/figures/05_feature_selection/redundancy_by_dataset/olive_oil_9class_selected_vs_full_redundancy.png,05_12,olive_oil_9class,¿Cada método reduce o concentra redundancia frente al espacio completo?,dot plot paired,appendix,False,comparación paired selected vs full,dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,
results/figures/05_feature_selection/permutation_detail/olive_oil_9class_permutation_detail.png,05_11,olive_oil_9class,¿Qué variables quedan más separadas del nulo por permutación?,barras horizontales de delta,appendix,False,distancia frente a nulo,barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,
results/figures/05_feature_selection/dataset_stories/olive_oil_9class_selection_story.png,05_15,olive_oil_9class,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",figura compuesta tres paneles,memory_candidate,True,síntesis narrativa por dataset,tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel
results/figures/05_feature_selection/summary/fs_method_profiles_summary.png,05_15,GLOBAL,"¿Cómo se comparan coste, estabilidad y redundancia por método?",multipanel ranking,memory_candidate,True,perfil global coste-estabilidad-redundancia,multipanel ranking; radar; tabla,radar descartado por comparación imprecisa; tabla exige mucha aritmética,multipanel
results/figures/05_feature_selection/cost/fs_execution_time_heatmap.png,05_08,GLOBAL,¿Dónde se concentra el coste computacional de la selección clásica?,heatmap anotado,memory_candidate,True,diagnóstico de coste,heatmap anotado; barras agrupadas; tabla,barras agrupadas saturan 5x7 combinaciones; tabla exige buscar máximos,
results/figures/05_feature_selection/stability/fs_stability_distribution_by_method.png,05_10,GLOBAL,¿Qué métodos son estables de forma consistente y cuáles tienen dispersión?,boxplot + strip,memory_candidate,True,distribución de estabilidad,boxplot + puntos; barras de media; tabla,barras de media ocultan dispersión entre datasets y k; tabla exige lectura larga,
results/figures/05_feature_selection/permutation/fs_permutation_above_null_heatmap.png,05_11,GLOBAL,¿Cuántas variables superan el p95 nulo por permutación?,heatmap anotado,memory_candidate,True,resumen de señal frente a nulo,heatmap anotado; barras agrupadas; tabla,barras agrupadas menos compactas para dataset x método; tabla exige comparar manualmente,
results/figures/05_feature_selection/stability/fs_stability_jaccard_heatmap.png,05_10,GLOBAL,¿Qué métodos producen subconjuntos estables entre semillas en cada dataset?,heatmap anotado,memory_candidate,True,matriz dataset-método de estabilidad,heatmap anotado; dot plot; tabla,dot plot dispersa la matriz; tabla exige localizar mínimos,
results/figures/05_feature_selection/redundancy/fs_redundancy_delta.png,05_12,GLOBAL,¿La selección reduce o concentra la redundancia interna respecto al espacio completo?,dot plot con baseline cero,memory_candidate,True,delta de redundancia global,dot plot; barras agrupadas; tabla,barras agrupadas saturan dataset x método; tabla exige calcular signos,
results/figures/05_feature_selection/visual_review_sheet/fs_visual_review_sheet.png,05_15,GLOBAL,Revisión conjunta de figuras candidatas,review sheet,diagnostic_internal,False,,,,
