figure_id,notebook_section,current_path,new_path,figure_class,action,question,data_shape,analytical_intent,derived_metric_needed,scientific_constraints,candidate_families,rejected_families,combined_type,layout,story_protagonist,title_message,subtitle_context,annotation_plan,warmth_style_plan,notebook_size_target,pdf_export_target,acceptance_risks,decision_reason
fase5_fig_11,05_12,results/figures/05_feature_selection/redundancy_by_dataset/customer_churn_selected_vs_full_redundancy.png,results/figures/05_feature_selection/redundancy_by_dataset/customer_churn_selected_vs_full_redundancy.png,appendix,keep,¿Cada método reduce o concentra redundancia frente al espacio completo?,"tabla/matriz de métricas agregadas por dataset, método o feature",comparación paired selected vs full,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,none,dot plot paired,customer_churn,¿Cada método reduce o concentra redundancia frente al espacio completo?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_12,05_11,results/figures/05_feature_selection/permutation_detail/customer_churn_permutation_detail.png,results/figures/05_feature_selection/permutation_detail/customer_churn_permutation_detail.png,appendix,keep,¿Qué variables quedan más separadas del nulo por permutación?,"tabla/matriz de métricas agregadas por dataset, método o feature",distancia frente a nulo,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,none,barras horizontales de delta,customer_churn,¿Qué variables quedan más separadas del nulo por permutación?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_13,05_15,results/figures/05_feature_selection/dataset_stories/customer_churn_selection_story.png,results/figures/05_feature_selection/dataset_stories/customer_churn_selection_story.png,memory_candidate,keep,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","tabla/matriz de métricas agregadas por dataset, método o feature",síntesis narrativa por dataset,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel,figura compuesta tres paneles,customer_churn,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_14,05_15,results/figures/05_feature_selection/top_features/madelon_top_selected_features.png,results/figures/05_feature_selection/top_features/madelon_top_selected_features.png,memory_candidate,keep,¿Qué variables aparecen con más frecuencia entre selectores?,"tabla/matriz de métricas agregadas por dataset, método o feature",ranking de frecuencia de selección,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,none,ranking horizontal,madelon,¿Qué variables aparecen con más frecuencia entre selectores?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_15,05_15,results/figures/05_feature_selection/method_feature_heatmaps/madelon_method_feature_heatmap.png,results/figures/05_feature_selection/method_feature_heatmaps/madelon_method_feature_heatmap.png,appendix,keep,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"tabla/matriz de métricas agregadas por dataset, método o feature",composición método-feature,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,none,heatmap binario,madelon,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_16,05_08,results/figures/05_feature_selection/method_overlap/madelon_method_overlap_jaccard.png,results/figures/05_feature_selection/method_overlap/madelon_method_overlap_jaccard.png,memory_candidate,keep,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"tabla/matriz de métricas agregadas por dataset, método o feature",solape entre métodos,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,none,heatmap Jaccard,madelon,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_17,05_12,results/figures/05_feature_selection/redundancy_by_dataset/madelon_selected_vs_full_redundancy.png,results/figures/05_feature_selection/redundancy_by_dataset/madelon_selected_vs_full_redundancy.png,memory_candidate,keep,¿Cada método reduce o concentra redundancia frente al espacio completo?,"tabla/matriz de métricas agregadas por dataset, método o feature",comparación paired selected vs full,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,none,dot plot paired,madelon,¿Cada método reduce o concentra redundancia frente al espacio completo?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_18,05_11,results/figures/05_feature_selection/permutation_detail/madelon_permutation_detail.png,results/figures/05_feature_selection/permutation_detail/madelon_permutation_detail.png,memory_candidate,keep,¿Qué variables quedan más separadas del nulo por permutación?,"tabla/matriz de métricas agregadas por dataset, método o feature",distancia frente a nulo,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,none,barras horizontales de delta,madelon,¿Qué variables quedan más separadas del nulo por permutación?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_19,05_15,results/figures/05_feature_selection/dataset_stories/madelon_selection_story.png,results/figures/05_feature_selection/dataset_stories/madelon_selection_story.png,memory_candidate,keep,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","tabla/matriz de métricas agregadas por dataset, método o feature",síntesis narrativa por dataset,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel,figura compuesta tres paneles,madelon,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_20,05_15,results/figures/05_feature_selection/top_features/olive_oil_3class_top_selected_features.png,results/figures/05_feature_selection/top_features/olive_oil_3class_top_selected_features.png,memory_candidate,keep,¿Qué variables aparecen con más frecuencia entre selectores?,"tabla/matriz de métricas agregadas por dataset, método o feature",ranking de frecuencia de selección,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,none,ranking horizontal,olive_oil_3class,¿Qué variables aparecen con más frecuencia entre selectores?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_21,05_15,results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_3class_method_feature_heatmap.png,results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_3class_method_feature_heatmap.png,appendix,keep,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"tabla/matriz de métricas agregadas por dataset, método o feature",composición método-feature,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,none,heatmap binario,olive_oil_3class,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_22,05_08,results/figures/05_feature_selection/method_overlap/olive_oil_3class_method_overlap_jaccard.png,results/figures/05_feature_selection/method_overlap/olive_oil_3class_method_overlap_jaccard.png,appendix,keep,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"tabla/matriz de métricas agregadas por dataset, método o feature",solape entre métodos,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,none,heatmap Jaccard,olive_oil_3class,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_23,05_12,results/figures/05_feature_selection/redundancy_by_dataset/olive_oil_3class_selected_vs_full_redundancy.png,results/figures/05_feature_selection/redundancy_by_dataset/olive_oil_3class_selected_vs_full_redundancy.png,appendix,keep,¿Cada método reduce o concentra redundancia frente al espacio completo?,"tabla/matriz de métricas agregadas por dataset, método o feature",comparación paired selected vs full,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,none,dot plot paired,olive_oil_3class,¿Cada método reduce o concentra redundancia frente al espacio completo?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_24,05_11,results/figures/05_feature_selection/permutation_detail/olive_oil_3class_permutation_detail.png,results/figures/05_feature_selection/permutation_detail/olive_oil_3class_permutation_detail.png,appendix,keep,¿Qué variables quedan más separadas del nulo por permutación?,"tabla/matriz de métricas agregadas por dataset, método o feature",distancia frente a nulo,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,none,barras horizontales de delta,olive_oil_3class,¿Qué variables quedan más separadas del nulo por permutación?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_25,05_15,results/figures/05_feature_selection/dataset_stories/olive_oil_3class_selection_story.png,results/figures/05_feature_selection/dataset_stories/olive_oil_3class_selection_story.png,memory_candidate,keep,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","tabla/matriz de métricas agregadas por dataset, método o feature",síntesis narrativa por dataset,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel,figura compuesta tres paneles,olive_oil_3class,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_26,05_15,results/figures/05_feature_selection/top_features/olive_oil_9class_top_selected_features.png,results/figures/05_feature_selection/top_features/olive_oil_9class_top_selected_features.png,memory_candidate,keep,¿Qué variables aparecen con más frecuencia entre selectores?,"tabla/matriz de métricas agregadas por dataset, método o feature",ranking de frecuencia de selección,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,none,ranking horizontal,olive_oil_9class,¿Qué variables aparecen con más frecuencia entre selectores?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_27,05_15,results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_9class_method_feature_heatmap.png,results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_9class_method_feature_heatmap.png,appendix,keep,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"tabla/matriz de métricas agregadas por dataset, método o feature",composición método-feature,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,none,heatmap binario,olive_oil_9class,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_28,05_08,results/figures/05_feature_selection/method_overlap/olive_oil_9class_method_overlap_jaccard.png,results/figures/05_feature_selection/method_overlap/olive_oil_9class_method_overlap_jaccard.png,appendix,keep,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"tabla/matriz de métricas agregadas por dataset, método o feature",solape entre métodos,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,none,heatmap Jaccard,olive_oil_9class,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
