dataset,variable,infinitos,ceros,valores_negativos
madelon,feat_220,0,0,0
madelon,feat_221,0,0,0
madelon,feat_222,0,0,0
madelon,feat_223,0,0,0
madelon,feat_224,0,0,0
madelon,feat_225,0,0,0
madelon,feat_226,0,0,0
madelon,feat_227,0,0,0
madelon,feat_228,0,0,0
madelon,feat_229,0,0,0
madelon,feat_230,0,0,0
madelon,feat_231,0,0,0
madelon,feat_232,0,0,0
madelon,feat_233,0,0,0
madelon,feat_234,0,0,0
madelon,feat_235,0,0,0
madelon,feat_236,0,0,0
madelon,feat_237,0,0,0
madelon,feat_238,0,0,0
madelon,feat_239,0,0,0
madelon,feat_240,0,0,0
madelon,feat_241,0,0,0
madelon,feat_242,0,0,0
madelon,feat_243,0,0,0
madelon,feat_244,0,0,0
madelon,feat_245,0,0,0
madelon,feat_246,0,0,0
madelon,feat_247,0,0,0
madelon,feat_248,0,0,0
madelon,feat_249,0,0,0
madelon,feat_250,0,0,0
madelon,feat_251,0,0,0
madelon,feat_252,0,0,0
madelon,feat_253,0,0,0
madelon,feat_254,0,0,0
madelon,feat_255,0,0,0
madelon,feat_256,0,0,0
madelon,feat_257,0,0,0
madelon,feat_258,0,0,0
madelon,feat_259,0,0,0
madelon,feat_260,0,0,0
madelon,feat_261,0,0,0
madelon,feat_262,0,0,0
madelon,feat_263,0,0,0
madelon,feat_264,0,0,0
madelon,feat_265,0,0,0
madelon,feat_266,0,0,0
madelon,feat_267,0,0,0
madelon,feat_268,0,0,0
madelon,feat_269,0,0,0
madelon,feat_270,0,0,0
madelon,feat_271,0,0,0
madelon,feat_272,0,0,0
madelon,feat_273,0,0,0
madelon,feat_274,0,0,0
madelon,feat_275,0,0,0
madelon,feat_276,0,0,0
madelon,feat_277,0,0,0
madelon,feat_278,0,0,0
madelon,feat_279,0,0,0
madelon,feat_280,0,0,0
madelon,feat_281,0,0,0
madelon,feat_282,0,0,0
madelon,feat_283,0,0,0
madelon,feat_284,0,0,0
madelon,feat_285,0,0,0
madelon,feat_286,0,0,0
madelon,feat_287,0,0,0
madelon,feat_288,0,0,0
madelon,feat_289,0,0,0
madelon,feat_290,0,0,0
madelon,feat_291,0,0,0
madelon,feat_292,0,0,0
madelon,feat_293,0,0,0
madelon,feat_294,0,0,0
madelon,feat_295,0,0,0
madelon,feat_296,0,0,0
madelon,feat_297,0,0,0
madelon,feat_298,0,0,0
madelon,feat_299,0,0,0
madelon,feat_300,0,0,0
madelon,feat_301,0,0,0
madelon,feat_302,0,0,0
madelon,feat_303,0,0,0
madelon,feat_304,0,0,0
madelon,feat_305,0,0,0
madelon,feat_306,0,0,0
madelon,feat_307,0,0,0
madelon,feat_308,0,0,0
madelon,feat_309,0,0,0
madelon,feat_310,0,0,0
madelon,feat_311,0,0,0
madelon,feat_312,0,0,0
madelon,feat_313,0,0,0
madelon,feat_314,0,0,0
madelon,feat_315,0,0,0
madelon,feat_316,0,0,0
madelon,feat_317,0,0,0
madelon,feat_318,0,0,0
madelon,feat_319,0,0,0
madelon,feat_320,0,0,0
madelon,feat_321,0,0,0
madelon,feat_322,0,0,0
madelon,feat_323,0,0,0
madelon,feat_324,0,0,0
madelon,feat_325,0,0,0
madelon,feat_326,0,0,0
madelon,feat_327,0,0,0
madelon,feat_328,0,0,0
madelon,feat_329,0,0,0
madelon,feat_330,0,0,0
madelon,feat_331,0,0,0
madelon,feat_332,0,0,0
madelon,feat_333,0,0,0
madelon,feat_334,0,0,0
madelon,feat_335,0,0,0
madelon,feat_336,0,0,0
madelon,feat_337,0,0,0
madelon,feat_338,0,0,0
madelon,feat_339,0,0,0
madelon,feat_340,0,0,0
madelon,feat_341,0,0,0
madelon,feat_342,0,0,0
madelon,feat_343,0,0,0
madelon,feat_344,0,0,0
madelon,feat_345,0,0,0
madelon,feat_346,0,0,0
madelon,feat_347,0,0,0
madelon,feat_348,0,0,0
madelon,feat_349,0,0,0
madelon,feat_350,0,0,0
madelon,feat_351,0,0,0
madelon,feat_352,0,0,0
madelon,feat_353,0,0,0
madelon,feat_354,0,0,0
madelon,feat_355,0,0,0
madelon,feat_356,0,0,0
madelon,feat_357,0,0,0
madelon,feat_358,0,0,0
madelon,feat_359,0,0,0
madelon,feat_360,0,0,0
madelon,feat_361,0,0,0
madelon,feat_362,0,0,0
madelon,feat_363,0,0,0
madelon,feat_364,0,0,0
madelon,feat_365,0,0,0
madelon,feat_366,0,0,0
madelon,feat_367,0,0,0
madelon,feat_368,0,0,0
madelon,feat_369,0,0,0
madelon,feat_370,0,0,0
madelon,feat_371,0,0,0
madelon,feat_372,0,0,0
madelon,feat_373,0,0,0
madelon,feat_374,0,0,0
madelon,feat_375,0,0,0
madelon,feat_376,0,0,0
madelon,feat_377,0,0,0
madelon,feat_378,0,0,0
madelon,feat_379,0,0,0
madelon,feat_380,0,0,0
madelon,feat_381,0,0,0
madelon,feat_382,0,0,0
madelon,feat_383,0,0,0
madelon,feat_384,0,0,0
madelon,feat_385,0,0,0
madelon,feat_386,0,0,0
madelon,feat_387,0,0,0
madelon,feat_388,0,0,0
madelon,feat_389,0,0,0
madelon,feat_390,0,0,0
madelon,feat_391,0,0,0
madelon,feat_392,0,0,0
madelon,feat_393,0,0,0
madelon,feat_394,0,0,0
madelon,feat_395,0,0,0
madelon,feat_396,0,0,0
madelon,feat_397,0,0,0
madelon,feat_398,0,0,0
madelon,feat_399,0,0,0
madelon,feat_400,0,0,0
madelon,feat_401,0,0,0
madelon,feat_402,0,0,0
madelon,feat_403,0,0,0
madelon,feat_404,0,0,0
madelon,feat_405,0,0,0
madelon,feat_406,0,0,0
madelon,feat_407,0,0,0
madelon,feat_408,0,0,0
madelon,feat_409,0,0,0
madelon,feat_410,0,0,0
madelon,feat_411,0,0,0
madelon,feat_412,0,0,0
madelon,feat_413,0,0,0
madelon,feat_414,0,0,0
madelon,feat_415,0,0,0
madelon,feat_416,0,0,0
madelon,feat_417,0,0,0
madelon,feat_418,0,0,0
madelon,feat_419,0,0,0
madelon,feat_420,0,0,0
madelon,feat_421,0,0,0
madelon,feat_422,0,0,0
madelon,feat_423,0,0,0
madelon,feat_424,0,0,0
madelon,feat_425,0,0,0
madelon,feat_426,0,0,0
madelon,feat_427,0,0,0
madelon,feat_428,0,0,0
madelon,feat_429,0,0,0
madelon,feat_430,0,0,0
madelon,feat_431,0,0,0
madelon,feat_432,0,0,0
madelon,feat_433,0,0,0
madelon,feat_434,0,0,0
madelon,feat_435,0,0,0
madelon,feat_436,0,0,0
madelon,feat_437,0,0,0
madelon,feat_438,0,0,0
madelon,feat_439,0,0,0
madelon,feat_440,0,0,0
madelon,feat_441,0,0,0
madelon,feat_442,0,0,0
madelon,feat_443,0,0,0
madelon,feat_444,0,0,0
madelon,feat_445,0,0,0
madelon,feat_446,0,0,0
madelon,feat_447,0,0,0
madelon,feat_448,0,0,0
madelon,feat_449,0,0,0
madelon,feat_450,0,0,0
madelon,feat_451,0,0,0
madelon,feat_452,0,0,0
madelon,feat_453,0,0,0
madelon,feat_454,0,0,0
madelon,feat_455,0,0,0
madelon,feat_456,0,0,0
madelon,feat_457,0,0,0
madelon,feat_458,0,0,0
madelon,feat_459,0,0,0
madelon,feat_460,0,0,0
madelon,feat_461,0,0,0
madelon,feat_462,0,0,0
madelon,feat_463,0,0,0
madelon,feat_464,0,0,0
madelon,feat_465,0,0,0
madelon,feat_466,0,0,0
madelon,feat_467,0,0,0
madelon,feat_468,0,0,0
madelon,feat_469,0,0,0
madelon,feat_470,0,0,0
madelon,feat_471,0,0,0
madelon,feat_472,0,0,0
madelon,feat_473,0,0,0
madelon,feat_474,0,0,0
madelon,feat_475,0,0,0
madelon,feat_476,0,0,0
madelon,feat_477,0,0,0
madelon,feat_478,0,0,0
madelon,feat_479,0,0,0
madelon,feat_480,0,0,0
madelon,feat_481,0,0,0
madelon,feat_482,0,0,0
madelon,feat_483,0,0,0
madelon,feat_484,0,0,0
madelon,feat_485,0,0,0
madelon,feat_486,0,0,0
madelon,feat_487,0,0,0
madelon,feat_488,0,0,0
madelon,feat_489,0,0,0
madelon,feat_490,0,0,0
madelon,feat_491,0,0,0
madelon,feat_492,0,0,0
madelon,feat_493,0,0,0
madelon,feat_494,0,0,0
madelon,feat_495,0,0,0
madelon,feat_496,0,0,0
madelon,feat_497,0,0,0
madelon,feat_498,0,0,0
madelon,feat_499,0,0,0
madelon,target,0,0,1000
olive_oil,id,0,0,0
olive_oil,Area,0,0,0
olive_oil,palmitic,0,0,0
olive_oil,palmitoleic,0,0,0
olive_oil,stearic,0,0,0
olive_oil,oleic,0,0,0
olive_oil,linoleic,0,0,0
olive_oil,linolenic,0,0,0
olive_oil,arachidic,0,30,0
olive_oil,eicosenoic,0,26,0
olive_oil,other,0,0,0
