dataset,variable,dtype_original,dtype_procesado,cambia
madelon,feat_105,int64,int64,False
madelon,feat_106,int64,int64,False
madelon,feat_107,int64,int64,False
madelon,feat_108,int64,int64,False
madelon,feat_109,int64,int64,False
madelon,feat_110,int64,int64,False
madelon,feat_111,int64,int64,False
madelon,feat_112,int64,int64,False
madelon,feat_113,int64,int64,False
madelon,feat_114,int64,int64,False
madelon,feat_115,int64,int64,False
madelon,feat_116,int64,int64,False
madelon,feat_117,int64,int64,False
madelon,feat_118,int64,int64,False
madelon,feat_119,int64,int64,False
madelon,feat_120,int64,int64,False
madelon,feat_121,int64,int64,False
madelon,feat_122,int64,int64,False
madelon,feat_123,int64,int64,False
madelon,feat_124,int64,int64,False
madelon,feat_125,int64,int64,False
madelon,feat_126,int64,int64,False
madelon,feat_127,int64,int64,False
madelon,feat_128,int64,int64,False
madelon,feat_129,int64,int64,False
madelon,feat_130,int64,int64,False
madelon,feat_131,int64,int64,False
madelon,feat_132,int64,int64,False
madelon,feat_133,int64,int64,False
madelon,feat_134,int64,int64,False
madelon,feat_135,int64,int64,False
madelon,feat_136,int64,int64,False
madelon,feat_137,int64,int64,False
madelon,feat_138,int64,int64,False
madelon,feat_139,int64,int64,False
madelon,feat_140,int64,int64,False
madelon,feat_141,int64,int64,False
madelon,feat_142,int64,int64,False
madelon,feat_143,int64,int64,False
madelon,feat_144,int64,int64,False
madelon,feat_145,int64,int64,False
madelon,feat_146,int64,int64,False
madelon,feat_147,int64,int64,False
madelon,feat_148,int64,int64,False
madelon,feat_149,int64,int64,False
madelon,feat_150,int64,int64,False
madelon,feat_151,int64,int64,False
madelon,feat_152,int64,int64,False
madelon,feat_153,int64,int64,False
madelon,feat_154,int64,int64,False
madelon,feat_155,int64,int64,False
madelon,feat_156,int64,int64,False
madelon,feat_157,int64,int64,False
madelon,feat_158,int64,int64,False
madelon,feat_159,int64,int64,False
madelon,feat_160,int64,int64,False
madelon,feat_161,int64,int64,False
madelon,feat_162,int64,int64,False
madelon,feat_163,int64,int64,False
madelon,feat_164,int64,int64,False
madelon,feat_165,int64,int64,False
madelon,feat_166,int64,int64,False
madelon,feat_167,int64,int64,False
madelon,feat_168,int64,int64,False
madelon,feat_169,int64,int64,False
madelon,feat_170,int64,int64,False
madelon,feat_171,int64,int64,False
madelon,feat_172,int64,int64,False
madelon,feat_173,int64,int64,False
madelon,feat_174,int64,int64,False
madelon,feat_175,int64,int64,False
madelon,feat_176,int64,int64,False
madelon,feat_177,int64,int64,False
madelon,feat_178,int64,int64,False
madelon,feat_179,int64,int64,False
madelon,feat_180,int64,int64,False
madelon,feat_181,int64,int64,False
madelon,feat_182,int64,int64,False
madelon,feat_183,int64,int64,False
madelon,feat_184,int64,int64,False
madelon,feat_185,int64,int64,False
madelon,feat_186,int64,int64,False
madelon,feat_187,int64,int64,False
madelon,feat_188,int64,int64,False
madelon,feat_189,int64,int64,False
madelon,feat_190,int64,int64,False
madelon,feat_191,int64,int64,False
madelon,feat_192,int64,int64,False
madelon,feat_193,int64,int64,False
madelon,feat_194,int64,int64,False
madelon,feat_195,int64,int64,False
madelon,feat_196,int64,int64,False
madelon,feat_197,int64,int64,False
madelon,feat_198,int64,int64,False
madelon,feat_199,int64,int64,False
madelon,feat_200,int64,int64,False
madelon,feat_201,int64,int64,False
madelon,feat_202,int64,int64,False
madelon,feat_203,int64,int64,False
madelon,feat_204,int64,int64,False
madelon,feat_205,int64,int64,False
madelon,feat_206,int64,int64,False
madelon,feat_207,int64,int64,False
madelon,feat_208,int64,int64,False
madelon,feat_209,int64,int64,False
madelon,feat_210,int64,int64,False
madelon,feat_211,int64,int64,False
madelon,feat_212,int64,int64,False
madelon,feat_213,int64,int64,False
madelon,feat_214,int64,int64,False
madelon,feat_215,int64,int64,False
madelon,feat_216,int64,int64,False
madelon,feat_217,int64,int64,False
madelon,feat_218,int64,int64,False
madelon,feat_219,int64,int64,False
madelon,feat_220,int64,int64,False
madelon,feat_221,int64,int64,False
madelon,feat_222,int64,int64,False
madelon,feat_223,int64,int64,False
madelon,feat_224,int64,int64,False
madelon,feat_225,int64,int64,False
madelon,feat_226,int64,int64,False
madelon,feat_227,int64,int64,False
madelon,feat_228,int64,int64,False
madelon,feat_229,int64,int64,False
madelon,feat_230,int64,int64,False
madelon,feat_231,int64,int64,False
madelon,feat_232,int64,int64,False
madelon,feat_233,int64,int64,False
madelon,feat_234,int64,int64,False
madelon,feat_235,int64,int64,False
madelon,feat_236,int64,int64,False
madelon,feat_237,int64,int64,False
madelon,feat_238,int64,int64,False
madelon,feat_239,int64,int64,False
madelon,feat_240,int64,int64,False
madelon,feat_241,int64,int64,False
madelon,feat_242,int64,int64,False
madelon,feat_243,int64,int64,False
madelon,feat_244,int64,int64,False
madelon,feat_245,int64,int64,False
madelon,feat_246,int64,int64,False
madelon,feat_247,int64,int64,False
madelon,feat_248,int64,int64,False
madelon,feat_249,int64,int64,False
madelon,feat_250,int64,int64,False
madelon,feat_251,int64,int64,False
madelon,feat_252,int64,int64,False
madelon,feat_253,int64,int64,False
madelon,feat_254,int64,int64,False
madelon,feat_255,int64,int64,False
madelon,feat_256,int64,int64,False
madelon,feat_257,int64,int64,False
madelon,feat_258,int64,int64,False
madelon,feat_259,int64,int64,False
madelon,feat_260,int64,int64,False
madelon,feat_261,int64,int64,False
madelon,feat_262,int64,int64,False
madelon,feat_263,int64,int64,False
madelon,feat_264,int64,int64,False
madelon,feat_265,int64,int64,False
madelon,feat_266,int64,int64,False
madelon,feat_267,int64,int64,False
madelon,feat_268,int64,int64,False
madelon,feat_269,int64,int64,False
madelon,feat_270,int64,int64,False
madelon,feat_271,int64,int64,False
madelon,feat_272,int64,int64,False
madelon,feat_273,int64,int64,False
madelon,feat_274,int64,int64,False
madelon,feat_275,int64,int64,False
madelon,feat_276,int64,int64,False
madelon,feat_277,int64,int64,False
madelon,feat_278,int64,int64,False
madelon,feat_279,int64,int64,False
madelon,feat_280,int64,int64,False
madelon,feat_281,int64,int64,False
madelon,feat_282,int64,int64,False
madelon,feat_283,int64,int64,False
madelon,feat_284,int64,int64,False
madelon,feat_285,int64,int64,False
madelon,feat_286,int64,int64,False
madelon,feat_287,int64,int64,False
madelon,feat_288,int64,int64,False
madelon,feat_289,int64,int64,False
madelon,feat_290,int64,int64,False
madelon,feat_291,int64,int64,False
madelon,feat_292,int64,int64,False
madelon,feat_293,int64,int64,False
madelon,feat_294,int64,int64,False
madelon,feat_295,int64,int64,False
madelon,feat_296,int64,int64,False
madelon,feat_297,int64,int64,False
madelon,feat_298,int64,int64,False
madelon,feat_299,int64,int64,False
madelon,feat_300,int64,int64,False
madelon,feat_301,int64,int64,False
madelon,feat_302,int64,int64,False
madelon,feat_303,int64,int64,False
madelon,feat_304,int64,int64,False
madelon,feat_305,int64,int64,False
madelon,feat_306,int64,int64,False
madelon,feat_307,int64,int64,False
madelon,feat_308,int64,int64,False
madelon,feat_309,int64,int64,False
madelon,feat_310,int64,int64,False
madelon,feat_311,int64,int64,False
madelon,feat_312,int64,int64,False
madelon,feat_313,int64,int64,False
madelon,feat_314,int64,int64,False
madelon,feat_315,int64,int64,False
madelon,feat_316,int64,int64,False
madelon,feat_317,int64,int64,False
madelon,feat_318,int64,int64,False
madelon,feat_319,int64,int64,False
madelon,feat_320,int64,int64,False
madelon,feat_321,int64,int64,False
madelon,feat_322,int64,int64,False
madelon,feat_323,int64,int64,False
madelon,feat_324,int64,int64,False
madelon,feat_325,int64,int64,False
madelon,feat_326,int64,int64,False
madelon,feat_327,int64,int64,False
madelon,feat_328,int64,int64,False
madelon,feat_329,int64,int64,False
madelon,feat_330,int64,int64,False
madelon,feat_331,int64,int64,False
madelon,feat_332,int64,int64,False
madelon,feat_333,int64,int64,False
madelon,feat_334,int64,int64,False
madelon,feat_335,int64,int64,False
madelon,feat_336,int64,int64,False
madelon,feat_337,int64,int64,False
madelon,feat_338,int64,int64,False
madelon,feat_339,int64,int64,False
madelon,feat_340,int64,int64,False
madelon,feat_341,int64,int64,False
madelon,feat_342,int64,int64,False
madelon,feat_343,int64,int64,False
madelon,feat_344,int64,int64,False
madelon,feat_345,int64,int64,False
madelon,feat_346,int64,int64,False
madelon,feat_347,int64,int64,False
madelon,feat_348,int64,int64,False
madelon,feat_349,int64,int64,False
madelon,feat_350,int64,int64,False
madelon,feat_351,int64,int64,False
madelon,feat_352,int64,int64,False
madelon,feat_353,int64,int64,False
madelon,feat_354,int64,int64,False
madelon,feat_355,int64,int64,False
madelon,feat_356,int64,int64,False
madelon,feat_357,int64,int64,False
madelon,feat_358,int64,int64,False
madelon,feat_359,int64,int64,False
madelon,feat_360,int64,int64,False
madelon,feat_361,int64,int64,False
madelon,feat_362,int64,int64,False
madelon,feat_363,int64,int64,False
madelon,feat_364,int64,int64,False
madelon,feat_365,int64,int64,False
madelon,feat_366,int64,int64,False
madelon,feat_367,int64,int64,False
madelon,feat_368,int64,int64,False
madelon,feat_369,int64,int64,False
madelon,feat_370,int64,int64,False
madelon,feat_371,int64,int64,False
madelon,feat_372,int64,int64,False
madelon,feat_373,int64,int64,False
madelon,feat_374,int64,int64,False
madelon,feat_375,int64,int64,False
madelon,feat_376,int64,int64,False
madelon,feat_377,int64,int64,False
madelon,feat_378,int64,int64,False
madelon,feat_379,int64,int64,False
madelon,feat_380,int64,int64,False
madelon,feat_381,int64,int64,False
madelon,feat_382,int64,int64,False
madelon,feat_383,int64,int64,False
madelon,feat_384,int64,int64,False
madelon,feat_385,int64,int64,False
madelon,feat_386,int64,int64,False
madelon,feat_387,int64,int64,False
madelon,feat_388,int64,int64,False
madelon,feat_389,int64,int64,False
madelon,feat_390,int64,int64,False
madelon,feat_391,int64,int64,False
madelon,feat_392,int64,int64,False
madelon,feat_393,int64,int64,False
madelon,feat_394,int64,int64,False
madelon,feat_395,int64,int64,False
madelon,feat_396,int64,int64,False
madelon,feat_397,int64,int64,False
madelon,feat_398,int64,int64,False
madelon,feat_399,int64,int64,False
madelon,feat_400,int64,int64,False
madelon,feat_401,int64,int64,False
madelon,feat_402,int64,int64,False
madelon,feat_403,int64,int64,False
madelon,feat_404,int64,int64,False
madelon,feat_405,int64,int64,False
madelon,feat_406,int64,int64,False
madelon,feat_407,int64,int64,False
madelon,feat_408,int64,int64,False
madelon,feat_409,int64,int64,False
madelon,feat_410,int64,int64,False
madelon,feat_411,int64,int64,False
madelon,feat_412,int64,int64,False
madelon,feat_413,int64,int64,False
madelon,feat_414,int64,int64,False
madelon,feat_415,int64,int64,False
madelon,feat_416,int64,int64,False
madelon,feat_417,int64,int64,False
madelon,feat_418,int64,int64,False
madelon,feat_419,int64,int64,False
madelon,feat_420,int64,int64,False
madelon,feat_421,int64,int64,False
madelon,feat_422,int64,int64,False
madelon,feat_423,int64,int64,False
madelon,feat_424,int64,int64,False
madelon,feat_425,int64,int64,False
madelon,feat_426,int64,int64,False
madelon,feat_427,int64,int64,False
madelon,feat_428,int64,int64,False
madelon,feat_429,int64,int64,False
madelon,feat_430,int64,int64,False
madelon,feat_431,int64,int64,False
madelon,feat_432,int64,int64,False
madelon,feat_433,int64,int64,False
madelon,feat_434,int64,int64,False
madelon,feat_435,int64,int64,False
madelon,feat_436,int64,int64,False
madelon,feat_437,int64,int64,False
madelon,feat_438,int64,int64,False
madelon,feat_439,int64,int64,False
madelon,feat_440,int64,int64,False
madelon,feat_441,int64,int64,False
madelon,feat_442,int64,int64,False
madelon,feat_443,int64,int64,False
madelon,feat_444,int64,int64,False
madelon,feat_445,int64,int64,False
madelon,feat_446,int64,int64,False
madelon,feat_447,int64,int64,False
madelon,feat_448,int64,int64,False
madelon,feat_449,int64,int64,False
madelon,feat_450,int64,int64,False
madelon,feat_451,int64,int64,False
madelon,feat_452,int64,int64,False
madelon,feat_453,int64,int64,False
madelon,feat_454,int64,int64,False
madelon,feat_455,int64,int64,False
madelon,feat_456,int64,int64,False
madelon,feat_457,int64,int64,False
madelon,feat_458,int64,int64,False
madelon,feat_459,int64,int64,False
madelon,feat_460,int64,int64,False
madelon,feat_461,int64,int64,False
madelon,feat_462,int64,int64,False
madelon,feat_463,int64,int64,False
madelon,feat_464,int64,int64,False
madelon,feat_465,int64,int64,False
madelon,feat_466,int64,int64,False
madelon,feat_467,int64,int64,False
madelon,feat_468,int64,int64,False
madelon,feat_469,int64,int64,False
madelon,feat_470,int64,int64,False
madelon,feat_471,int64,int64,False
madelon,feat_472,int64,int64,False
madelon,feat_473,int64,int64,False
madelon,feat_474,int64,int64,False
madelon,feat_475,int64,int64,False
madelon,feat_476,int64,int64,False
madelon,feat_477,int64,int64,False
madelon,feat_478,int64,int64,False
madelon,feat_479,int64,int64,False
madelon,feat_480,int64,int64,False
madelon,feat_481,int64,int64,False
madelon,feat_482,int64,int64,False
madelon,feat_483,int64,int64,False
madelon,feat_484,int64,int64,False
madelon,feat_485,int64,int64,False
madelon,feat_486,int64,int64,False
madelon,feat_487,int64,int64,False
madelon,feat_488,int64,int64,False
madelon,feat_489,int64,int64,False
madelon,feat_490,int64,int64,False
madelon,feat_491,int64,int64,False
madelon,feat_492,int64,int64,False
madelon,feat_493,int64,int64,False
madelon,feat_494,int64,int64,False
madelon,feat_495,int64,int64,False
madelon,feat_496,int64,int64,False
madelon,feat_497,int64,int64,False
madelon,feat_498,int64,int64,False
madelon,feat_499,int64,int64,False
madelon,target,int64,int64,False
olive_oil,id,int64,int64,False
olive_oil,target,object,object,False
olive_oil,area,int64,int64,False
olive_oil,palmitic,int64,int64,False
olive_oil,palmitoleic,int64,int64,False
olive_oil,stearic,int64,int64,False
olive_oil,oleic,int64,int64,False
olive_oil,linoleic,int64,int64,False
olive_oil,linolenic,int64,int64,False
olive_oil,arachidic,int64,int64,False
olive_oil,eicosenoic,int64,int64,False
olive_oil,other,int64,int64,False
