dataset,columna_original,columna_procesada,cambia
madelon,feat_144,feat_144,False
madelon,feat_145,feat_145,False
madelon,feat_146,feat_146,False
madelon,feat_147,feat_147,False
madelon,feat_148,feat_148,False
madelon,feat_149,feat_149,False
madelon,feat_150,feat_150,False
madelon,feat_151,feat_151,False
madelon,feat_152,feat_152,False
madelon,feat_153,feat_153,False
madelon,feat_154,feat_154,False
madelon,feat_155,feat_155,False
madelon,feat_156,feat_156,False
madelon,feat_157,feat_157,False
madelon,feat_158,feat_158,False
madelon,feat_159,feat_159,False
madelon,feat_160,feat_160,False
madelon,feat_161,feat_161,False
madelon,feat_162,feat_162,False
madelon,feat_163,feat_163,False
madelon,feat_164,feat_164,False
madelon,feat_165,feat_165,False
madelon,feat_166,feat_166,False
madelon,feat_167,feat_167,False
madelon,feat_168,feat_168,False
madelon,feat_169,feat_169,False
madelon,feat_170,feat_170,False
madelon,feat_171,feat_171,False
madelon,feat_172,feat_172,False
madelon,feat_173,feat_173,False
madelon,feat_174,feat_174,False
madelon,feat_175,feat_175,False
madelon,feat_176,feat_176,False
madelon,feat_177,feat_177,False
madelon,feat_178,feat_178,False
madelon,feat_179,feat_179,False
madelon,feat_180,feat_180,False
madelon,feat_181,feat_181,False
madelon,feat_182,feat_182,False
madelon,feat_183,feat_183,False
madelon,feat_184,feat_184,False
madelon,feat_185,feat_185,False
madelon,feat_186,feat_186,False
madelon,feat_187,feat_187,False
madelon,feat_188,feat_188,False
madelon,feat_189,feat_189,False
madelon,feat_190,feat_190,False
madelon,feat_191,feat_191,False
madelon,feat_192,feat_192,False
madelon,feat_193,feat_193,False
madelon,feat_194,feat_194,False
madelon,feat_195,feat_195,False
madelon,feat_196,feat_196,False
madelon,feat_197,feat_197,False
madelon,feat_198,feat_198,False
madelon,feat_199,feat_199,False
madelon,feat_200,feat_200,False
madelon,feat_201,feat_201,False
madelon,feat_202,feat_202,False
madelon,feat_203,feat_203,False
madelon,feat_204,feat_204,False
madelon,feat_205,feat_205,False
madelon,feat_206,feat_206,False
madelon,feat_207,feat_207,False
madelon,feat_208,feat_208,False
madelon,feat_209,feat_209,False
madelon,feat_210,feat_210,False
madelon,feat_211,feat_211,False
madelon,feat_212,feat_212,False
madelon,feat_213,feat_213,False
madelon,feat_214,feat_214,False
madelon,feat_215,feat_215,False
madelon,feat_216,feat_216,False
madelon,feat_217,feat_217,False
madelon,feat_218,feat_218,False
madelon,feat_219,feat_219,False
madelon,feat_220,feat_220,False
madelon,feat_221,feat_221,False
madelon,feat_222,feat_222,False
madelon,feat_223,feat_223,False
madelon,feat_224,feat_224,False
madelon,feat_225,feat_225,False
madelon,feat_226,feat_226,False
madelon,feat_227,feat_227,False
madelon,feat_228,feat_228,False
madelon,feat_229,feat_229,False
madelon,feat_230,feat_230,False
madelon,feat_231,feat_231,False
madelon,feat_232,feat_232,False
madelon,feat_233,feat_233,False
madelon,feat_234,feat_234,False
madelon,feat_235,feat_235,False
madelon,feat_236,feat_236,False
madelon,feat_237,feat_237,False
madelon,feat_238,feat_238,False
madelon,feat_239,feat_239,False
madelon,feat_240,feat_240,False
madelon,feat_241,feat_241,False
madelon,feat_242,feat_242,False
madelon,feat_243,feat_243,False
madelon,feat_244,feat_244,False
madelon,feat_245,feat_245,False
madelon,feat_246,feat_246,False
madelon,feat_247,feat_247,False
madelon,feat_248,feat_248,False
madelon,feat_249,feat_249,False
madelon,feat_250,feat_250,False
madelon,feat_251,feat_251,False
madelon,feat_252,feat_252,False
madelon,feat_253,feat_253,False
madelon,feat_254,feat_254,False
madelon,feat_255,feat_255,False
madelon,feat_256,feat_256,False
madelon,feat_257,feat_257,False
madelon,feat_258,feat_258,False
madelon,feat_259,feat_259,False
madelon,feat_260,feat_260,False
madelon,feat_261,feat_261,False
madelon,feat_262,feat_262,False
madelon,feat_263,feat_263,False
madelon,feat_264,feat_264,False
madelon,feat_265,feat_265,False
madelon,feat_266,feat_266,False
madelon,feat_267,feat_267,False
madelon,feat_268,feat_268,False
madelon,feat_269,feat_269,False
madelon,feat_270,feat_270,False
madelon,feat_271,feat_271,False
madelon,feat_272,feat_272,False
madelon,feat_273,feat_273,False
madelon,feat_274,feat_274,False
madelon,feat_275,feat_275,False
madelon,feat_276,feat_276,False
madelon,feat_277,feat_277,False
madelon,feat_278,feat_278,False
madelon,feat_279,feat_279,False
madelon,feat_280,feat_280,False
madelon,feat_281,feat_281,False
madelon,feat_282,feat_282,False
madelon,feat_283,feat_283,False
madelon,feat_284,feat_284,False
madelon,feat_285,feat_285,False
madelon,feat_286,feat_286,False
madelon,feat_287,feat_287,False
madelon,feat_288,feat_288,False
madelon,feat_289,feat_289,False
madelon,feat_290,feat_290,False
madelon,feat_291,feat_291,False
madelon,feat_292,feat_292,False
madelon,feat_293,feat_293,False
madelon,feat_294,feat_294,False
madelon,feat_295,feat_295,False
madelon,feat_296,feat_296,False
madelon,feat_297,feat_297,False
madelon,feat_298,feat_298,False
madelon,feat_299,feat_299,False
madelon,feat_300,feat_300,False
madelon,feat_301,feat_301,False
madelon,feat_302,feat_302,False
madelon,feat_303,feat_303,False
madelon,feat_304,feat_304,False
madelon,feat_305,feat_305,False
madelon,feat_306,feat_306,False
madelon,feat_307,feat_307,False
madelon,feat_308,feat_308,False
madelon,feat_309,feat_309,False
madelon,feat_310,feat_310,False
madelon,feat_311,feat_311,False
madelon,feat_312,feat_312,False
madelon,feat_313,feat_313,False
madelon,feat_314,feat_314,False
madelon,feat_315,feat_315,False
madelon,feat_316,feat_316,False
madelon,feat_317,feat_317,False
madelon,feat_318,feat_318,False
madelon,feat_319,feat_319,False
madelon,feat_320,feat_320,False
madelon,feat_321,feat_321,False
madelon,feat_322,feat_322,False
madelon,feat_323,feat_323,False
madelon,feat_324,feat_324,False
madelon,feat_325,feat_325,False
madelon,feat_326,feat_326,False
madelon,feat_327,feat_327,False
madelon,feat_328,feat_328,False
madelon,feat_329,feat_329,False
madelon,feat_330,feat_330,False
madelon,feat_331,feat_331,False
madelon,feat_332,feat_332,False
madelon,feat_333,feat_333,False
madelon,feat_334,feat_334,False
madelon,feat_335,feat_335,False
madelon,feat_336,feat_336,False
madelon,feat_337,feat_337,False
madelon,feat_338,feat_338,False
madelon,feat_339,feat_339,False
madelon,feat_340,feat_340,False
madelon,feat_341,feat_341,False
madelon,feat_342,feat_342,False
madelon,feat_343,feat_343,False
madelon,feat_344,feat_344,False
madelon,feat_345,feat_345,False
madelon,feat_346,feat_346,False
madelon,feat_347,feat_347,False
madelon,feat_348,feat_348,False
madelon,feat_349,feat_349,False
madelon,feat_350,feat_350,False
madelon,feat_351,feat_351,False
madelon,feat_352,feat_352,False
madelon,feat_353,feat_353,False
madelon,feat_354,feat_354,False
madelon,feat_355,feat_355,False
madelon,feat_356,feat_356,False
madelon,feat_357,feat_357,False
madelon,feat_358,feat_358,False
madelon,feat_359,feat_359,False
madelon,feat_360,feat_360,False
madelon,feat_361,feat_361,False
madelon,feat_362,feat_362,False
madelon,feat_363,feat_363,False
madelon,feat_364,feat_364,False
madelon,feat_365,feat_365,False
madelon,feat_366,feat_366,False
madelon,feat_367,feat_367,False
madelon,feat_368,feat_368,False
madelon,feat_369,feat_369,False
madelon,feat_370,feat_370,False
madelon,feat_371,feat_371,False
madelon,feat_372,feat_372,False
madelon,feat_373,feat_373,False
madelon,feat_374,feat_374,False
madelon,feat_375,feat_375,False
madelon,feat_376,feat_376,False
madelon,feat_377,feat_377,False
madelon,feat_378,feat_378,False
madelon,feat_379,feat_379,False
madelon,feat_380,feat_380,False
madelon,feat_381,feat_381,False
madelon,feat_382,feat_382,False
madelon,feat_383,feat_383,False
madelon,feat_384,feat_384,False
madelon,feat_385,feat_385,False
madelon,feat_386,feat_386,False
madelon,feat_387,feat_387,False
madelon,feat_388,feat_388,False
madelon,feat_389,feat_389,False
madelon,feat_390,feat_390,False
madelon,feat_391,feat_391,False
madelon,feat_392,feat_392,False
madelon,feat_393,feat_393,False
madelon,feat_394,feat_394,False
madelon,feat_395,feat_395,False
madelon,feat_396,feat_396,False
madelon,feat_397,feat_397,False
madelon,feat_398,feat_398,False
madelon,feat_399,feat_399,False
madelon,feat_400,feat_400,False
madelon,feat_401,feat_401,False
madelon,feat_402,feat_402,False
madelon,feat_403,feat_403,False
madelon,feat_404,feat_404,False
madelon,feat_405,feat_405,False
madelon,feat_406,feat_406,False
madelon,feat_407,feat_407,False
madelon,feat_408,feat_408,False
madelon,feat_409,feat_409,False
madelon,feat_410,feat_410,False
madelon,feat_411,feat_411,False
madelon,feat_412,feat_412,False
madelon,feat_413,feat_413,False
madelon,feat_414,feat_414,False
madelon,feat_415,feat_415,False
madelon,feat_416,feat_416,False
madelon,feat_417,feat_417,False
madelon,feat_418,feat_418,False
madelon,feat_419,feat_419,False
madelon,feat_420,feat_420,False
madelon,feat_421,feat_421,False
madelon,feat_422,feat_422,False
madelon,feat_423,feat_423,False
madelon,feat_424,feat_424,False
madelon,feat_425,feat_425,False
madelon,feat_426,feat_426,False
madelon,feat_427,feat_427,False
madelon,feat_428,feat_428,False
madelon,feat_429,feat_429,False
madelon,feat_430,feat_430,False
madelon,feat_431,feat_431,False
madelon,feat_432,feat_432,False
madelon,feat_433,feat_433,False
madelon,feat_434,feat_434,False
madelon,feat_435,feat_435,False
madelon,feat_436,feat_436,False
madelon,feat_437,feat_437,False
madelon,feat_438,feat_438,False
madelon,feat_439,feat_439,False
madelon,feat_440,feat_440,False
madelon,feat_441,feat_441,False
madelon,feat_442,feat_442,False
madelon,feat_443,feat_443,False
madelon,feat_444,feat_444,False
madelon,feat_445,feat_445,False
madelon,feat_446,feat_446,False
madelon,feat_447,feat_447,False
madelon,feat_448,feat_448,False
madelon,feat_449,feat_449,False
madelon,feat_450,feat_450,False
madelon,feat_451,feat_451,False
madelon,feat_452,feat_452,False
madelon,feat_453,feat_453,False
madelon,feat_454,feat_454,False
madelon,feat_455,feat_455,False
madelon,feat_456,feat_456,False
madelon,feat_457,feat_457,False
madelon,feat_458,feat_458,False
madelon,feat_459,feat_459,False
madelon,feat_460,feat_460,False
madelon,feat_461,feat_461,False
madelon,feat_462,feat_462,False
madelon,feat_463,feat_463,False
madelon,feat_464,feat_464,False
madelon,feat_465,feat_465,False
madelon,feat_466,feat_466,False
madelon,feat_467,feat_467,False
madelon,feat_468,feat_468,False
madelon,feat_469,feat_469,False
madelon,feat_470,feat_470,False
madelon,feat_471,feat_471,False
madelon,feat_472,feat_472,False
madelon,feat_473,feat_473,False
madelon,feat_474,feat_474,False
madelon,feat_475,feat_475,False
madelon,feat_476,feat_476,False
madelon,feat_477,feat_477,False
madelon,feat_478,feat_478,False
madelon,feat_479,feat_479,False
madelon,feat_480,feat_480,False
madelon,feat_481,feat_481,False
madelon,feat_482,feat_482,False
madelon,feat_483,feat_483,False
madelon,feat_484,feat_484,False
madelon,feat_485,feat_485,False
madelon,feat_486,feat_486,False
madelon,feat_487,feat_487,False
madelon,feat_488,feat_488,False
madelon,feat_489,feat_489,False
madelon,feat_490,feat_490,False
madelon,feat_491,feat_491,False
madelon,feat_492,feat_492,False
madelon,feat_493,feat_493,False
madelon,feat_494,feat_494,False
madelon,feat_495,feat_495,False
madelon,feat_496,feat_496,False
madelon,feat_497,feat_497,False
madelon,feat_498,feat_498,False
madelon,feat_499,feat_499,False
madelon,target,target,False
olive_oil,id,id,False
olive_oil,target,target,False
olive_oil,Area,area,True
olive_oil,palmitic,palmitic,False
olive_oil,palmitoleic,palmitoleic,False
olive_oil,stearic,stearic,False
olive_oil,oleic,oleic,False
olive_oil,linoleic,linoleic,False
olive_oil,linolenic,linolenic,False
olive_oil,arachidic,arachidic,False
olive_oil,eicosenoic,eicosenoic,False
olive_oil,other,other,False
