dataset,feature_set,selector,k,n_features,feature_path,source
madelon,mutual_info_k10,mutual_info,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/mutual_info/k_10,reference_k
madelon,mutual_correlation_k10,mutual_correlation,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/mutual_correlation/k_10,reference_k
madelon,feature_similarity_k10,feature_similarity,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/feature_similarity/k_10,reference_k
madelon,mrmr_approx_k10,mrmr_approx,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/mrmr_approx/k_10,reference_k
madelon,rrfs_k10,rrfs,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/rrfs/k_10,reference_k
madelon,boruta_confirmed_19,boruta,19,19,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/boruta/k_19,confirmed_by_boruta
madelon,rfe_k10,rfe,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/rfe/k_10,reference_k
madelon,l1_logistic_k10,l1_logistic,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/l1_logistic/k_10,reference_k
madelon,random_forest_k10,random_forest,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/random_forest/k_10,reference_k
madelon,linear_svm_k10,linear_svm,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/linear_svm/k_10,reference_k
olive_oil_3class,variance_k5,variance,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/variance/k_5,reference_k
olive_oil_3class,f_classif_k5,f_classif,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/f_classif/k_5,reference_k
olive_oil_3class,mutual_info_k5,mutual_info,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/mutual_info/k_5,reference_k
olive_oil_3class,mutual_correlation_k5,mutual_correlation,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/mutual_correlation/k_5,reference_k
olive_oil_3class,feature_similarity_k5,feature_similarity,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/feature_similarity/k_5,reference_k
olive_oil_3class,mrmr_approx_k5,mrmr_approx,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/mrmr_approx/k_5,reference_k
olive_oil_3class,rrfs_k5,rrfs,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/rrfs/k_5,reference_k
olive_oil_3class,boruta_confirmed_8,boruta,8,8,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/boruta/k_8,confirmed_by_boruta
olive_oil_3class,rfe_k5,rfe,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/rfe/k_5,reference_k
olive_oil_3class,l1_logistic_k5,l1_logistic,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/l1_logistic/k_5,reference_k
olive_oil_3class,random_forest_k5,random_forest,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/random_forest/k_5,reference_k
olive_oil_3class,linear_svm_k5,linear_svm,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_3class/linear_svm/k_5,reference_k
olive_oil_9class,variance_k5,variance,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/variance/k_5,reference_k
olive_oil_9class,f_classif_k5,f_classif,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/f_classif/k_5,reference_k
olive_oil_9class,mutual_info_k5,mutual_info,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/mutual_info/k_5,reference_k
olive_oil_9class,mutual_correlation_k5,mutual_correlation,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/mutual_correlation/k_5,reference_k
olive_oil_9class,feature_similarity_k5,feature_similarity,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/feature_similarity/k_5,reference_k
olive_oil_9class,mrmr_approx_k5,mrmr_approx,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/mrmr_approx/k_5,reference_k
olive_oil_9class,rrfs_k5,rrfs,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/rrfs/k_5,reference_k
olive_oil_9class,boruta_confirmed_8,boruta,8,8,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/boruta/k_8,confirmed_by_boruta
olive_oil_9class,rfe_k5,rfe,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/rfe/k_5,reference_k
olive_oil_9class,l1_logistic_k5,l1_logistic,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/l1_logistic/k_5,reference_k
olive_oil_9class,random_forest_k5,random_forest,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/random_forest/k_5,reference_k
olive_oil_9class,linear_svm_k5,linear_svm,5,5,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/olive_oil_9class/linear_svm/k_5,reference_k
